"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"77eeba54-f98a-44e7-8432-55c56d2d2211","herodotus_book-2.xml","Κύρου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::17;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::22","PERSON","","","","","","","","Cyrus|person","","",""
"ffce82ba-3119-480b-9f9f-5523cf092fab","herodotus_book-2.xml","Καμβύσης","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::46;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::54","PERSON","","","","","","","","Cambyses|person","","",""
"f3c61805-347f-4568-acad-457854b84ba8","herodotus_book-2.xml","Κύρου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::56;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::61","PERSON","","","","","","","","Cyrus|person","","",""
"ae9b3143-f6d3-427e-92e4-0cf950898dc2","herodotus_book-2.xml","Κασσανδάνης","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::75;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::86","PERSON","","","","","","","","Cassandane|person","","",""
"ae478a60-7950-4892-90c3-4b647245e0dc","herodotus_book-2.xml","Φαρνάσπεω","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::91;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::100","PERSON","","","","","","","","Pharnaspes|person","","",""
"406be29a-9ab2-4cc3-aa2e-604b77c0fd1b","herodotus_book-2.xml","Κῦρος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::130;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[1]/p[1]::135","PERSON","","","","","","","","Cyrus|person","","",""
"d2158ea6-8469-4563-8dcb-c76c6f10c881","herodotus_book-2.xml","Κύρου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::37;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::42","PERSON","","","","","","","","Cyrus|person","","",""
"cc10a382-a6a8-4a1f-8fa2-3a1bc0045485","herodotus_book-2.xml","Καμβύσης","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::43;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::51","PERSON","","","","","","","","Cambyses|person","","",""
"4898f661-cf91-41cf-a264-11a9267a87c9","herodotus_book-2.xml","Ἴωνας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::52;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::57","PLACE","http://pleiades.stoa.org/places/550597","Ionia (region)","-0750/0640","38.258572855555556","27.36601213333333","region","VERIFIED","collective|ethnic","","",""
"08ae91a5-d56d-4f13-b42c-22d64d6834e2","herodotus_book-2.xml","Αἰολέας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::66;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::73","PLACE","http://pleiades.stoa.org/places/550406","Aeolis","-0750/0300","38.846442875","26.950801749999997","region","VERIFIED","collective|ethnic","","",""
"809ba269-a04a-45e3-9683-b5ac0dd808d6","herodotus_book-2.xml","Αἴγυπτον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::118;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::126","PLACE","http://pleiades.stoa.org/places/981503","Ancient Egypt (region)","-1000/0640","19.211408766666665","30.567329633333333","region","VERIFIED","location","","",""
"fb520478-3ad3-47a7-a197-e4fb2fad686b","herodotus_book-2.xml","Ἑλλήνων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::189;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[1]/div[2]/p[1]::196","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","collective|ethnic","","",""
"53d77d1c-934a-4b46-bfbe-e3f1f46caa46","herodotus_book-2.xml","Αἰγύπτιοι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[2]/div[1]/p[1]::6;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[2]/div[1]/p[1]::15","PLACE","http://pleiades.stoa.org/places/981503","Ancient Egypt (region)","-1000/0640","19.211408766666665","30.567329633333333","region","VERIFIED","collective|ethnic","","",""
