"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"167f1333-f08a-4dfe-bcee-1d4dd7fdc0d2","cts-import.tei.xml","Πηνελόπεια","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[1]/l[1]::7;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[1]/l[1]::17","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Penelope","","",""
"9040e8f4-5dd5-460d-aa05-fabd57b916e6","cts-import.tei.xml","Ὀδυσεὺς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[1]/l[3]::5;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[1]/l[3]::12","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Odysseus","","",""
"ebb19f7b-7a56-4e5e-a788-9ff65c25a046","cts-import.tei.xml","Πηνελόπεια","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[5]::31;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[5]::41","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Penelope","","",""
"fc4c8f5d-7139-4bf1-b59a-78c3d20abd0d","cts-import.tei.xml","Ὀδυσσεὺς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[2]/l[8]::36;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[2]/l[8]::44","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Odysseus","","",""
"d70c1a5a-97a2-4854-9c98-c5a27f69fac5","cts-import.tei.xml","Κακοΐλιον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[2]/l[9]::17;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[2]/l[9]::26","PLACE","http://pleiades.stoa.org/places/550595","Ilium/Troia|Ilium/Troia, Hisarlık","-0750/2100","39.9577","26.23873","settlement","VERIFIED","","","",""
"7f44b28c-b1e1-467a-bb9c-5e5a50c6ff0d","cts-import.tei.xml","Εὐρύκλεια","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[6]::34;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[6]::43","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Eurycleia_of_Ithaca","","",""
"cb791bad-23c9-4036-a936-5ac652200c03","cts-import.tei.xml","Ὀδυσεὺς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[3]/l[2]::5;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[3]/l[2]::12","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Odysseus","","",""
"069435f6-8501-4cd5-af94-2f89c03b604b","cts-import.tei.xml","Τηλέμαχος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[3]/l[4]::0;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[3]/l[4]::9","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Telemachus","","",""
"c745658c-cb57-4c61-ba9b-8e041db0ab35","cts-import.tei.xml","Εὐρύκλεια","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[10]::34;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[10]::43","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Eurycleia_of_Ithaca","","",""
"cfb28772-fb34-497e-8407-03982f47d3c9","cts-import.tei.xml","Τηλέμαχος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[5]/l[5]::0;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[5]/l[5]::9","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Telemachus","","",""
"d38857fc-17fc-4a81-9a80-6b0656156fdc","cts-import.tei.xml","Ὀδυσῆα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[5]/l[6]::13;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[5]/l[6]::19","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Odysseus","","",""
"0327bbb4-17c5-4f13-91d6-9a2266e47768","cts-import.tei.xml","Πηνελόπεια","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[11]::31;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[11]::41","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Penelope","","",""
"8c79ae01-f121-4bcf-ab39-2358cba7505f","cts-import.tei.xml","Ὀδυσσεὺς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[6]/l[9]::38;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[6]/l[9]::46","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Odysseus","","",""
"5c7be229-fd91-42d8-a25b-fd51b5b645b2","cts-import.tei.xml","Ἀχαιΐδος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[6]/l[10]::19;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[6]/l[10]::27","PLACE","http://pleiades.stoa.org/places/570028","Achaea/Achaia (region)","-0750/0300","38.102121472776034","22.224585911364017","region","VERIFIED","","","",""
"6b6818b2-f785-49e5-93f0-f6eba504f5e0","cts-import.tei.xml","Εὐρύκλεια","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[12]::35;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[12]::44","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Eurycleia_of_Ithaca","","",""
"547c9130-e304-4281-9f62-da36c07aae47","cts-import.tei.xml","Πηνελόπεια","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[13]::32;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[13]::42","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Penelope","","",""
