"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"2917230a-5abc-46ef-b802-ef27d2bdd744","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","ὅρμων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::20;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::25","","","","","","","","","geoname","","",""
"f9e68373-370e-4b69-adcc-2acadef75cb5","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Ἐρυθρᾶς θαλάσσης","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::30;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::46","PLACE","http://pleiades.stoa.org/places/39290","Arabicus Sinus/Erythr(ae)um/Rubrum Mare","-0030/2100","19.0","39.5","water-open","VERIFIED","","","",""
"29e7d9ad-da2b-4954-93ba-e86199f1342e","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","ἐμπορίων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::66;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::74","","","","","","","","","geoname","","",""
"8620f912-4921-4d52-b74f-7eb0184fbbb0","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","λιμὴν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::88;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::93","","","","","","","","","geoname","","",""
"200f51e2-bcff-4a06-bef0-38f05bfa25fd","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Αἰγύπτου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::98;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::106","PLACE","http://pleiades.stoa.org/places/981503","Ancient Egypt (region)","-1000/0640","19.211408766666665","30.567329633333333","region","VERIFIED","","","",""
"23bb6dac-8b29-4928-a17c-8aa6f28f3bcf","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Μυὸς ὅρμος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::107;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::117","PLACE","http://pleiades.stoa.org/places/786069","Myos Hormos?|Myos Hormos/Aphrodites Hormos, Quseir el-Qadim","-0030/2100","26.15623","34.24255","settlement,port","VERIFIED","","","",""
"155984d1-6833-4619-88c6-4fb17ef944b1","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","ἀπὸ χιλίων ὀκτακοσίων σταδίων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::145;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::174","","","","","","","","","distance","","",""
"475ca330-129e-459f-b096-86f7fe70eb3e","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","ἐν δεξιᾷ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::175;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::183","","","","","","","","","orientation|relative","","",""
"973a10a9-02d4-483d-83d5-ca62a30c9fa3","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Βερνίκη","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::186;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::193","PLACE","http://pleiades.stoa.org/places/785986","Berenice/Berenike|Berenike/Berenice, Bender el-Kebir","-0330/2100","23.91052","35.47517","settlement,port","VERIFIED","","","",""
"42693aca-84a6-4829-93e2-8ca36168ecfb","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","λιμένες","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::211;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::218","","","","","","","","","geoname","","",""
"25504272-a940-43f8-b9da-3a238ee11c42","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Αἰγύπτου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::236;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::244","PLACE","http://pleiades.stoa.org/places/981503","Ancient Egypt (region)","-1000/0640","19.211408766666665","30.567329633333333","region","VERIFIED","","","",""
"f0536798-9938-496d-9cfe-fdbf76c8c22a","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","κόλποι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::245;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::251","","","","","","","","","geoname","","",""
"ca083922-4497-468b-a5ad-7d3b1564c465","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Ἐρυθρᾶς θαλάσσης","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::259;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[1]::275","PLACE","http://pleiades.stoa.org/places/39290","Arabicus Sinus/Erythr(ae)um/Rubrum Mare","-0030/2100","19.0","39.5","water-open","VERIFIED","","","",""
"10bb8335-e662-4107-8918-0c050e3b95f1","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","ἐκ μὲν τῶν δεξιῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]::8;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]::25","","","","","","","","","orientation|relative","","",""
"80c78965-cf97-451b-8e21-6730dfee9835","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Βερνίκης","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]::30;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[2]::38","PLACE","http://pleiades.stoa.org/places/785986","Berenice/Berenike|Berenike/Berenice, Bender el-Kebir","-0330/2100","23.91052","35.47517","settlement,port","VERIFIED","","","",""
