UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,Authority Link,First-level tag,Second-level tag,Typology,Visited or referenced,Other,COMMENTS,GROUP_ID,GROUP_ORDER
1cf76090-b2c4-4d65-a022-f30a244b3d73,anabasis_book6_english.txt,Cotyora,char-offset:50,PLACE,http://pleiades.stoa.org/places/857200,"Kotyora|Kotyora, Ordu",-0550/0640,41.000154,37.875188,settlement,VERIFIED,Cotyora|location|visited,https://en.wikipedia.org/wiki/Ordu.,location,,,visited,,,,
8ec05a0a-c5e4-43ed-9f62-250701c5c640,anabasis_book6_english.txt,Paphlagonia,char-offset:152,PLACE,http://pleiades.stoa.org/places/845034,Paphlagonia (region),-0750/0640,41.44846297,33.23855022,region,VERIFIED,Paphlagonia|location|region,https://en.wikipedia.org/wiki/Paphlagonia.,location,,region,,,,,
6da4d1fc-304f-43d1-a082-42bc4a509b41,anabasis_book6_english.txt,Paphlagonians,char-offset:169,PLACE,http://pleiades.stoa.org/places/845034,Paphlagonia (region),-0750/0640,41.44846297,33.23855022,region,VERIFIED,Paphlagonia|collective|ethnic|region,https://en.wikipedia.org/wiki/Paphlagonia.,collective,ethnic,region,,,,,
52595aef-dc3f-4bd3-9282-1f7014b28fbd,anabasis_book6_english.txt,Greeks,char-offset:307,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks.,collective,ethnic,region,,,,,
e4a29bac-4286-42fd-8eee-45be93f0f87b,anabasis_book6_english.txt,Greeks,char-offset:390,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks.,collective,ethnic,region,,,,,
d94bcdd1-bb72-4f0e-b2ba-63e5a53b6089,anabasis_book6_english.txt,Corylas,char-offset:460,PERSON,,,,,,,,corylas|person,corylas,person,,,,,"Likely refers to Corylas I, ruler of Paphlagonia from c. 425-400 BCE. He is mentioned in a Wikipedia article listing the rulers of Paphlagonia, but himself does not have an article.",,
4957e7d6-541b-45bf-9a5a-65129c7fe99d,anabasis_book6_english.txt,Paphlagonia,char-offset:508,PLACE,http://pleiades.stoa.org/places/845034,Paphlagonia (region),-0750/0640,41.44846297,33.23855022,region,VERIFIED,Paphlagonia|location|region,https://en.wikipedia.org/wiki/Paphlagonia.,location,,region,,,,,
c94efcfa-22b2-4060-bd83-846969697292,anabasis_book6_english.txt,Greeks,char-offset:545,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks.,collective,ethnic,region,,,,,
5ad17c29-a15b-4dec-bb00-6c8542ef2026,anabasis_book6_english.txt,Corylas,char-offset:601,PERSON,,,,,,,,corylas|person,corylas,person,,,,,"Likely refers to Corylas I, ruler of Paphlagonia from c. 425-400 BCE. He is mentioned in a Wikipedia article listing the rulers of Paphlagonia, but himself does not have an article.",,
01eaf390-5b50-48b7-85bf-338f143e355e,anabasis_book6_english.txt,Greeks,char-offset:629,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks.,collective,ethnic,region,,,,,
0c1c5767-2f28-4eeb-a683-33db4530cc5c,anabasis_book6_english.txt,Thracians,char-offset:1232,PLACE,http://pleiades.stoa.org/places/501638,Thracia,-0750/0640,40.288041,23.129408,unknown,VERIFIED,Thrace|collective|ethnic|region,https://en.wikipedia.org/wiki/Thrace.,collective,ethnic,region,,,,,
d36d3394-bcfa-4d42-a1c4-e1b800e8bb8f,anabasis_book6_english.txt,Paphlagonians,char-offset:1484,PLACE,http://pleiades.stoa.org/places/845034,Paphlagonia (region),-0750/0640,41.44846297,33.23855022,region,VERIFIED,Paphlagonia|collective|ethnic|region,https://en.wikipedia.org/wiki/Paphlagonia.,collective,ethnic,region,,,,,
4cf8d969-0202-4117-9103-902fafd2f556,anabasis_book6_english.txt,Sitalcas,char-offset:1591,,,,,,,,,sitalcas|miscellaneous,sitalcas,miscellaneous,,,,,"This appears to be a song or type of song, similar to the Pyrrhic mentioned in 6.1.13. A quick glance online was inconclusive, however, and Scaife morphology for this in Greek (Σιτάλκαν), identifies this as Siltaces, a king of the Thracian Odrysian state, which seems erroneous.",,
b54b0dbd-2a49-4442-b7de-3bc6c8684cd0,anabasis_book6_english.txt,Thracians,char-offset:1613,PLACE,http://pleiades.stoa.org/places/501638,Thracia,-0750/0640,40.288041,23.129408,unknown,VERIFIED,Thrace|collective|ethnic|region,https://en.wikipedia.org/wiki/Thrace.,collective,ethnic,region,,,,,
cb91895b-af6c-413b-aafa-c89650a44ed1,anabasis_book6_english.txt,Aenianians,char-offset:1742,PLACE,http://pleiades.stoa.org/places/540611,Ainis,-0750/0300,38.75,22.25,unknown,VERIFIED,Ainis|location|region,https://en.wikipedia.org/wiki/Ainis.,location,,region,,,,,
4fbd5b8f-10fd-4652-885e-d559c29442b0,anabasis_book6_english.txt,Magnesians,char-offset:1757,PLACE,http://pleiades.stoa.org/places/540923,Magnesia,,39.75,22.75,unknown,VERIFIED,Magnesia|location|region,https://en.wikipedia.org/wiki/Ancient_Magnesia.,location,,region,,,,,
65b124f7-27d1-4822-92db-45ae6d952f10,anabasis_book6_english.txt,Mysian,char-offset:2402,PLACE,http://pleiades.stoa.org/places/550759,Mysia,-0750/0640,39.13112816,27.18441988,labeled feature,VERIFIED,Mysia|collective|ethnic|region,https://en.wikipedia.org/wiki/Mysia.,collective,ethnic,region,,,,,
194f16ea-7166-4eea-b6ce-6998476cfb6c,anabasis_book6_english.txt,Persian,char-offset:2785,PLACE,,,,,,,NOT_IDENTIFIABLE,Persian|collective|ethnic|region,https://en.wikipedia.org/wiki/Persians.,collective,ethnic,region,,,,,
2e4bf926-edf6-4152-9522-a48ca23cc778,anabasis_book6_english.txt,Mantineans,char-offset:2961,PLACE,http://pleiades.stoa.org/places/570459,"Mantineia/Antigoneia|Mantineia/Antigoneia, Mantineia",-0750/0300,37.618138,22.393259,settlement,VERIFIED,Mantinea|collective|ethnic|referenced,https://en.wikipedia.org/wiki/Mantinea.,collective,ethnic,,referenced,,,,
e484ba21-5b04-4a9d-a422-10098ef695dd,anabasis_book6_english.txt,Arcadians,char-offset:2994,PLACE,http://pleiades.stoa.org/places/570102,Arcadia,-0750/0300,37.56741927,22.1653231,region,VERIFIED,Arcadia|collective|ethnic|region,https://en.wikipedia.org/wiki/Arcadia_(region).,collective,ethnic,region,,,,,
9abf5afb-200b-41e8-b0ba-94107a8f94bc,anabasis_book6_english.txt,Arcadians,char-offset:3198,PLACE,http://pleiades.stoa.org/places/570102,Arcadia,-0750/0300,37.56741927,22.1653231,region,VERIFIED,Arcadia|collective|ethnic|region,https://en.wikipedia.org/wiki/Arcadia_(region).,collective,ethnic,region,,,,,
160096bf-2833-439d-bf29-c3bace7c60f9,anabasis_book6_english.txt,Paphlagonians,char-offset:3270,PLACE,http://pleiades.stoa.org/places/845034,Paphlagonia (region),-0750/0640,41.44846297,33.23855022,region,VERIFIED,Paphlagonia|collective|ethnic|region,https://en.wikipedia.org/wiki/Paphlagonia.,collective,ethnic,region,,,,,
caa337e7-5d44-43c9-ade3-70e444b696fd,anabasis_book6_english.txt,the Mysian,char-offset:3386,PLACE,http://pleiades.stoa.org/places/550759,Mysia,-0750/0640,39.13112816,27.18441988,labeled feature,VERIFIED,Mysia|person|ethnic|region,https://en.wikipedia.org/wiki/Mysia.,person,ethnic,region,,,,,
