UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,Authority Link,First-level tag,Second-level tag,Typology,Visited or referenced,Other,COMMENTS,GROUP_ID,GROUP_ORDER
e8aa46af-bb5d-4991-bf99-55ff8a9ac124,anabasis_book5_english.txt,Greeks,char-offset:67,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
3a9c8b26-8c9e-4cb8-a816-9a71f8f8b7fa,anabasis_book5_english.txt,Cyrus,char-offset:105,PERSON,,,,,,,,Cyrus|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
261350cf-7944-4dfd-95e8-460b69686d55,anabasis_book5_english.txt,Euxine Sea,char-offset:152,PLACE,http://pleiades.stoa.org/places/1224,Pontus Euxinus,-0750/2100,43.0786852,34.7425505,water-open,VERIFIED,EuxineSea|location|region,https://en.wikipedia.org/wiki/Black_Sea,location,,region,,,,,
ffae3b9f-f96d-4798-b1f8-7ea52d273a02,anabasis_book5_english.txt,Greek,char-offset:188,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
552018f9-790b-4f14-a699-27b5b7e96601,anabasis_book5_english.txt,Trapezus,char-offset:202,PLACE,http://pleiades.stoa.org/places/857359,"Trapezus|Trapezous/Trapezus, Trabzon",-3200/2000,41.005877,39.728451,settlement,VERIFIED,Trapezus|location|visited,https://en.wikipedia.org/wiki/Trabzon,location,,,visited,,,,
92772842-6f5f-41d3-95be-a2e559337274,anabasis_book5_english.txt,Leon of Thurii,char-offset:511,PERSON,,,,,,,,leon|person,leon,person,,,,,,,
62d65917-ab12-4695-bc54-1184e8f8ea9c,anabasis_book5_english.txt,of Thurii,char-offset:516,PLACE,http://pleiades.stoa.org/places/452457,"Sybaris/Thurii/Copia|Sybaris/Thurii/Copia, Sibari, Cassano all'Ionio",-0750/0640,39.71705745,16.4927745,"theatre,settlement,port",VERIFIED,Thurii|person|ethnic|referenced,https://en.wikipedia.org/wiki/Thurii,person,ethnic,,referenced,,,,
55b472f4-70d6-44fc-a8d9-df3cfe526121,anabasis_book5_english.txt,Greece,char-offset:848,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greece|location|region,https://en.wikipedia.org/wiki/Ancient_Greece,location,,region,,,,,
d8808461-8c09-4b99-baa2-576989930151,anabasis_book5_english.txt,Odysseus,char-offset:886,PERSON,,,,,,,,Odysseus|person|mythological,https://en.wikipedia.org/wiki/Odysseus,person,mythological,,,,,,
e571400c-3c95-4355-b942-4779a442c7f3,anabasis_book5_english.txt,Cheirisophus,char-offset:1060,PERSON,,,,,,,,Cheirisophus|person,https://en.wikipedia.org/wiki/Cheirisophus_(general),person,,,,,,,
