UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,Authority Link,First-level tag,Second-level tag,Typology,Visited or referenced,Other,COMMENTS,GROUP_ID,GROUP_ORDER
621b94c4-2f13-4715-8b2c-c51fd6736700,anabasis_book7_english.txt,Greeks,char-offset:67,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks.,collective,ethnic,region,,,,,
5e57d499-af00-4f70-963a-33b6f8b6f039,anabasis_book7_english.txt,Cyrus,char-offset:105,PERSON,,,,,,,,Cyrus|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger.,person,,,,,,,
42c375d9-43ec-4774-8e4a-5292c2063ad5,anabasis_book7_english.txt,Cyrus,char-offset:180,PERSON,,,,,,,,Cyrus|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger.,person,,,,,,,
0102c641-f675-4207-b260-4fd689342779,anabasis_book7_english.txt,Euxine Sea,char-offset:210,PLACE,http://pleiades.stoa.org/places/1224,Pontus Euxinus,-0750/2100,43.0786852,34.7425505,water-open,VERIFIED,EuxineSea|location|region,https://en.wikipedia.org/wiki/Black_Sea.,location,,region,,,,,
49685e33-936a-416e-95d4-04391eb4ac39,anabasis_book7_english.txt,Euxine,char-offset:318,PLACE,http://pleiades.stoa.org/places/1224,Pontus Euxinus,-0750/2100,43.0786852,34.7425505,water-open,VERIFIED,EuxineSea|location|region,https://en.wikipedia.org/wiki/Black_Sea.,location,,region,,,,,
576fcade-e455-4ab4-9b16-c8017a8bcbee,anabasis_book7_english.txt,Chrysopolis,char-offset:371,PLACE,http://pleiades.stoa.org/places/520995,"Chrysopolis|Chrysopolis, Üsküdar",-0550/0640,41.020639,29.012856,settlement,VERIFIED,Chrysopolis|location|visited,https://en.wikipedia.org/wiki/%C3%9Csk%C3%BCdar#Chrysopolis.,location,,,visited,,,,
7ca43e71-7420-4654-ac3f-93b390eb11b1,anabasis_book7_english.txt,Asia,char-offset:387,PLACE,http://pleiades.stoa.org/places/837,Asia Minor,,39.64014749,31.03325453,"peninsula,region",VERIFIED,Asia|location|region,https://en.wikipedia.org/wiki/Anatolia.,location,,region,,,,,
d9a2e264-5219-46ac-9ac6-d77ca96139b1,anabasis_book7_english.txt,Pharnabazus,char-offset:414,PERSON,,,,,,,,Pharnabazus|person,https://en.wikipedia.org/wiki/Pharnabazus_II.,person,,,,,,,
940093a4-0c3e-401c-a6d1-cf29ca0d963f,anabasis_book7_english.txt,Greek,char-offset:444,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks.,collective,ethnic,region,,,,,
ffeb4e9b-b57e-45a5-9932-95a279a81a67,anabasis_book7_english.txt,Anaxibius,char-offset:511,PERSON,,,,,,,,Anaxibius|person,https://en.wikipedia.org/wiki/Anaxibius.,person,,,,,,,
3744cb50-c107-4067-83d5-0e7bfc94577f,anabasis_book7_english.txt,Byzantium,char-offset:556,PLACE,http://pleiades.stoa.org/places/520985,"Constantinopolis|Byzantium|Byzantium/Byzantion/Constantinopolis, Istanbul",-0750/2100,41.012379,28.975926,"settlement,urban",VERIFIED,visited|Byzantium|location|referenced,visited,location,,,visited,Byzantium,,,
09d2359c-fad5-49ca-895c-369080bd92fb,anabasis_book7_english.txt,Asia,char-offset:613,PLACE,http://pleiades.stoa.org/places/837,Asia Minor,,39.64014749,31.03325453,"peninsula,region",VERIFIED,Asia|location|region,https://en.wikipedia.org/wiki/Anatolia.,location,,region,,,,,
ffe0dc8a-1e81-439c-b300-ee2a3d0a5ba1,anabasis_book7_english.txt,Anaxibius,char-offset:687,PERSON,,,,,,,,Anaxibius|person,https://en.wikipedia.org/wiki/Anaxibius.,person,,,,,,,
4d6ae504-a0b2-453c-a178-9ab5a327c794,anabasis_book7_english.txt,Byzantium,char-offset:747,PLACE,http://pleiades.stoa.org/places/520985,"Constantinopolis|Byzantium|Byzantium/Byzantion/Constantinopolis, Istanbul",-0750/2100,41.012379,28.975926,"settlement,urban",VERIFIED,visited|Byzantium|location|referenced,visited,location,,,visited,Byzantium,,,
a83497ca-e0e9-4ec8-a3eb-6668b4233c1e,anabasis_book7_english.txt,Xenophon,char-offset:952,PERSON,,,,,,,,Xenophon|person,https://en.wikipedia.org/wiki/Xenophon.,person,,,,,,,
2f203c20-d2fa-4978-b084-5954bbd48116,anabasis_book7_english.txt,Anaxibius,char-offset:1051,PERSON,,,,,,,,Anaxibius|person,https://en.wikipedia.org/wiki/Anaxibius.,person,,,,,,,
4a0118d6-5b97-4f41-9dcd-cb762922a3f3,anabasis_book7_english.txt,Xenophon,char-offset:1140,PERSON,,,,,,,,Xenophon|person,https://en.wikipedia.org/wiki/Xenophon.,person,,,,,,,
fcec78f1-e005-4382-821e-951fdaf0d832,anabasis_book7_english.txt,Seuthes the Thracian,char-offset:1205,PERSON,,,,,,,,Seuthes|person,https://en.wikipedia.org/wiki/Seuthes_II.,person,,,,,,,
80e8b659-f99a-4f9d-b92b-0f49213b4fd4,anabasis_book7_english.txt,the Thracian,char-offset:1213,PLACE,http://pleiades.stoa.org/places/501638,Thracia,-0750/0640,40.288041,23.129408,unknown,VERIFIED,Thrace|person|ethnic|region,https://en.wikipedia.org/wiki/Thrace.,person,ethnic,region,,,,,
99a5d7c6-89e3-4050-bca3-931b002ea3d0,anabasis_book7_english.txt,Medosades,char-offset:1231,PERSON,,,,,,,,medosades|person,medosades,person,,,,,,,
5f1db408-97ec-4a52-be15-4a961dfabbe8,anabasis_book7_english.txt,Xenophon,char-offset:1244,PERSON,,,,,,,,Xenophon|person,https://en.wikipedia.org/wiki/Xenophon.,person,,,,,,,
395af01f-aadd-45b5-9d5b-f2b07f81de46,anabasis_book7_english.txt,Xenophon,char-offset:1391,PERSON,,,,,,,,Xenophon|person,https://en.wikipedia.org/wiki/Xenophon.,person,,,,,,,
07c2e166-84fd-4a12-b985-2da266176bfe,anabasis_book7_english.txt,Seuthes,char-offset:1485,PERSON,,,,,,,,Seuthes|person,https://en.wikipedia.org/wiki/Seuthes_II.,person,,,,,,,
b5006a47-7c19-4852-ba32-473745518094,anabasis_book7_english.txt,Byzantium,char-offset:1757,PLACE,http://pleiades.stoa.org/places/520985,"Constantinopolis|Byzantium|Byzantium/Byzantion/Constantinopolis, Istanbul",-0750/2100,41.012379,28.975926,"settlement,urban",VERIFIED,visited|Byzantium|location|referenced,visited,location,,,visited,Byzantium,,,
47084aa8-dae2-4881-a3ef-e447c8803edd,anabasis_book7_english.txt,Anaxibius,char-offset:1772,PERSON,,,,,,,,Anaxibius|person,https://en.wikipedia.org/wiki/Anaxibius.,person,,,,,,,
703d1981-89ec-4923-97ea-30bdc93974f7,anabasis_book7_english.txt,Xenophon,char-offset:2178,PERSON,,,,,,,,Xenophon|person,https://en.wikipedia.org/wiki/Xenophon.,person,,,,,,,
b2c28eea-7d0a-4310-bf25-f4e4ec9bdfeb,anabasis_book7_english.txt,Cleander,char-offset:2230,PERSON,,,,,,,,Cleander|person,https://en.wikipedia.org/wiki/Cleander_of_Sparta.,person,,,,,,,
6afd2d0d-cb7a-4081-bf87-7f29c1c274ea,anabasis_book7_english.txt,Cleander,char-offset:2328,PERSON,,,,,,,,Cleander|person,https://en.wikipedia.org/wiki/Cleander_of_Sparta.,person,,,,,,,
475aa32c-13eb-4d14-9b63-d0e426d61af2,anabasis_book7_english.txt,Xenophon,char-offset:2516,PERSON,,,,,,,,Xenophon|person,https://en.wikipedia.org/wiki/Xenophon.,person,,,,,,,
d8308323-60e5-4b5d-8287-c6a2fcfd94f8,anabasis_book7_english.txt,Cleander,char-offset:2712,PERSON,,,,,,,,Cleander|person,https://en.wikipedia.org/wiki/Cleander_of_Sparta.,person,,,,,,,
2ae5ffdd-aae5-4a82-8fa8-60fc9e2da073,anabasis_book7_english.txt,Xenophon,char-offset:2895,PERSON,,,,,,,,Xenophon|person,https://en.wikipedia.org/wiki/Xenophon.,person,,,,,,,
03456fb7-5d32-4d07-8e18-bd1f5f179640,anabasis_book7_english.txt,Anaxibius,char-offset:2920,PERSON,,,,,,,,Anaxibius|person,https://en.wikipedia.org/wiki/Anaxibius.,person,,,,,,,
40f530e3-0d3a-4ea8-bf65-85984cea64b1,anabasis_book7_english.txt,Xenophon,char-offset:3043,PERSON,,,,,,,,Xenophon|person,https://en.wikipedia.org/wiki/Xenophon.,person,,,,,,,
aea56794-fabb-450d-988c-68e6795278ef,anabasis_book7_english.txt,Eteonicus,char-offset:3488,PERSON,,,,,,,,Eteonicus|person,https://en.wikipedia.org/wiki/Eteonicus.,person,,,,,,,
30d2c0a0-1be9-4aa4-b46b-3f49ec804247,anabasis_book7_english.txt,Anaxibius,char-offset:3627,PERSON,,,,,,,,Anaxibius|person,https://en.wikipedia.org/wiki/Anaxibius.,person,,,,,,,
d13610f9-af2e-4d55-a5d1-c19399e89470,anabasis_book7_english.txt,Thracian,char-offset:3719,PLACE,http://pleiades.stoa.org/places/501638,Thracia,-0750/0640,40.288041,23.129408,unknown,VERIFIED,Thrace|collective|ethnic|region,https://en.wikipedia.org/wiki/Thrace.,collective,ethnic,region,,,,,
73a64891-53b1-48fd-abf8-8a0d259cfd33,anabasis_book7_english.txt,Chersonese,char-offset:3845,PLACE,http://pleiades.stoa.org/places/501450,"Kallipo(u)lis|Kallipoulis/Kallipolis, Gelibolu",-0330/2000,40.417447,26.677435,"settlement,port",VERIFIED,Chersonese|location|region,https://en.wikipedia.org/wiki/Gallipoli#Antiquity_and_Middle_Ages.,location,,region,,,,,
276b8223-5512-444d-adbe-48872f4c432a,anabasis_book7_english.txt,Cyniscus,char-offset:3867,PERSON,,,,,,,,cyniscus|person,cyniscus,person,,,,,,,
99a67f76-6073-4b69-b3a0-e08dbb3bb2be,anabasis_book7_english.txt,Seuthes,char-offset:4100,PERSON,,,,,,,,Seuthes|person,https://en.wikipedia.org/wiki/Seuthes_II.,person,,,,,,,
80c31e55-1282-4225-b521-668976f5b185,anabasis_book7_english.txt,Hieron Oros,char-offset:4190,PLACE,http://pleiades.stoa.org/places/530891,"Hieron Oros/Crania M.|Hieron Oros/Crania Mons, Valaora",-0330/0300,39.10901,21.02726,mountain,VERIFIED,hieronoros|location|region|ambiguous,hieronoros,location,,region,,ambiguous,"See extended commentary for full analysis. Xenophon's usage of ""Hieron Oros"" suggests it likely encompasses the modern mountains of  Mount Koru and Mount Işıklar, north of Gallipoli. This point will be manually moved during mapping to reflect that.",,
ac5a652b-1f02-415a-acfe-6cacf0bddd16,anabasis_book7_english.txt,Thrace,char-offset:4236,PLACE,http://pleiades.stoa.org/places/501638,Thracia,-0750/0640,40.288041,23.129408,unknown,VERIFIED,Thrace|location|region,https://en.wikipedia.org/wiki/Thrace.,location,,region,,,,,
2620ca02-8cd4-4798-90e1-a6f179adc7dd,anabasis_book7_english.txt,Eteonicus,char-offset:4429,PERSON,,,,,,,,Eteonicus|person,https://en.wikipedia.org/wiki/Eteonicus.,person,,,,,,,
1d90e713-c70e-4210-97ec-c0a2b0476923,anabasis_book7_english.txt,Xenophon,char-offset:5150,PERSON,,,,,,,,Xenophon|person,https://en.wikipedia.org/wiki/Xenophon.,person,,,,,,,
26cd1e44-860d-458d-95cc-4fe79f2be2de,anabasis_book7_english.txt,Byzantines,char-offset:5422,PLACE,http://pleiades.stoa.org/places/520985,"Constantinopolis|Byzantium|Byzantium/Byzantion/Constantinopolis, Istanbul",-0750/2100,41.012379,28.975926,"settlement,urban",VERIFIED,Byzantium|collective|ethnic|visited,https://en.wikipedia.org/wiki/Byzantium.,collective,ethnic,,visited,,,,
688f9cf1-87ac-4297-bf98-a113e79b720c,anabasis_book7_english.txt,Eteonicus,char-offset:5767,PERSON,,,,,,,,Eteonicus|person,https://en.wikipedia.org/wiki/Eteonicus.,person,,,,,,,
292661d8-4ca1-4694-a1f2-955d287ff59f,anabasis_book7_english.txt,Anaxibius,char-offset:5809,PERSON,,,,,,,,Anaxibius|person,https://en.wikipedia.org/wiki/Anaxibius.,person,,,,,,,
604b1907-6c3d-4b90-bebe-08cb3e69bacb,anabasis_book7_english.txt,Calchedon,char-offset:5932,PLACE,http://pleiades.stoa.org/places/520988,"Chalcedon|Chalcedon, Kadıköy",-0750/0640,40.983393,29.025789,"settlement,port",VERIFIED,Chalcedon|location|referenced,https://en.wikipedia.org/wiki/Chalcedon.,location,,,referenced,,,,
b0109503-a18c-44b8-9155-5fe750170b70,anabasis_book7_english.txt,Greek,char-offset:6007,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks.,collective,ethnic,region,,,,,
818c7a8a-85cf-4a87-ad87-af14f5f6de7d,anabasis_book7_english.txt,Xenophon,char-offset:6074,PERSON,,,,,,,,Xenophon|person,https://en.wikipedia.org/wiki/Xenophon.,person,,,,,,,
94f3b9c7-4e31-4ebc-ae1f-8cdd32b446bf,anabasis_book7_english.txt,Xenophon,char-offset:6152,PERSON,,,,,,,,Xenophon|person,https://en.wikipedia.org/wiki/Xenophon.,person,,,,,,,
8635f9af-9509-498a-a37e-a171f81a1d27,anabasis_book7_english.txt,Thracian Square,char-offset:6972,PLACE,http://pleiades.stoa.org/places/520985,"Constantinopolis|Byzantium|Byzantium/Byzantion/Constantinopolis, Istanbul",-0750/2100,41.012379,28.975926,"settlement,urban",VERIFIED,thraciansquare|location|landmark|visited,thraciansquare,location,,landmark,visited,,"According to Xenophon, the Thracian Square was a clearing within the walls of Byzantium.",,
65d7bdde-8eb4-49db-9ef1-129b9b740749,anabasis_book7_english.txt,Xenophon,char-offset:7087,PERSON,,,,,,,,Xenophon|person,https://en.wikipedia.org/wiki/Xenophon.,person,,,,,,,
2dc00525-28fa-4b0f-aa20-65fa0571b04d,anabasis_book7_english.txt,Lacedaemonians,char-offset:7351,PLACE,http://pleiades.stoa.org/places/570406,Lacedaemon/Laconia,-0750/0300,37.07624042,22.46082645,region,VERIFIED,Lacedaemon|collective|ethnic|region,https://en.wikipedia.org/wiki/Sparta.,collective,ethnic,region,,,,,
0d8f7a75-a039-4020-97b6-60fb6e91960e,anabasis_book7_english.txt,Lacedaemonians,char-offset:7525,PLACE,http://pleiades.stoa.org/places/570406,Lacedaemon/Laconia,-0750/0300,37.07624042,22.46082645,region,VERIFIED,Lacedaemon|collective|ethnic|region,https://en.wikipedia.org/wiki/Sparta.,collective,ethnic,region,,,,,
a8aa635a-369f-490e-9056-716f9520f433,anabasis_book7_english.txt,Athenians,char-offset:7734,PLACE,http://pleiades.stoa.org/places/579885,"Athenae|Athenae, Athína",-0750/2100,37.971687,23.726464,settlement,VERIFIED,Athens|collective|ethnic|referenced,https://en.wikipedia.org/wiki/Athens.,collective,ethnic,,referenced,,,,
4233a2f9-93ba-44bc-b5a0-c28161890477,anabasis_book7_english.txt,Lacedaemonians,char-offset:7788,PLACE,http://pleiades.stoa.org/places/570406,Lacedaemon/Laconia,-0750/0300,37.07624042,22.46082645,region,VERIFIED,Lacedaemon|collective|ethnic|region,https://en.wikipedia.org/wiki/Sparta.,collective,ethnic,region,,,,,
