"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"db0a2ef8-10c3-4d22-9c84-eaa5d44888a9","Heimskringla - Ynglinga Saga.txt","Nǫrvasund","char-offset:197","PLACE","http://pleiades.stoa.org/places/256198","Herakleios Porthmos/Gaditanum Fretum","-0550/0640","35.971667","-5.485833","river,water-open","VERIFIED","body of water|https://snl.no/Norvasund","aka 'Narvesund'","",""
"024a26e7-ac0a-4fca-bfc0-0021d9966e24","Heimskringla - Ynglinga Saga.txt","Jórsalaland","char-offset:249","PLACE","http://sws.geonames.org/293198","Jerusalem","","31.74321305841924","35.0043676975945","","VERIFIED","region|https://sv.wikipedia.org/wiki/Jorsala","The larger region of Judea/Palestine, not just the city itself","",""
"b81b22c2-dd3a-4e76-aa81-2248a2b29798","Heimskringla - Ynglinga Saga.txt","Svartahaf","char-offset:306","PLACE","http://pleiades.stoa.org/places/1224","Pontus Euxinus","-0750/2100","43.0786852","34.7425505","water-open","VERIFIED","body of water|sea|https://is.wikipedia.org/wiki/Svartahaf","","",""
"d26c8227-17a9-439f-85bd-998d2ab28bd3","Heimskringla - Ynglinga Saga.txt","Svartahaf","char-offset:514","PLACE","http://pleiades.stoa.org/places/1224","Pontus Euxinus","-0750/2100","43.0786852","34.7425505","water-open","VERIFIED","body of water|sea|https://is.wikipedia.org/wiki/Svartahaf","","",""
"fc018203-4c34-4ae3-843b-4a991657f990","Heimskringla - Ynglinga Saga.txt","Svíþjóð in mikla","char-offset:532","PLACE","http://sws.geonames.org/2661886","Sweden","","62.7925483465048","16.753693037543123","","VERIFIED","region|https://snl.no/Svithjod","""Sweden the Great""","",""
"d9751c4e-e74d-4583-8b8d-08a94d795f35","Heimskringla - Ynglinga Saga.txt","in kalda","char-offset:571","PLACE","http://sws.geonames.org/2661886","Sweden","","62.7925483465048","16.753693037543123","","VERIFIED","region|https://snl.no/Svithjod","""Sweden the Cold""","",""
"020dba68-4434-4772-954a-69b9ff8a7437","Heimskringla - Ynglinga Saga.txt","Svíþjóð in mikla","char-offset:603","PLACE","http://sws.geonames.org/2661886","Sweden","","62.7925483465048","16.753693037543123","","VERIFIED","region|https://snl.no/Svithjod","""Sweden the Great""","",""
"17757f7a-e54e-41c6-a025-c097094cfa66","Heimskringla - Ynglinga Saga.txt","Serkland it mikla","char-offset:647","PLACE","","","","","","","NOT_IDENTIFIABLE","region|https://snl.no/Serkland","""Seracen-land the Great"": North Africa(see vocab)","",""
"373783d8-9292-4169-9f3d-bfd4cf8dba75","Heimskringla - Ynglinga Saga.txt","Bláland it mikla","char-offset:726","PLACE","http://sws.geonames.org/6255146","Africa","","6.42577000602419","18.274639053061836","","VERIFIED","region|https://snl.no/Bl%C3%A5land","""Blacks-land the Great"": Africa","",""
"9fc70616-329d-440e-8f8d-40338d6474a2","Heimskringla - Ynglinga Saga.txt","Svíþjóð","char-offset:797","PLACE","http://sws.geonames.org/2661886","Sweden","","62.7925483465048","16.753693037543123","","VERIFIED","https://snl.no/Svithjod|kingdom","Kingdom in modern day Sweden, centered around Uppsala; homeland of the Sviar people","",""
"359611ad-c7de-4e7f-9d14-1bf766f9eda9","Heimskringla - Ynglinga Saga.txt","Bláland","char-offset:881","PLACE","http://sws.geonames.org/6255146","Africa","","6.42577000602419","18.274639053061836","","VERIFIED","region|https://snl.no/Bl%C3%A5land","","",""
"64cfd526-0145-4b92-8f63-143c10940b91","Heimskringla - Ynglinga Saga.txt","Svíþjóð","char-offset:933","PLACE","http://sws.geonames.org/2661886","Sweden","","62.7925483465048","16.753693037543123","","VERIFIED","https://snl.no/Svithjod|kingdom","Kingdom in modern day Sweden, centered around Uppsala; homeland of the Sviar people","",""
"039efd56-9f4e-455a-b305-c6b6c53c3c50","Heimskringla - Ynglinga Saga.txt","mountains that are beyond all habitations","char-offset:1221","PLACE","","","","","","","NOT_IDENTIFIABLE","mountains","","",""
"9d7abce4-3e01-4925-9593-8aaaa005f4af","Heimskringla - Ynglinga Saga.txt","Svíþjóð","char-offset:1286","PLACE","http://sws.geonames.org/2661886","Sweden","","62.7925483465048","16.753693037543123","","VERIFIED","https://snl.no/Svithjod|kingdom","Kingdom in modern day Sweden, centered around Uppsala; homeland of the Sviar people","",""
"9c18a1c5-1029-4496-a1df-94bdec679e7d","Heimskringla - Ynglinga Saga.txt","Tanais","char-offset:1318","PLACE","http://pleiades.stoa.org/places/825398","Tanais (river)","","47.5437096","40.7291755","river","VERIFIED","body of water|river|https://en.wiktionary.org/wiki/Tanais","","",""
"23063c99-683c-4e2a-8b85-2b03e509eba0","Heimskringla - Ynglinga Saga.txt","Tanakvísl","char-offset:1355","PLACE","http://pleiades.stoa.org/places/825398","Tanais (river)","","47.5437096","40.7291755","river","VERIFIED","body of water|river|https://en.wiktionary.org/wiki/Tanais","","",""
"33a98323-c9e0-4abc-9cb7-d7d18ec45c3e","Heimskringla - Ynglinga Saga.txt","Vanakvísl","char-offset:1386","PLACE","http://pleiades.stoa.org/places/825398","Tanais (river)","","47.5437096","40.7291755","river","VERIFIED","body of water|river|https://en.wiktionary.org/wiki/Tanais","","",""
"3f0ea2b0-d804-47fd-934f-afebf8cf68ec","Heimskringla - Ynglinga Saga.txt","Svartahaf","char-offset:1439","PLACE","http://pleiades.stoa.org/places/1224","Pontus Euxinus","-0750/2100","43.0786852","34.7425505","water-open","VERIFIED","body of water|sea|https://is.wikipedia.org/wiki/Svartahaf","","",""
"c71f788a-584f-4bf5-bad1-65d5e4de7938","Heimskringla - Ynglinga Saga.txt","Vanakvíslir","char-offset:1466","PLACE","","","","","","","NOT_IDENTIFIABLE","https://en.wikipedia.org/wiki/Vanaheimr","","",""
"1edbafa7-d0c2-45ea-a152-30f77a8ff8c2","Heimskringla - Ynglinga Saga.txt","Vanaland","char-offset:1513","PLACE","","","","","","","NOT_IDENTIFIABLE","https://en.wikipedia.org/wiki/Vanaheimr","","",""
"ada80325-6730-4a54-b325-863ffac898c8","Heimskringla - Ynglinga Saga.txt","Vanaheimr","char-offset:1541","PLACE","","","","","","","NOT_IDENTIFIABLE","https://en.wikipedia.org/wiki/Vanaheimr","","",""
