Verse,Sentence number,Segment ,Sentiment class,Fun score,Translation ,Relevant lexicon - Sentiment,Relevant lexicon - Fun,Comments
29-31,1,ἐμὲ μὲν σὺ πολλοὺς τὸν πατέρʼ ἐλαύνεις δρόμους. ἀτὰρ τί χρέος ἔβα με μετὰ τὸν Πασίαν; τρεῖς μναῖ διφρίσκου καὶ τροχοῖν Ἀμυνίᾳ.,Negative,1,"Many courses do you drive me, your father. But what debt came upon me after Pasias? Three minae to Amynias for a little chariot and pair of wheels.",χρέος,διφρίσκος,
33-35,2,"ἀλλʼ ὦ μέλʼ ἐξήλικας ἐμέ γʼ ἐκ τῶν ἐμῶν, ὅτε καὶ δίκας ὤφληκα χἄτεροι τόκου ἐνεχυράσεσθαί φασιν.",Negative,1,"O foolish youth, you have rolled me out of my possessions; since I have been cast in suits, and others say that they will have surety given them for the interest.",,,
84-86,3,"μὴ ʼμοί γε τοῦτον μηδαμῶς τὸν ἵππιον· οὗτος γὰρ ὁ θεὸς αἴτιός μοι τῶν κακῶν. ἀλλʼ εἴπερ ἐκ τῆς καρδίας μʼ ὄντως φιλεῖς, ὦ παῖ πιθοῦ.",Negative,0,"Nay, do not by any means mention this Equestrian to me, for this god is the author of my misfortunes. But, if you really love me from your heart, my son, obey me.",κακός,,
94-99,4,"ψυχῶν σοφῶν τοῦτʼ ἐστὶ φροντιστήριον. ἐνταῦθʼ ἐνοικοῦσʼ ἄνδρες, οἳ τὸν οὐρανὸν λέγοντες ἀναπείθουσιν ὡς ἔστιν πνιγεύς, κἄστιν περὶ ἡμᾶς οὗτος, ἡμεῖς δʼ ἄνθρακες. οὗτοι διδάσκουσʼ, ἀργύριον ἤν τις διδῷ, λέγοντα νικᾶν καὶ δίκαια κἄδικα.",Neutral,1,"This is a thinking-shop of wise spirits. There dwell men who in speaking of the heavens persuade people that it is an oven, and that it encompasses us, and that we are the embers. These men teach, if one give them money, to conquer in speaking, right or wrong.",,,
102-104,5,"αἰβοῖ πονηροί γʼ, οἶδα. τοὺς ἀλαζόνας τοὺς ὠχριῶντας τοὺς ἀνυποδήτους λέγεις, ὧν ὁ κακοδαίμων Σωκράτης καὶ Χαιρεφῶν.",Negative,1,"Bah! They are rogues; I know them. You mean the quacks, the pale-faced wretches, the bare-footed fellows, of whose numbers are the miserable Socrates and Chaerephon.","αἰβοῖ, πονηρός, ἀνυπόδητος, κακοδαίμων",ἀνυπόδητος,
105-107,6,"ἢ ἢ σιώπα· μηδὲν εἴπῃς νήπιον. ἀλλʼ εἴ τι κήδει τῶν πατρῴων ἀλφίτων, τούτων γενοῦ μοι σχασάμενος τὴν ἱππικήν.",Neutral,0,"Hold! Hold! Be silent! Do not say anything foolish. But, if you have any concern for your father's patrimony, become one of them, having given up your horsemanship.",,,
112-118,7,"εἶναι παρʼ αὐτοῖς φασιν ἄμφω τὼ λόγω, τὸν κρείττονʼ, ὅστις ἐστί, καὶ τὸν ἥττονα. τούτοιν τὸν ἕτερον τοῖν λόγοιν, τὸν ἥττονα, νικᾶν λέγοντά φασι τἀδικώτερα. ἢν οὖν μάθῃς μοι τὸν ἄδικον τοῦτον λόγον, ἃ νῦν ὀφείλω διὰ σέ, τούτων τῶν χρεῶν οὐκ ἂν ἀποδοίην οὐδʼ ἂν ὀβολὸν οὐδενί.",Neutral,1,"They say that among them are both the two causes--the better cause, whichever that is, and the worse: they say that the one of these two causes, the worse, prevails, though it speaks on the unjust side. If, therefore you learn for me this unjust cause, I would not pay any one, not even an obolus of these debts, which I owe at present on your account.",,,
121-123,8,"οὐκ ἄρα μὰ τὴν Δήμητρα τῶν γʼ ἐμῶν ἔδει, οὔτʼ αὐτὸς οὔθʼ ὁ ζύγιος οὔθʼ ὁ σαμφόρας· ἀλλʼ ἐξελῶ σʼ ἐς κόρακας ἐκ τῆς οἰκίας.",Negative,0,"Then, by Ceres, you shall not eat any of my good! Neither you, nor your blood-horse; but I will drive you out of my house to the crows.",,,
126-132,9,"ἀλλʼ οὐδʼ ἐγὼ μέντοι πεσών γε κείσομαι, ἀλλʼ εὐξάμενος τοῖσιν θεοῖς διδάξομαι αὐτὸς βαδίζων ἐς τὸ φροντιστήριον. πῶς οὖν γέρων ὢν κἀπιλήσμων καὶ βραδὺς λόγων ἀκριβῶν σχινδαλάμους μαθήσομαι; ἰτητέον. τί ταῦτʼ ἔχων στραγγεύομαι, ἀλλʼ οὐχὶ κόπτω τὴν θύραν; παῖ παιδίον.",Neutral,1,"Though fallen, still I will not lie prostrate: but having prayed to the gods, I will go myself to the thinking-shop and get taught. How, then, being an old man, shall I learn the subtleties of refined disquisitions? I must go. Why thus do I loiter and not knock at the door? Boy! Little boy!",,,
143-147,10,λέξω. νομίσαι δὲ ταῦτα χρὴ μυστήρια. ἀνήρετʼ ἄρτι Χαιρεφῶντα Σωκράτης ψύλλαν ὁπόσους ἅλλοιτο τοὺς αὑτῆς πόδας· δακοῦσα γὰρ τοῦ Χαιρεφῶντος τὴν ὀφρῦν ἐπὶ τὴν κεφαλὴν τὴν Σωκράτους ἀφήλατο.,Neutral,1,"I will tell you; but you must regard these as mysteries. Socrates lately asked Chaerephon about a flea, how many of its own feet it jumped; for after having bit the eyebrow of Chaerephon, it leaped away onto the head of Socrates.",,,
