Verse,Sentence number,Segment,Sentiment class,Translation,Relevant Lexicon,Comments
lines 3-5,1,Admiranda tibi levium spectacula rerum magnanimosque duces totiusque ordine gentis mores et studia et populos et proelia dicam,Positive,"Maecenas, give this section too your regard. I'll tell you in proper sequence about the greatest spectacle of the slightest things, and of brave generals, and a whole nation's customs and efforts, tribes and battles.",admiranda (fem. nom. sg); magnanimus (masc. nom. sg.); dux (masc. nom. sg); mos (masc. nom. sg); studium (neut. nom. sg),
lines 8-12,2,"Principio sedes apibus statioque petenda, quo neque sit ventis aditus—nam pabula venti ferre domum prohibent—neque oves haedique petulci floribus insultent aut errans bucula campo decutiat rorem et surgentes atterat herbas",Neutral,"First look for a site and position for your apiary, where no wind can enter (since the winds prevent them carrying home their food) and where no sheep or butting kids leap about among the flowers, or wandering cattle brush the dew from the field, and wear away the growing grass.",aditus (masc. nom. sg. perf. pass. participle); pabulum (neut. nom. sg); errans (masc/fem. nom. sg. pres. act. participle); surgens (masc/fem. nom. sg. pres. act. participle),"The decision to make this sentence neutral was on account of the sentence offering neither praise nor admonition, but rather advice on where to place a beehive."
lines 13-15,3,Absint et picti squalentia terga lacerti pinguibus a stabulis meropesque aliaeque volucres et manibus Procne pectus signata cruentis,Mixed,"Let the bright-colored lizard with scaly back, and the bee-eater and other birds, and Procne, her breast marked by her blood-stained hands, keep away from the rich hives:",merops (fem. nom. sg.); signata (fem. nom. sg. perf. pass. participle); cruenta (fem. nom. sg. adj.),"Ambiguous lexicon - merops, signata, and cruenta are negative based solely on the context"
lines 18-24,4,"At liquidi fontes et stagna virentia musco adsint et tenuis fugiens per gramina rivus, palmaque vestibulum aut ingens oleaster inumbret, ut, cum prima novi ducent examina reges vere suo ludetque favis emissa iuventus, vicina invitet decedere ripa calori, obviaque hospitiis teneat frondentibus arbos",Positive,"But let there be clear springs nearby, and pools green with moss, and a little stream sliding throuhg the grass, and let a palm tree or a large wild olive shade the entrance, so that when the new leaders command the early swarms in their springtime, and the young enjoy freedom from the combs, a neighbouring bank may tempt them to leave the heat, and a tree in the way hold them in its sheltering leaves.",fons (masc. nom. sg.); virens (neut. nom. sg.); hospitium (neut. nom. sg.); frondens (masc. nom. sg. pres. act. participle),
lines 25-29,5,"In medium, seu stabit iners seu profluet umor, transversas salices et grandia conice saxa, pontibus ut crebris possint consistere et alas pandere ad aestivum solem, si forte morantes sparserit aut praeceps Neptuno immerserit Eurus",Neutral,"Whether the water flows or remains still, throw willows across the centre, and large stones, so that it's full of bridges where they can rest, and spread their wings to the summer sun, if by chance a swift Easterly has wet the lingerers or dipped them in the spring.",aestivum (neut. nom. sg.); fors (neut. nom. sg.),
lines 30-32,6,Haec circum casiae virides et olentia late serpylla et graviter spirantis copia thymbrae floreat inriguumque bibant violaria fontem,Neutral,"Let green rosemary, and wild thyme with far-flung fragrance, and a wealth of strongly-scented savory, flower around them, and let beds of violets drink from the trickling spring.",viridis (masc/fem. nom. sg); olens (neut. nom. sg.); inriguum (neut. nom. sg.),
lines 33-36,7,"Ipsa autem, seu corticibus tibi suta cavatis, seu lento fuerint alvaria vimine texta, angustos habeant aditus: nam frigore mella cogit hiems, eademque calor liquefacta remittit",Neutral,"Let the hives themselves have narrow entrances, whether they're seamed with hollow bark, or woven from pliant osiers: since winter congeals the honey with cold, and heat loosens it with melting.",alvarium (neut. nom. sg.); frigor (masc. nom. sg.); calor (masc. nom. sg.),
lines 37-41,8,neque illae nequiquam in tectis certatim tenuia cera spiramenta linunt fucoque et floribus oras explent collectumque haec ipsa ad munera gluten et visco et Phrygiae servant pice lentius Idae,Neutral,"it's not for nothing that they emulate each other in lining the thin cells of their hives with wax, and filling the crevices with glue made from flowers, and keep a store of it for this use, stickier than bird lime or pitch from Phygrian Ida. ",cera (fem. nom. sg.); munus (neuter. nom. sg.),
lines 42-44,9,"Saepe etiam effossis, si vera est fama, latebris sub terra fovere larem, penitusque repertae pumicibusque cavis exesaeque arboris antro",Neutral,"If the rumor's true they also like homes in tunnelled hiding-places underground, and are often found deep in the hollows of pumice, and the caverns of decaying trees. ",fama (fem. nom. sg.); pumex (masc. nom. sg.),
lines 47-50,10,"Neu propius tectis taxum sine, neve rubentes ure foco cancros, altae neu crede paludi, aut ubi odor caeni gravis aut ubi concava pulsu saxa sonant vocisque offensa resultat imago",Mixed,"Don't let yew too near their homes, or roast blushing crabs on your hearth, or trust a deep marsh or where there's a strong smell of mud, or where hollow rock rings when struck, and an echoed voice rebounds on impact. ",palus (fem. nom. sg.); caenum (neut. nom. sg.); pulsus (masc. nom. sg.); offensa (nom. sg. fem. perf. pass. participle),Marked as mixed due to the cautionary nature of the sentence
