Verse,Sentence number,Segment,Sentiment class,Translation,Relevant lexicon,Comments,Violence score
337-340,81,"vīdit ut hostīlēs in rēctum exīre catervās Pompeius nūllāsque morās permittere bellō sed superīs placuisse diem, stat corde gelātō attonitus",Negative,"When Pompey saw the enemy army advance directly,/to further the battle without delay, he stood appalled,/his blood froze, knowing this day chosen by the gods.",,,
341-344,82,"premit inde metus, tōtumque per agmen sublīmī praevectus equō ‘quem flāgitat’ inquit ‘vestra diem virtūs, fīnis cīvīlibus armīs, quem quaesīstis, adest",Positive,"But swallowing his fears he rode along the line on his\great war-horse. ‘Behold the day,’ he cried, ‘that your\virtue demanded, the end of the civil war you sought. ",,,
344 - 346,83,"tōtās effundite vīrēs: extrēmum ferrī superest opus, ūnaque gentīs hōra trahit",Positive,Expend all your strength; one last trial of arms is left;\a single hour that draws all nations here. ,,,
346 - 348,84,"quisquis patriam cārōsque penātēs, quī subolem ac thalamōs dēsertaque pignora quaerit, ēnse petat: mediō posuit deus omnia campō",Neutral,"Whoever\longs for his house and homeland, his wife, children,\dear ones left behind, must wield the sword: heaven\sets all on this one battle.",,,
349 - 351,85,"causa iubet melior superōs spērāre secundōs: ipsī tēla regent per vīscera Caesaris, ipsī Rōmānās sancīre volent hōc sanguine lēgēs",Positive,"Ours, the better cause, gives\hope of the gods’ favour: they will guide our spears\to Caesar’s heart, they wish to sanctify Rome’s laws\with his blood.",,,1
352 - 355,86,"sī socerō dare rēgna meō mundumque parārent, praecipitāre meam fātīs potuēre senectam: nōn īrātōrum populīs urbīque deōrum est Pompeium servāre ducem",Neutral,"If they chose to grant my father-in-law\the command of the world, they could hasten this grey\head of mine into the grave: but if they let Pompey lead\they cannot be angry with Rome or the nations.",,,
358 - 360,87,"sī Curiōs hīs fāta darent reducēsque Camillōs temporibus Deciōsque caput fātāle voventīs, hinc stārent",Neutral,"such that Curius, and Camillus,\and the Decii, those lives devoted to death, if the fates\had restored them to our times, would stand beside us.",,,
360 - 362,88,prīmō gentēs oriente coāctae innumeraeque urbēs quantās in proelia numquam excīvēre manūs: tōtō simul ūtimur orbe,Positive,"The nations of the eastern dawn, of countless cities, are\gathered, such hosts as never were summoned before.\A whole world at once is for us.",,,
363- 364,89,"quidquid signiferī comprēnsum līmite caelī sub Noton et Boreān hominum sumus, arma movēmus",Positive,"Whoever is bounded\by the zodiac to north and south make up our army,",,,
365 - 368,90,"nōnne superfūsīs collēctum cornibus hostem in medium dabimus? paucās victōria dextrās exigit, at plūrēs tantum clāmōre catervae bella gerent",Positive,"and shall we not encircle the enemy forces, outflank\them with our wings? Victory demands but few to fight,\mere shouting is all the rest of our army requires to do:",,,
369 - 370,91,crēdite pendentēs ē summīs moenibus urbis crīnibus effūsīs hortārī in proelia mātrēs,Neutral,Imagine Rome’s\mothers leaning with dishevelled hair from the high\walls of the city urging you to battle,,,
371 - 373,92,crēdite grandaevum vetitumque aetāte senātum arma sequī sacrōs pedibus prōsternere cānōs atque ipsam dominī metuentem occurrere Rōmam,Positive,"imagine those\aged senators prevented from fighting by their years,\bowing their venerable grey heads before you; that\Rome herself fearful of tyranny comes to greet you;",,,
374 - 376,93,"crēdite quī nunc est populus populumque futūrum permixtās afferre precēs: haec lībera nāscī, haec vult turba morī",Mixed,"imagine that present generations and those to come\both address their prayers to you: the latter desiring\to be born free, the former to die in freedom.",,,
376 - 379,94,"sī quis post pignora tanta Pompeiō locus est, cum prōle et coniuge supplex, imperiī salvā sī maiestāte licēret, volverer ante pedēs",Neutral,"If with\such at stake, there is still room for Pompey, then\with my wife and sons, I would kneel at your feet in\supplication, ",,,
379 - 382,95,"Magnus, nisi vincitis, exul, lūdibrium socerī, vester pudor, ultima fāta dēprecor ac turpēs extrēmī cardinis annōs, nē discam servīre senex",Mixed,"Except you conquer, Pompey is\exiled, scorned by Caesar, bringing shame on you,\and I pray to escape that final misery, in my closing\years, and not learn, an old man, to bear the yoke.",,,
460 - 463,110,"ut rapidō cursū fātī suprēma morantem cōnsūmpsēre locum, parvā tellūre dirēmptī, quō sua pīla cadant aut quae sibi fāta minentur inde manūs spectant",Neutral,"When both armies had swiftly crossed the open ground\that lay between them and that final act of destiny, and\were only separated by a little space, each man looked\to see where his javelin might fall,",,,1
463- 466,111,"penitus quō nōscere possent factūrī quae mōnstra forent, vīdēre parentēs frontibus adversīs frāternaque comminus arma, nec libuit mūtāre locum",Negative,"or whose arm fate\might raise to threaten him. There they could see fathers’\and brothers’ faces opposite, weapons at their side, yet\chose to hold position.",,,1
466 - 469,112,"tamen omnia torpor pectora cōnstrīnxit, gelidusque in vīscera sanguis percussā pietāte coit, tōtaeque cohortēs pīla parāta diū tēnsīs tenuēre lacertīs dī tibi nōn mortem, quae cūnctīs poena parātur,",Mixed,"But their blood ran cold, torpor\seized them, numbed at the heart from that blow to all\natural affection, and whole companies grasped their\motionless javelins in a rigid grip.",,,
470 - 473,113,"sed sēnsum post fāta tuae dent, Crāstine, mortī, cuius torta manū commīsit lancea bellum prīmaque Thessaliam Rōmānō sanguine tīnxit",Negative,"And may the gods\grant you, Cratinus, whose spear-blow began the battle,\staining Thessaly with Roman blood, not mere death,\which lies in store for all, but the pains beyond death.",,,
480 - 484,114,"excēpit resonīs clāmōrem vallibus Haemus Pēliacīsque dedit rūrsus gemināre cavernīs, Pindus agit fremitūs Pangaeaque saxa resultant Oetaeaeque gemunt rūpēs, vōcēsque furōris expāvēre suī tōtā tellūre relātās",Negative,"The Haemus range’s echoing gorges took up the cry\and passed it onwards for Pelion’s caverns to repeat.\Pindus growled, and the Pangaean rocks resounded,\while Oeta’s cliffs bellowed, till all were terrified by\that sound of wild voices returned by Mother Earth.",,,
485 - 487,115,"spargitur innumerum dīversīs missile vōtīs: vulnera pars optat, pars terrae fīgere tēla ac pūrās servāre manūs",Mixed,"Innumerable spears were thrown, with differing aim;\some hoping to wound, some to bury the spearhead\in the ground and keep their hands unstained",,,
514 - 516,116,"tunc et Ityraeī Mēdīque Ārabēsque solūtī, arcū turba mināx, nusquam rēxēre sagittās, sed petitur sōlus quī campīs imminet āēr Inde cadunt mortes.",Negative,"The Ituraeans, Medes and lone Arabs,\formidable with the bow, firing at no specific mark,\aimed only at the sky over the battlefield, and death\rained down,",,,
517 - 519,117,sceleris sed crīmine nūllō externum maculant chalybem: stetit omne coāctum circā pīla nefās,Neutral,"but no guilt stained their foreign steel,\all evil was confined to the Roman javelins. The air\was thick with metal, the gloom of the interweaving\weapons masked the plain.",,,
489 - 491,118,sed quota pars clādis iaculīs ferrōque volantī exācta est! odiīs sōlus cīvīlibus ēnsis sufficit et dextrās Rōmāna in vīscera dūcit,Neutral,"But the least part of that\slaughter was due to the flying metal hurled or fired!\The sword alone could satisfy the civil war’s hatreds,\drawing right hands towards the hearts of Romans.",,,
492 - 495,119,"Pompeiī dēnsīs aciēs stīpāta catervīs iūnxerat in seriem nexīs umbōnibus arma, vixque habitūra locum dextrās ac tēla movendī cōnstiterat gladiōsque suōs compressa timēbat",Negative,"Pompey’s forces packed in close ranks, linked arms,\shield-boss after shield-boss, in an unbroken line;\with barely space where they stood to move hand\or weapon, so crowded they feared their own swords.",,,0
496 - 498,120,"praecipitī cursū vēsānum Caesaris agmen in dēnsōs agitur cuneōs, perque arma, per hostem quaerit iter",Neutral,"Caesar’s force, with wild and headlong speed, charged\the dense ranks, finding a way through shields and men;\where the woven mail presents its heavy links, where\the breast is protected by the armour, even to the vitals,\all that lies beneath, the blows they delivered penetrated.",,,2
506 - 509,123,"ut prīmum tōtō dīdūxit cornua campō Pompeiānus eques bellīque per ultima fūdit, sparsa per extrēmōs levis armātūra maniplōs īnsequitur saevāsque manūs immittit in hostem",Neutral,"When Pompey’s two cavalry wings extended their arc\over the plain beyond the flanks of infantry, his light\troops pushed on in loose order into the opposing men,\and launched fierce attacks against Caesar’s front ranks.",,,1
510 - 513,124,"illīc quaeque suō miscet gēns proelia tēlō, Rōmānus cūnctīs petitur cruor: inde sagittae, inde facēs et saxa volant spatiōque solūtae āeris et calidō liquefactae pondere glandēs",Neutral,"Each soldier wielded his usual weapons, all alike after\Roman blood, with flights of arrows, brands and stones,\and weighted bullets melted and fused by their passage.",,,2
521- 524,125,"cum Caesar, metuēns nē frōns sibi prīma labāret incursū, tenet oblīquās post signa cohortēs, inque latus bellī, quā sē vagus hostis agēbat, ēmittit subitum nōn mōtīs cornibus agmen",Negative,"But Caesar, fearing his vanguard might be broken, sent\the cohorts in reserve, positioned at an angle to his lines\behind the standards, into attack, while the wings waited,\against that part of the battlefield where all was in chaos.",,,1
525 - 527,126,immemorēs pugnae nūllōque pudōre timendī praecipitēs fēcēre palam cīvīlia bella nōn bene barbaricīs umquam commissa catervīs,Negative,"Pompey’s cavalry fled headlong, in shameless cowardice,\showing the folly of entrusting civil conflict to barbarians.",,,0
528 - 531,127,"ut prīmum sonipēs trānsfīxus pectora ferrō in caput effūsī calcāvit membra regentis, omnis eques cessit campīs, glomerātaque nūbēs in sua conversīs praeceps ruit agmina frēnīs",Neutral,"As the first warhorse, pierced in the chest, threw its rider\headlong and trampled on his body, the rest fled the field,\their horses charging, a dense mass, into their own ranks.",,,2
