AKK	ENG	Frequency
a-hu-uzx ESZ5	I seized	4
u3	and	4
sza	your	3
d inanna	of Ishtar	2
a-na	to	2
ba-ki	mouth	2
in	in	2
la	not	2
a-za-am	cup	2
a-asz2-hi-it	I leapt	1
szi-na-tim	of urine	1
ki-ri2-isz	to garden	1
ur4-ki	vulva	1
tu-ur4-da-ma	Come down	1
d suen	of Sîn	1
e-ni-ki	eyes	1
ab-dug	I cut	1
bu-ra-ma-ti	your colourful	1
ru-ga-tim	drooling	1
ti-ib-da-ad-ga	you drinking	1
ga-na-ak-tim	of incense-tree	1
ru-uh2-ti	sap	1
gesz kiri6	garden	1
da-ba-sza-hi-ni	find peace	1
tu-ur4-da	come down	1
u-sza -ab#	sits	1
ir-e-ma-am	love-charm	1
-am e3-ra-	he loves	1
ir-e-mu-um	love-charm	1
_dumu	_child	1
in	on	1
za-gi- sa	her lap	1
in	Through	1
ki-ri2-szum	To garden	1
ru-uh2-ti#	sap	1
ga-na -ak-tim	of incense-tree	1
u2-da-ra	turns	1
wa-ar#-da#-ta2	You beautiful maidens	1
u-me-isz-sa	her day for	1
da-mi3-iq-ta2	blooming	1
gesz asal2	_poplar tree	1
i3-du-ru	encircles	1
du-ri-ni	boxwood trees	1
qa2-ti-su	his hands	1
e-dam-da	entwined	1
za-wa-ar-ki	your neck	1
za-wa-ar-su	his neck	1
a-ti	So long as	1
u3-dam-me-ki	I conjure you	1
d isz-ha-ra	Išḫara	1
da-di3	of sexual attraction	1
mu-hu-tim	ecstasy	1
isz-ku-nu-si	driven her	1
u2-da-bi-bu-si-ma	persuaded her	1
ir-e-mu	love-charms	1
bu-ti-su	his shoulders	1
i-ri-nim	of cedar fragrance	1
_i3	_of oil	1
i-da-az-ga-ri-ni	Encircle me between	1
sa-ap-da-su	his lips	1
ti-bu-ut-tum	harp	1
si-ir-gu-a	adorned	1
i-da-su	His arms	1
mu-ra-asz2	its foal	1
a-da-num2	mare	1
sila3_-za	its lamb	1
_u8	ewe	1
_i3	_Oil	1
ga-lu-ma-sa	its kid	1
_ud5	_goat	1
za-nam	flock	1
_sipa	_shepherd	1
ki	like	1
d en-ki	Enki	1
