AKK	ENG	Frequency
LUGAL	King	5
a-na-ku	I	3
LUGAL	king	2
iš-ten	one	2
ù	and	2
ina	among	2
ma-du-ú-tu	many	2
šá	of	2
li-iṣ-ṣur-an- ni	along	1
a-ḫa-ma- an-ni-iš-ši-ʾ	Achaemenian	1
m da-a-ri-ia-muš	of Darius	1
A	descendant	1
A	son	1
m ḫi-ši-ʾ-ar-ši-ʾ	of Xerxes	1
GAL-ti	great	1
li-šá-nu	of tongues	1
qaq-qa-ru	of earth	1
KUR KUR MEŠ	of countries	1
GAL-u	Great	1
nap-ḫar	totality	1
LUGAL MEŠ	of kings	1
GAL-ú	Great	1
m ar-ta-ak-šá-as-su	Artaxerxes	1
mu-te-e-me	rulers	1
ar-ta-ak-⸢šá⸣- as-su	Artaxerxes	1
GIŠ MI	favor	1
i-qab-bi	says	1
at-tu-ú-a	built	1
šá	what	1
LUGAL-ú-ti-⸢ia⸣	my kingdom	1
ga-ab-bi	other	1
DINGIR MEŠ	all gods	1
it-ti	with	1
d a-ḫu-ru-ma-az-da-ʾ	Ahuramazda	1
ku a-na-	Me	1
e-te-pu-uš	may protect	1
AD-ú-a	my father	1
i-na	by	1
m ḫi-ši-ʾ-ar-ši-ʾ	Xerxes	1
šá	which	1
a-ga-a	this	1
ru-uq-qu-ti	wide	1
a-⸢ga⸣- a-ta	this	1
É	house	1
da-ḫu-ru-ma-az-da-ʾ	Ahuramazda	1
e-pu-uš-šu	built	1
LUGAL MEŠ	kings	1
