AKK	ENG	Frequency
a-na	for	5
ša	which	3
a-na	to	3
ù	and	3
lu-ú	indeed	3
šar-ru-ti-ia	my kingship	2
ra-ap-ša-a-tim	widespread	2
ni-ši-ša	his people	2
ma-a-tim	land	2
i-na	in	2
ki-i-nu	legitimate	2
ša	who	2
šu-um	name	2
ma-a-tim	to country	1
pa-ni	approach	1
dan-nu	strong	1
TIN TIR KI	Babylon	1
BÀD	wall	1
ki-ma	like	1
é-sag-íl	of Esagil	1
ma-aṣ-ṣa-ar-tì	protection	1
na-ṣi-ir	who ensures	1
i-di-lu	blocks	1
ar-ta-né-eʾ-e	shepherded	1
a-na-ku	I	1
gi-it-ma-lum	perfect	1
Ì-nu-um	When	1
d AMAR UTU	Marduk	1
d EN LÍL	Enlil	1
DINGIR DINGIR	of gods	1
ru-bu-ú	prince	1
mu-uš-ta-li	who deliberates	1
ABGAL	sage	1
li-ib-bi	hearts	1
d i-gi₄-gi₄	of Igīgū	1
ka-la-mu	of all	1
mu-du-ú	knows	1
i-na	among	1
iš-ta-an-ni-ma	sought out	1
eṭ-lum	warrior	1
md EN-šu-um-iš-ku-un	of Bēl-šum-iškun	1
e-em-qá	wise	1
aš-ra-a-tì	shrines	1
LUGAL	king	1
TIN TIR KI	of Babylon	1
ru-ba-a-am	prince	1
na-a-da	pious	1
mi-gi-ir	favorite	1
d AMAR UTU	of Marduk	1
áš-ru	humble	1
ka-an-šu	submissive	1
pa-li-iḫ	who reveres	1
EN	lord	1
EN EN	of lords	1
e-em-qá-am	wise	1
mu-ut-né-en-nu-ú	pious	1
mu-uš-te-eʾ-ú	who constantly seeks out	1
d AG	of Nabû	1
NUN	prince	1
EN-šu	his lord	1
ÉNSI	ruler	1
za-ni-nu-um	who provides	1
ba-bi-il	who brings	1
i-gi-se-e	gifts	1
ra-bu-ù-tim	large	1
é-sag-íl	Esagil	1
é-zi-da	Ezida	1
mu-ṭa-aḫ-ḫi-id	who copiously supplies	1
sa-at-tu-uk-ku	sattukku-offerings	1
šu-lu-úḫ-ḫi-šu-un	purification rites	1
DUMU	son	1
iš-tu	since	1
mu-uš-te-ši-ru	ensures are carried out correctly	1
mé-eṣ-ḫe-ru-ti-ia	my youth	1
ba-la-ṭa	health	1
i-ša-ri-iš	properly	1
ša-ni-nu	rivals	1
ši-bi-ir-ri	rod	1
mu-ša-al-li-im	that protects	1
ni-ši	people	1
be-lu-tú	lordship	1
i-qí-pí-im	entrusted	1
uš-pa-ri	staff	1
mu-ka-an-ni-iš	subdues	1
za-ʾi-i-ru	enemies	1
ú-ša-at-mi-ḫa	let grasp	1
qá-tu-ú-a	my hands	1
a-ga-a	crown	1
ú-ša-aš-ša-an-ni-ma	made me wear	1
ù	or	1
ma-a-tú	land	1
mu-gal-li-tú	intimidators	1
ul	not	1
ú-ša-ab-ši	he did bring about	1
a-na-ar	I killed	1
a-a-bi	foes	1
aš-gi-iš	slaughtered	1
ka-li-šu-nu	all	1
za-ma-nu	enemies	1
la ma-gi-ri	of unsubmissive	1
a-lu-ut	suppressed	1
mi-ša-ri	justice	1
aš-ta-ak-ka-an	I constantly established	1
ni-ši-ia	my people	1
iš-ru-kam	he gave	1
mu-ra-ap-pí-ša-at	that widens	1
ṣab-ta-an-ni	provided for	1
i-lu-ti-šu	for his divinity	1
ṭa-a-bi	appropriate	1
áš-ri	in places	1
šu-ul-mi	of well-being	1
šu-ul-mi	peacefully	1
ir-te-ed-dan-ni	constantly guided	1
im-ba-an-ni	gave me	1
a-na	For	1
i-ša-ru-ti-ia	my righteousness	1
qá-qá-da-a	always	1
a-pá-lu-šu	I answer him	1
ka-an-šu-ti-ia	my submissiveness	1
ka-a-a-nim	constantly	1
pu-lu-úḫ-tì	respect	1
aš-te-eʾ-ú	I strive after	1
i-ša-ár-ti	just	1
ṭa-a-bi	pleasing	1
e-pé-šu	to perform	1
u₄-mi-ša-am	daily	1
a-ta-mu-ú	I plan	1
e-li-šu	to him	1
ip-pa-al-sa-an-ni-ma	He looked upon me	1
da-am-qá	gracious	1
šar-ru-tim	king	1
iz-ku-úr	declared	1
re-é-ú-tì	shepherd	1
da-rí	eternity	1
e-pé-šu	In order	1
GIŠ NÍG GIDRU	scepter	1
d NÈ ERI₁₁ GAL-LUGAL-ú-ṣu-ur	Neriglissar	1
