AKK	ENG	Frequency
gesz gidri	_scepter of kingship	1
li-il#- qu3-ta2	pluck out	1
d en#-lil2	Enlil	1
u3	and	1
d utu	Šamaš	1
_suhusz_ -su	his foundations	1
li-su2 -ha	tear out	1
sze -numun#_-su	his seed	1
li-il-qu3 -ta2#	pluck out	1
_sze-numun#_- su	his seed	1
_mu-sar-ra	of vessel	1
u3#	and	1
dug	_Inscription	1
sar-ru-gi	Sargon	1
_lugal	_king	1
a-ga-de3 ki	of Agade	1
_sag-gesz-ra	_conquerer	1
unu ki#	of Uruk	1
u-sa-ar#- bi-su	made him great	1
szum- su	his name	1
i-bi2#	called	1
u-sa-za -ku#- ni	who removes	1
