AKK	ENG	Frequency
ŠE	grain	2
a-na	as	2
ŠE BA	grain rations	2
a-na	for	2
li-zi-ib	he leave	1
ŠE NU MUN	seed grain	1
a-kà-sa-ar	I replace it	1
a-na-ku8	myself	1
ù	Moreover	1
su4-be-la	Shu-bela	1
zu-zu	Zuzu	1
šu	He	1
DUMU	son of	1
pu-zu-zu	Puzuzu	1
ŠE NUMUN	seed grain	1
BA ŠE	rations	1
ì-lí	Ili	1
a-na	say to	1
da-da	Dada	1
qí-bí-ma	assign	1
a-na	to	1
e-ra-si-is	for planting	1
qir-bí-su	he give out	1
na-tú	suitable	1
i-dì-in	reserved	1
a	it	1
ni-qí-im	offering	1
e-re-su-nu	plots	1
da-ni-is	any	1
ENGAR ENGAR	farmers	1
i-ma-ha-ru	receive	1
si-mu-ur4-rí-ù-ki	Simureans	1
la	not	1
a-dì da-ni-is	enough	1
šum-ma	in case	1
ù	But	1
a-si-tu	give it out	1
li-sa-mì-id-ma	I had left over	1
šum-ma	If	1
en-ma	Thus	1
