AKK	ENG	Frequency
a-na	to	2
ma-li-BU	burial mound	1
isz-ma2	for	1
su-bi#-lam	to gather	1
nibru ki	Nippur	1
u-su-bi-lam	gathering	1
im-ri-im	Imrim	1
a-na	with	1
gur_ sza	chapel	1
_sze	of	1
2 u@c	2	1
szu-i3-li2-su	Shu-ilisu	1
na-bi2-um	Nabi um	1
en-ma#	From	1
ki-is -ri-su	portions	1
qu3-ra-dum	hero	1
_ma-na#	month	1
ku3-babbar	_payment	1
isz-te4	single	1
ma-ba-lum- d da-gan	s for Mabalum-Dagan	1
im-hur	medicines	1
en-ma	from	1
a-na	to	1
_mu	_of water	1
e3-qa2-bi	I say	1
at-ta2	Why	1
_ARAD2	_slave	1
u2-ta2-ah	additional payment	1
a-na-ku8	I	1
6 disz	6	1
1/2 asz@c	1/2	1
ku3-babbar-am	money	2
u3	and	2
gu-ti-u3	Gutians	2
at-ta2	you	2
GAN2-lam	work	2
ki2-nu-tim	for correct	1
gu-ti-um-ma-mi3	Gutians	1
ma-aq-qa2-di3	outposts	1
taq-bi2	mile	1
u-wa-ka3-mu	attack	1
uruki-lim	city	1
da-na-ta	Man	1
u2-la	don’t	1
maš2-anše	guarding	1
a-na-ku8	I	1
guruš-guruš	soldiers	1
a-na	every	1
a-pu-na-ma	don’t say	1
šum -ma	herd	1
a-na	into	1
ki	If	1
͗a3-ru-uš	land	1
a-ru-uš	land	1
u-la	not	1
u3-ṣu-ur	flocks	1
maš2-anše	guard	1
͗a3-ru-uš	field	1
GAN2-lam	Work	1
lugal-ra	Lugalra	1
a-na	to	1
iš-ku-un-dda-gan	Ishkun-Dagan	1
maš2-anše	brought	1
li-se11-u3-ni-kum-ma	help	1
ti-bu-tam2	raise	1
in	from	1
la	But	1
a-na-da-nu-kum	I pay you	1
lu	have	1
na- ͗a3-aš2	by life	1
e#-li2	Look	1
a-na-da-kum	pay you	1
dlugal-ka3-li2-lugal-ri2	of Shar-kali-sharri	1
a-la-kam	I arrive	1
a-na-lim-ma	when	1
ta2-na-da-nu	you pay	1
su-si-ib-ma	then	1
ra-ma-ni-ka3	your own assets	1
ti-da	know	1
ta2-na-ṣa-ar	I ask you	1
mu-bi	you	1
iš-pi2-ki2	rent	1
a-ri2-iš-ka3	of field	1
lu	should	1
u3-ma2	I swear	1
maš2-anše	rustle	1
šum-ma	flocks	1
mi2-ma	nothing	1
it-ru-u3	In event	1
a-qa2-bi	say	1
maš2-anše-mi3	rustled	1
su2-ta2-ri2-ib	have	1
en-ma	Thus	1
ù	and	4
tu-sa-ba	you sit	1
lu	must	1
iš-ku-un-d-da-gan	Ishkun-Dagan	1
a-na	to	1
puzur4-d-eštar	Puzur-Eshtar	1
d-INANNA	Inanna	1
ìl-a-ba	Ilaba	1
d-ašgi	Ashgi	1
d-nin-hur-sag	Ninhursaga	1
na- à-ãs	by life	1
LUGAL	of king	1
na- à-ãs	life	1
NIN	of queen	1
a-dì	until	1
tu-mu-at	take oath You	1
tág-ru-sa-am	down	1
a -dì	until	1
e-né-a	you meet	1
la	neither	1
la	nor	1
NINDA	you take	1
KAŠ	beer	1
giš-GU ZA	chair	1
in	in	1
tá-mu-ru	bread	1
ta-la- à-mu	you have come to me	1
la	not	1
en-ma	Thus	1
a-na	to	2
DUG	jars	2
KI DURU5	watered	1
SÍG	of wool	1
i-dì-èr-ra	Iddin-Erra	1
al-la-a-bí	Alla-abi	1
23	6 900	1
ŠE	of grain	1
GUR	liters	1
3	three	1
ha-ú-ru14	Ha uru	1
a-si-ha-am	He bring	1
da-ni-iś-mì	very I	1
da-ni-iś	very	1
2	two	1
GÚN	talents	1
SIG5	of land	1
Ì NUN	of ghee	1
5	five	1
Ì ŠÁH	of lard	1
ù	and	1
KU6	fish	1
AB BA	sea	1
ù	Moreover	1
30 + x	x	1
iku	iku	1
li-sé-bí-lam	to give	1
GÁ NA	fine	1
en-ma	Thus	1
a-na	to	2
li-da-ni-in	child	1
si-ip-ri2	Textiles	1
ma-num2-a-hi	Count to	1
li-di3-in	the day after tomorrow	1
pu-bala	with respect mixing	1
3 u@c	3	1
_ma2_ sza-at	Measure	1
6 asz@c	6	1
_ku3-gal2	_kugal	1
da-da	Dada	1
ib-ni-lugal	Ibbi-Lugal	1
en-ma	From	1
a-na	to	2
ma-li-BU	burial mound	1
isz-ma2	for	1
su-bi#-lam	to gather	1
nibru ki	Nippur	1
u-su-bi-lam	gathering	1
im-ri-im	Imrim	1
a-na	with	1
gur_ sza	chapel	1
_sze	of	1
2 u@c	2	1
szu-i3-li2-su	Shu-ilisu	1
na-bi2-um	Nabi um	1
en-ma#	From	1
ki-is -ri-su	portions	1
qu3-ra-dum	hero	1
_ma-na#	month	1
ku3-babbar	_payment	1
isz-te4	single	1
