GRC	ENG	Frequency
ὄρος	the mountain	3
Διόνυσον	Dionysos	3
δʼ	and	2
ἴτε	Come	2
βάκχαι	Bacchants	2
καὶ	And	2
τίς	who’s	2
τε	And	2
τʼ	and	2
δὲ	and	1
λοχίοις θαλάμαις	a womb	1
τὸν Βρόμιον	Dionysos	1
καλύψας	made	1
νιν	the child	1
δέξατο	snatched	1
Ζεύς	Zeus	1
αὐτίκα	immediately	1
δʼ	And	1
ποτʼ	A long while ago	1
θεὸν	God	1
Ἑλλάδος	of Greece	1
ἀγυιάς	the streets	1
κατὰ	out of	1
Φρυγίων	of Phrygia	1
ὀρέων	the mountains	1
ἐξ	from	1
κατάγουσαι	Bring him back	1
θεοῦ	of god	1
θεὸν	the god	1
Διόνυσον	to Dionysos	1
θεραπεύει	bows	1
κισσῷ	the garland of ivy	1
εἰς	To	1
συνερείδει	sowed	1
μηρῷ	his thigh	1
Μοῖραι	the Fates	1
πλοκάμοις	with their wild hair	1
μαινάδες	Maenads	1
ἔνθεν	a cause for	1
δρακόντων	of snakes	1
στεφάνοις	a garland	1
στεφάνωσέν	placed amidst his tresses	1
τε	and	1
θεὸν	Dionysos	1
ταυρόκερων	Bull-horned	1
ἔτεκεν	brought forth	1
τέλεσαν	weaved whole his time	1
ἁνίκα	when	1
θύρσον	a Bacchic staff	1
δʼ	Then	1
ἐν	with	1
ὠδίνων	pain	1
πταμένας	sent	1
αἰῶνα	of her life	1
βροντᾶς	his bolt of burning light	1
Διὸς	Zeus	1
μάτηρ	his mother’s	1
νηδύος	stomach	1
Ἥρας	Hera	1
χρυσέαισιν	golden	1
περόναις	with needles	1
στεφανωθεὶς	wears	1
Κυβέλας	Cybele	1
ἀνὰ τινάσσων	waves	1
λωτὸς	the flute	1
εὐκάματον	joyous	1
τʼ	with	1
πόνον	in labour	1
ἡδὺν	sweet	1
θοάζω	worked my way In speed	1
Τμῶλον	of Tmolos the mount	1
ἱερὸν	wholly	1
Ἀσίας	Asian	1
γᾶς	the land	1
ἀμείψασα	I’ve left	1
ἱερὸς	sacred	1
εὐκέλαδος	sweet-voiced	1
ὅταν	when	1
εὐαζομένα	singing ecstatic songs	1
παίγματα	loud songs	1
βρέμῃ	plays	1
σύνοχα	in harmony	1
ὄρος	that mountain	1
εἰς	up	1
κῶλον	her legs	1
ἄγει	kicks	1
βάκχα	the maenad	1
ματέρι	her mare	1
πῶλος	the filly	1
ὅπως	like	1
δʼ ἄρα	then	1
κάματόν	a exhaustion	1
Βάκχιον	for Dionysos	1
θεμιτεύων	he has faith in	1
τελετὰς	the sacraments and sacred rites	1
Θῆβαι	Thebes	1
μεγάλας	Great	1
ματρὸς	of Mother	1
ὄργια	mysteries	1
τά	the	1
βακχεύων ὁσίοις καθαρμοῖσιν	performs Dionysos’ cleansing rituals	1
βιοτὰν	a life	1
ἁγιστεύει	he lives pure	1
ψυχὰν	His soul	1
ὄρεσσι	the mountains	1
ἐν	on	1
θεῶν	of the gods	1
εἰδὼς	knows	1
ὁδῷ	there	1
ὅστις	who	1
ὦ μάκαρ	Blessed is he	1
ὑμνήσω	will sing	1
ἔστω	Let them all shut themselves	1
