GRC	ENG	Frequency
Διόνυσον	Dionysus	4
ῥεῖ	flows	3
ὦ	O	3
ἐν	in	3
εἰς	to	2
αὐτίκα	at once	2
βάκχαι	Bacchae	2
ἴτε	On	2
θεὸν	the god	2
βρύετε	flaunt	2
Βρόμιον	Bromius	2
τίς	Who’s	2
ὄρος	the mountains	2
ἔνθα	where	2
ἐς	into	2
ὄρος	the mountain	2
κατὰ	in	1
ἔτεκεν	Zeus gave birth to him	1
ταυρόκερων	with ox’s horns	1
στεφάνωσέν	crowned	1
στεφάνοις	with wreaths	1
ἁνίκα	Then	1
τέλεσαν	made him perfect	1
Μοῖραι	Fates	1
δρακόντων	of snakes	1
μηρῷ	his thigh	1
Ἥρας	Hera	1
καλύψας	buried	1
συνερείδει	shut in	1
χρυσέαισιν	golden	1
περόναις	with clasps	1
μαινάδες	the Maenads	1
ἀφʼ	from	1
κρυπτὸν	concealed	1
λοχίοις	birthing	1
θαλάμαις	in a chamber	1
νιν	him	1
δέξατο	hid away	1
Κρονίδας	son of Cronos	1
Ζεύς	Zeus	1
δʼ	Then	1
πληγᾷ	a blast	1
ἔνθεν	that’s why	1
Θῆβαι	Thebes	1
ἀμφιβάλλονται	twist	1
ὁσιοῦσθʼ	revere	1
ἐνδυτὰ νεβρίδων	in fawn skins	1
στικτῶν	spotted	1
πᾶσα	All	1
γᾶ	the earth	1
χορεύσει	will dance	1
νάρθηκας	your thyrsus	1
ὑβριστὰς	the violence	1
λευκοτρίχων	white	1
δὲ	As	1
ὅστις	Whoever	1
ἄγῃ	leads	1
θιάσουσ	our dancing	1
Βρόμιος	that one is Bromius	1
εἰς	To	1
πλοκάμων	sheep’s	1
μαλλοῖς	with wool	1
πλοκάμοις	in their hair	1
κισσῷ	ivy	1
ἄγραν	wild snakes	1
θηροτρόφον	they capture	1
βροντᾶς	lightning bolt	1
τροφοὶ	nursemaid	1
Σεμέλας	of Semele	1
στεφανοῦσθε	put on your crown	1
μίλακι	yew	1
στέφετε	Dress yourselves	1
χλοήρει	green	1
καλλικάρπῳ	its sweet fruit	1
καταβακχιοῦσθε	Consecrate yourselves to Bacchus	1
κλάδοισι	with stems	1
δρυὸς	of oak	1
ἢ	or	1
ἐλάτας	fir	1
αἰῶνα	her life	1
τʼ	and	1
πταμένας	flying	1
νομισθέντα	custom	1
ἅπας	every	1
στόμα	mouth	1
εὔφημον	completely holy	1
ὑμνήσω	In my hymn I celebrate	1
αἰεὶ	old eternal	1
τὰ	our	1
μάκαρ	blessed	1
ἔκτοπος	out of way	1
ὅστις	who	1
εὐδαίμων	the fortunate man	1
εἰδὼς	knows	1
τελετὰς	the rituals	1
θεῶν	of the gods	1
ἁγιστεύει	who leads pious	1
ἐξοσιούσθω	Let be pure	1
μελάθροις	inside	1
ψυχὰν	spirit	1
ἡδὺν	sweet	1
Ἀσίας	Asia	1
ἱερὸν	sacred	1
Τμῶλον	Tmolus	1
ἀμείψασα	from I’ve come	1
θοάζω	to move swiftly	1
Βρομίῳ	for Bromius	1
εὐκάματον	easy	1
ἔστω	Let him stay	1
κάματόν	task	1
εὐαζομένα	to cry out in celebration hailing	1
Βάκχιον	Bacchus	1
ὁδῷ	in the street	1
ὁδῷ	there	1
τίς	Who	1
βιοτὰν	a life	1
θιασεύεται	merges with these Bacchic celebrations	1
Διὸς	Zeus’s	1
Ἑλλάδος	of Greece	1
θεοῦ	of god	1
ἐξ	from	1
ὀρέων	mountains	1
Φρυγίων	Phrygian	1
ἀγυιάς	roads	1
εὐρυχόρους	spacious	1
μάτηρ	His mother	1
θεὸν	god	1
ἔκβολον	dropped	1
ὅν	him	1
ποτʼ	as	1
ἀνάγκαισι	forceful	1
λοχίαις	birth	1
νηδύος	womb	1
παῖδα	son	1
κατάγουσαι	Bring home	1
ὄρεσσι	the mountains	1
τά	these	1
βακχεύων	frenzied dancing	1
ὁσίοις	purifying	1
καθαρμοῖσιν	rites	1
θεμιτεύων	who reveres	1
μεγάλας	great	1
ματρὸς	mother	1
ὄργια	mysteries	1
ἴτε	move	1
Κυβέλας	from Cybele	1
ἀνὰ τινάσσων	waving	1
θύρσον	the thyrsus	1
στεφανωθεὶς	forehead crowned	1
κισσῷ	with ivy	1
θεραπεύει	serves	1
ὠδίνων	pangs	1
ἱστῶν παρὰ κερκίδων	their weaving shuttles	1
ὄχλος	the pack	1
εἰς	in	1
πλανάτας	the stragglers	1
ἀναπάλλων	stirring	1
ἰαχαῖς	with his cries	1
ῥίπτων	rippling	1
τρυφερόν	thick	1
πλόκαμον	hair	1
αἰθέρα	the breeze	1
χοροῖσιν	dances	1
ἅμα	Among	1
εὐάσμασι	the Maenads’ shouts	1
ἐπιβρέμει	reverberates	1
χλιδᾷ	With the glitter	1
Τμώλου	of Tmolus	1
χρυσορόου	which flows with gold	1
ἐρεθίζων	rousing	1
καὶ	As	1
τὸν	to	1
νάρθηκος	his thyrsus	1
ὡς	like	1
καπνὸν	smoke	1
λιβάνου	incense	1
ὁ	the	1
Βακχεὺς	Bacchic One	1
ἐκ	from	1
πυρσώδη	blazing	1
δρόμῳ	here and there	1
πεύκας	of pine	1
ἀνέχων	He holds high	1
φλόγα	the torch	1
ἴτε	on	1
Ὦ βάκχαι	Bacchants	1
ἀίσσει	he runs	1
μέλπετε	chant songs	1
ὑπὸ	to the	1
μελισσᾶν	from the bees	1
ὅπως	like	1
φοιτάσιν	to the dancing wanderers	1
εἰς	then to	1
εἰς	on to	1
δʼ ἄρα	Then	1
ἡδομένα	is filled with total joy	1
βάκχα	the bacchanalian woman	1
πῶλος	a foal	1
ἱερὰ	holy	1
ἅμα	right beside	1
ματέρι	her mother	1
φορβάδι	in pasture	1
ταχύπουν	swift	1
κῶλον	her feet	1
ἄγει	skip	1
σύνοχα	in time	1
παίγματα	their rhythmic song	1
βαρυβρόμων	loud beat	1
