GRC	ENG	Frequency
εἰς	to	4
βάκχαι	Bacchae	4
ὄρος	the mountain	4
τίς	Who	3
Διόνυσον	Dionysus	3
καὶ	and	3
ῥεῖ	flows	3
δὲ	and	3
ὦ	Oh	3
θεὸν	the god	3
ἐν	in	3
τε	and	3
κισσῷ	with ivy	2
ἔνθα	where	2
τʼ	and	2
ἀφʼ	from	2
Φρυγίων	Phrygian	2
ὁδῷ	is in the way	2
ἱερὸν	holy	2
ὅταν	when	2
θαλάμαις	in a cavity	1
νιν	him	1
καλύψας	having covered him	1
δέξατο	received	1
κατὰ	in	1
μηρῷ	his thigh	1
Κρονίδας	son of Cronus	1
συνερείδει	he closed him in	1
περόναις	with pins	1
Ζεύς	Zeus	1
χρυσέαισιν	golden	1
λοχίοις	for childbirth	1
εὐοἷ	aha	1
αὐτίκα	At once	1
κεραυνίῳ	thunderbolts	1
πληγᾷ	by a blow	1
αἰῶνα	life	1
λιποῦσʼ	leaving	1
νηδύος	from her womb	1
ἔκβολον	cast	1
ἔτεκεν	birthed	1
μάτηρ	his mother	1
βροντᾶς	the thunder	1
πταμένας	flying	1
Διὸς	of Zeus	1
λοχίαις	of childbirth	1
ὠδίνων	of pains	1
ἀνάγκαισι	the force	1
κρυπτὸν	hidden	1
στεφάνωσέν	crowned him	1
Ἥρας	Hera	1
δρυὸς	of oak	1
βρύετε	swell	1
μίλακι	with the yew	1
χλοήρει	green	1
καλλικάρπῳ	fruit-bearing	1
καταβακχιοῦσθε	be full of Bacchic frenzy	1
κλάδοισι	with branches	1
ἢ	and	1
στεφανοῦσθε	crown yourselves	1
ἐλάτας	fir	1
στέφετε	Cover	1
ἐνδυτὰ	the clothes	1
νεβρίδων	of deerskin	1
στικτῶν	spotted	1
μαλλοῖς	with the wool	1
βρύετε	abound	1
Σεμέλας	of Semele	1
δʼ	And	1
δρακόντων	of snakes	1
ἔτεκεν	he birthed	1
ἁνίκα	when	1
Μοῖραι	the Fates	1
τέλεσαν	completed him	1
ταυρόκερων	bull-horned	1
στεφάνοις	with wreathes	1
ἔνθεν	which is why	1
τροφοὶ	you nurses	1
μαινάδες	the maenads	1
ἀμφιβάλλονται	put	1
ἄγραν	prey	1
θηροτρόφον	wild	1
πλοκάμοις	in their hair	1
Θῆβαι	Thebes	1
ποτʼ	once	1
ὀρέων	the mountains	1
ὅν	whom	1
ἔκτοπος	out of the way	1
Βρομίῳ	for Bromius	1
κάματόν	labor	1
εὐκάματον	easy	1
εὐαζομένα	glorifying	1
Βάκχιον	Bacchus	1
ἔστω	Let him get	1
μελάθροις	in the house	1
ἡδὺν	sweet	1
ἐξοσιούσθω	let devote	1
ἅπας	everyone	1
στόμα	his tongue	1
εὔφημον	religiously silent	1
ὑμνήσω	I will exalt	1
γὰρ	For	1
πόνον	work	1
θοάζω	I move quickly to	1
τὰ	the	1
φορβάδι	grazing	1
βάκχα	the Bacchant	1
ἡδομένα	enjoying herself	1
ὅπως	as	1
πῶλος	a foal	1
ἅμα	together	1
ματέρι	with its mother	1
ἄγει	leads	1
Τμῶλον	Tmolus	1
κῶλον	her foot	1
ταχύπουν	swift	1
σκιρτήμασι	in a leaping dance	1
ἀπὸ	From	1
γᾶς	the land	1
Ἀσίας	of Asia	1
ἀμείψασα	having left	1
αἰεὶ	long-held	1
νομισθέντα	in accordance with beliefs	1
τὸν Βρόμιον	Bromius	1
κατάγουσαι	leading down	1
ἀνὰ τινάσσων	brandishing	1
θύρσον	the thyrsus	1
στεφανωθεὶς	wreathed	1
θεραπεύει	serves	1
ἴτε	Go	1
ἴτε	go	1
Βρόμιον	Bromius	1
μεγάλας	great	1
παῖδα	the child	1
θεοῦ	of a god	1
ἐξ	from	1
λευκοτρίχων	white	1
εὐρυχόρους	wide	1
ἀγυιάς	the streets	1
Ἑλλάδος	of Hellas	1
Κυβέλας	Cybele	1
ματρὸς	of mother	1
μάκαρ	blessed is he	1
βιοτὰν	his life	1
ὅστις	who	1
εὐδαίμων	is fortunate	1
εἰδὼς	knows	1
τελετὰς	the rites	1
θεῶν	of the gods	1
ἁγιστεύει	purifies	1
ψυχὰν	his soul	1
ὄργια	rites	1
θιασεύεται	initiates into the Bacchic rites	1
ὄρεσσι	the mountains	1
βακχεύων	celebrating	1
καθαρμοῖσιν	with cleansings	1
ὁσίοις	holy	1
θεμιτεύων	honoring	1
τά	the	1
πλοκάμων	of locks	1
ἄγῃ	leads	1
ὁσιοῦσθʼ	purify	1
φλόγα	the torch	1
λιβάνου	of frankincense	1
ἀίσσει	runs around	1
ἐκ	on	1
νάρθηκος	the thyrsus	1
πεύκας	of pine	1
πυρσώδη	bright-burning	1
ἐρεθίζων	rousing	1
καπνὸν	the smoke	1
πλανάτας	the wanderers	1
δρόμῳ	with races	1
χοροῖσιν	dances	1
