GRC	ENG	Frequency
μή	no	3
τίς	man	3
δόλῳ	fraud	2
βίηφιν	force	2
καὶ	and	2
ἦ	is	2
ἀπὸ	from	2
αὐτὸς δʼ	he	1
σε	you	1
κτείνει	is killing	1
ἀπαμειβόμενοι	said	1
εἰ	if	1
νοῦσον	ill	1
βιάζεται	attacking	1
ἐξ	from	1
οὔ	no	1
Διὸς	Jove	1
ἀλέασθαι	help	1
σύ	your	1
εὔχεο	pray	1
πατρὶ	father	1
Ποσειδάωνι	Neptune	1
ἀπιόντες	went away	1
ἐγέλασσε	laughed	1
Οὖτίς	Noman	1
Πολύφημος	Polyphemus	1
προσέφη	shouted	1
σπέος	his cave	1
ἔρριψεν	hurled	1
Κύκλωπας	Cyclopes	1
ᾤκεον	lived	1
σπήεσσι	headlands	1
ἀίοντες	heard	1
βοῆς	crying	1
ἄλλοθεν	from all quarters	1
εἴροντο	asked	1
περὶ	round	1
κήδοι	the matter	1
ἄντρου	inside	1
τίπτε	What	1
ἐβόησας	a noise	1
νύκτα	night	1
ἀύπνους	breaking	1
ἄμμε	us	1
μῆλα	sheep	1
σευ	your	1
σʼ	you	1
ἀμύμων	clever	1
μῆτις	stratagem	1
ὠδίνων	in an agony	1
Κύκλωψ	Cyclops	1
πως	must	1
ἀμφὶς	near	1
μιν	him	1
ἐν	on	1
ὅττι	what	1
ἑ	him	1
ὧδʼ	such	1
ἐλαύνει	carrying	1
κτείνει	kill	1
με	me	1
ἔστι	be	1
ἐφοίτων	gathered	1
ἄρʼ	Then	1
θυράων	the door	1
οὕτω	this	1
γάρ	for	1
εἶναι	be	1
οἱ δʼ	they	1
οἱ δὲ	they	1
τοὺς δʼ	the	1
ἐμὸν	my	1
ἀλύων	frenzy	1
οἵ	who	1
στενάχων	groaning	1
θύρῃσι	the doorway	1
ἐμὸν δʼ	I	1
ὀδύνῃσι	of pain	1
χερσὶ	hands	1
ψηλαφόων	felt	1
λίθον	stone	1
εἷλε	took	1
χεῖρε	hands	1
πετάσσας	in front	1
καθέζετο	sat	1
εἰνὶ	in	1
ἤπυεν	shouting	1
εἴ	to	1
τινά	anyone	1
ὄεσσι	with the sheep	1
λάβοι	catch	1
στείχοντα	going	1
θύραζε	out	1
ἤλπετʼ	thought	1
νήπιον	foolish	1
ἕο	him	1
Πολύφημʼ	Polyphemus	1
