GRC	ENG	Frequency
νήπιος	fool	1
δέδεντο	bore	1
φάνη	come	1
Ἠώς	Which	1
καὶ	and	1
νομόνδʼ	abroad	1
ἐξέσσυτο	let	1
θήλειαι	females	1
ἀνήμελκτοι	unmilk’d	1
οὔθατα	full bags	1
σφαραγεῦντο	so sore	1
ἄναξ	their shepherd	1
ὀδύνῃσι	being unsighted	1
τειρόμενος	more	1
νῶτα	The backs	1
ἑσταότων οὐκ	Nor	1
ἄρσενα μῆλα	male-flocks	1
ἐνόησεν	knew	1
μέμηκον	Bleating and braying	1
περὶ	stood	1
σηκούς	being unemptied	1
γὰρ	With	1
ὀίων	male dams	1
πάντων	of those	1
ὀίων	them	1
ὑπʼ	Upon	1
στέρνοισι	belly	1
οἱ	his	1
τότʼ	first	1
ἐπεμαίετο	He felt	1
ἠριγένεια	the hour	1
