GRC	ENG	Frequency
ἰάχοντα	screeching	1
αἷμα	blood	1
ἔνερθεν	below	1
ὑποσσείουσιν	swing	1
ἱμάντι	strap	1
ὣς	So	1
δινέομεν	bored	1
μοχλὸν	brand	1
ὀφθαλμῷ	eye socket	1
περίρρεε	around	1
τρυπάνῳ	a drill	1
βλέφαρʼ	Eyelid	1
γλήνης	ball	1
καιομένης	hissed	1
σφαραγεῦντο	popped	1
οἱ	the	1
ῥίζαι	roots	1
βάπτῃ	plunged	1
ψυχρῷ	cold	1
δόρυ	planking	1
τρυπῷ	turns	1
εἰν	in	1
πυρός	coals	1
περ	though	1
ἐών	been it had	1
μοχλὸς	olive	1
ἐλάινος	pike	1
διεφαίνετο	glowed	1
ἐγὼν	I	1
φέρον	drew	1
ἐκ	from	1
ἑταῖροι	fellows	1
τις	a	1
ἐνέρεισαν	rammed	1
ὀφθαλμῷ	in eye	1
ἐγὼ	I	1
ἐρεισθεὶς	leaned	1
ἐφύπερθεν	on it	1
δίνεον	turning it	1
νήιον ἀνὴρ	shipwright	1
ὡς	as	1
ὕδατι	tub	1
σιδήρου	iron	1
φαρμάσσων	wrung	1
σκέπαρνον	adze	1
δαίμων	force	1
μέγα	more than	1
τρέχει	spins	1
τὸ δὲ	it	1
τὸν δʼ	the	1
εὗσεν	seared	1
ἀνὴρ	one	1
πέλεκυν	axehead	1
ἐστίν	make	1
μέλλεν	about	1
κράτος	hale	1
τοῦ	that	1
οἱ μὲν	they	1
καὶ	and	1
χαλκεὺς	smithy	1
ἐλάινον	it	1
ἐόντα	ran	1
ὀφρύας	lash	1
ἅψεσθαι	catch	1
θερμὸν	red hot	1
ὀφθαλμὸς	eyeball	1
ἡμεῖς δὲ	we	1
ὣς	so	1
σίζʼ	hissed	1
περὶ	around	1
ἐλαϊνέῳ	spike	1
ᾤμωξεν	bellowed	1
πέτρη	rock	1
ἴαχε	roared	1
περὶ	round	1
δείσαντες	in fear	1
ὁ	The	1
ἀπεσσύμεθʼ	fell back	1
αἵματι	bloody	1
ὀφθαλμοῖο	of his eye	1
ἐξέρυσʼ	tugged	1
μοχλὸν	spike	1
ὁ	he	1
θάρσος	nerved	1
ἑλόντες	lifted	1
χλωρός	green	1
