GRC	ENG	Frequency
ἐγὼ	I	2
ὁ δʼ	his	1
πρόσθεν	have felt	1
τʼ ἀνδρόμεοι	human	1
ψωμοί	flesh	1
οἶνος	wine	1
ἐξέσσυτο	belch’d	1
ᾕρει	Press’d	1
ὕπνος	sleep	1
αὐχένα	His neck	1
ὕπτιος	supine	1
ἦ	He said	1
ξεινήιον	hospitable	1
πύματον	the last	1
θάρσυνον	urged	1
ἔδομαι	will devour	1
ἑτάροισιν	crew	1
οἷς	thy	1
μετὰ	all	1
ἐφάμην	then	1
ἑταῖροι	peers	1
μήτηρ ἠδὲ πατὴρ	parents	1
ὄνομα	name	1
γʼ	is	1
ἐμοί	my	1
Οὖτιν	’Tis	1
ὑποδείσας	drooping	1
πάντας	Each	1
τὸ δέ	The	1
ἑταίρους	my train	1
κικλήσκουσι	call me	1
ἔπεσσι	the dreadful deed	1
ἤλασα	stir	1
ἐρεύγετο	indigested	1
μιν	his	1
τοι ἔσται	to give	1
δέ	what	1
ἠδʼ	and	1
πάντες	my	1
με	my	1
δʼ	There	1
ὣς	The giant	1
θερμαίνοιτο	inspire	1
παχὺν	obliquely	1
πανδαμάτωρ	that tames the strong	1
κὰδ	with	1
αὐτὰρ	then	1
καὶ	and	1
ἀνακλινθεὶς	lay	1
πέσεν	Droop’d	1
κεῖτʼ ἀποδοχμώσας	hung	1
σποδοῦ	embers	1
πολλῆς	animating	1
ἧος	Sudden	1
Οὖτις	Noman	1
