GRC	ENG	Frequency
ὀρθῶν	up	1
ὀδύνῃσι	with pain	1
ἦμος	When	1
φάνη	revealed	1
ἠριγένεια Ἠώς	Dawn	1
ἄναξ	master	1
νομόνδʼ	for the grass	1
ἄρσενα μῆλα	rams	1
θήλειαι	ewes	1
μέμηκον	were bleating	1
ἀνήμελκτοι	unmilked	1
σηκούς	their pens	1
περὶ	in	1
οὔθατα	udders	1
κακῇσι	weak	1
ἑσταότων	lined	1
τειρόμενος	was worn	1
ὀίων	ram	1
πάντων	each	1
ἐπεμαίετο	he felt	1
νῶτα	back	1
οὐκ ἐνόησεν	missed	1
ὑπʼ	beneath	1
εἰροπόκων	woolly	1
στέρνοισι	bellies	1
δέδεντο	tied up	1
ἐξέσσυτο	jumped up	1
οἱ	their	1
σφαραγεῦντο	full to bursting	1
ῥοδοδάκτυλος	rose-red	1
