GRC	ENG	Frequency
ἐγὼ	I	2
ὁ δʼ	he	1
πρόσθεν	before	1
μιν	him	1
ὕπνος	sleep	1
αὐχένα	neck	1
παχὺν	great	1
ἀποδοχμώσας	hung	1
ὕπτιος	face upwards	1
πέσεν	fell	1
ἀνακλινθεὶς	reeled	1
ἔσται	is	1
ξεινήιον	present	1
ἔδομαι	eat	1
ᾕρει	took hold	1
πύματον	last	1
ἑτάροισιν	comrades	1
Οὖτιν	Noman	1
με	me	1
κικλήσκουσι	called	1
ἑταῖροι	my friends	1
ἠδʼ	and	1
ἠδὲ	and	1
πατὴρ	father	1
μήτηρ	mother	1
ὄνομα	name	1
ἐμοί	my	1
πανδαμάτωρ	deep	1
οἶνος	wine	1
τὸ δέ	the	1
τίς	any	1
ὁ δέ	the	1
ἧος	to	1
τʼ	of	1
ἀνδρόμεοι	human flesh	1
κὰδ	upon	1
κεῖτʼ	sprawling	1
αὐτὰρ	and	1
ὑποδείσας	faint-hearted	1
ἀναδύη	turn	1
μοι	my	1
ἑταίρους	men	1
θάρσυνον	encouraged	1
ψωμοί	gobbets	1
θερμαίνοιτο	heat it	1
τότʼ	Then	1
μοχλὸν	beam of wood	1
πολλῆς	far	1
ὑπὸ	into	1
σποδοῦ	embers	1
ἤλασα	thrust	1
τὸν	the	1
νηλέι	cruel	1
οἰνοβαρείων	very drunk	1
ἐρεύγετο	threw up	1
Οὖτις	Noman	1
