GRC	ENG	Frequency
ὀφθαλμοῦ	eye	2
καὶ	and	2
αἴ	if	2
ὁ δέ	he	1
ἐδέγμην	expecting	1
Ὀδυσῆος	Ulysses	1
χειρῶν	hand	1
ἐξ	of	1
ἁμαρτήσεσθαι	lose	1
ὀπωπῆς	my sight	1
φῶτα	one	1
τινα	some	1
μέγαν	imposing	1
ἄκικυς	weakling	1
οὐτιδανὸς	insignificant	1
τάδε	this	1
ἀλάωσεν	blind	1
οἴνῳ	drink	1
ἐδαμάσσατο	taking advantage	1
Ὀδυσεῦ	Ulysses	1
ἄγε	come	1
ἀλλʼ	then	1
δεῦρʼ	here	1
τοι	you	1
ξείνια	presents	1
πάντα	all	1
τελευτήσεσθαι	would	1
εἰμί	are	1
ἔνι	in	1
τίς	any	1
σε	you	1
ἀνθρώπων	one	1
εἴρηται	asks	1
ἀεικελίην	spoiled	1
Ὀδυσσῆα	Ulysses	1
φάσθαι	say	1
Λαέρτεω	Laertes	1
υἱὸν	son	1
Ἰθάκῃ	Ithaca	1
ἔχοντα	lives	1
ἔφη	told	1
οἰμώξας	groaned	1
Τήλεμος	Telemus	1
Εὐρυμίδης	of Eurymus	1
ἀνὴρ	man	1
ἐνθάδε	here	1
ὃς	who	1
μαντευόμενος	prophesying	1
Κυκλώπεσσιν	for the Cyclopes	1
κατεγήρα	grew old	1
μοι	me	1
θείω	make	1
ἐγὼ	I	1
πάϊς	son	1
ἦ	is	1
αἰεί	all along	1
ἠύς	brave	1
τε	and	1
μέγας τε	of great stature	1
ὢ πόποι	Alas	1
ἐὼν	be	1
θέσφαθʼ	prophecy	1
ἱκάνει	coming true	1
παλαίφατα	old	1
με	me	1
μεγάλην	superhuman	1
τις	a	1
ἔσκε	There was	1
μαντοσύνῃ	seer	1
ἐκέκαστο	excellent	1
γὰρ	for	1
μιν	him	1
ἀλαωτύν	put	1
ἠμείβετο	cried	1
ὅς	that	1
πὰρ	to	1
μʼ	me	1
ἀλκήν	strength	1
αὐτὸς	me	1
ἀνθρώπων	man	1
πατὴρ	father	1
κʼ ἐθέλῃσʼ	so will	1
ἰήσεται	heal	1
οὐδέ	no	1
τις	one	1
ἄλλος	else	1
οὔτε	neither	1
θεῶν	god	1
οὔτε	nor	1
κεκοτηότι	rage	1
ὀλίγος	little	1
προσέφην	shouted	1
ἀλλʼ	But	1
οὐ	not	1
ἐμὸν	I	1
ἐννοσίγαιον	Neptune	1
τʼ	and	1
ὀτρύνω	urge	1
δόμεναι	help	1
ἵνα	that	1
μάντις	prophet	1
Κύκλωψ	Cyclops	1
