GRC	ENG	Frequency
μοχλὸν	stake	2
τοῦ	his	2
δʼ	And	2
εἰν	in	1
ὣς	So	1
σίζʼ	hiss’d	1
ὀφθαλμὸς	eye	1
περὶ	about	1
ᾤμωξεν	roar’d	1
ἡμεῖς	We	1
δείσαντες	frighted	1
πολλῷ	freshly	1
μέγαν	Broad	1
ὀφθαλμοῖο	eye	1
μοχλὸς ἐλάινος	olive-lever	1
τάχʼ	Straight	1
πυρὶ	fire	1
μέλλεν	to get	1
ἅψεσθαι	hard’ning	1
αἰνῶς	extremely	1
ἀμφὶ	close about	1
ἑταῖροι	friends	1
σκέπαρνον	mattock	1
βλέφαρʼ	eye-ball	1
πέλεκυν	axe	1
δαίμων	God’s	1
ἐν	Amidst	1
χλωρός	green	1
περ	though	1
ἐών	’twas	1
διεφαίνετο	glow’d	1
ἵσταντʼ	stood	1
θάρσος	A spirit	1
ἐνέπνευσεν	gave	1
μέγα	beyond	1
ἑλόντες	took	1
οἱ μὲν	Who	1
ἐνέρεισαν	plung’d	1
ἐγὼ	I	1
ἐρεισθεὶς	Bent	1
νήιον	naval	1
ἐν	into	1
πυριήκεα	fiery	1
τὸν	the	1
αἷμα	blood	1
πάντα	all	1
αὐτὰρ	but	1
ἐλάινον	spar	1
μοχλὸν	olive	1
φαρμάσσων	substance	1
οἱ	the	1
πυρὶ	burning	1
ῥίζαι	rafter brake	1
ὡς	as	1
ἀνὴρ χαλκεὺς	a smith	1
ψυχρῷ	cool	1
βάπτῃ	doth	1
μεγάλα ἰάχοντα	red-hot	1
τὸ	that	1
καιομένης	that scorch’d	1
αὖτε	so	1
κράτος	fervent	1
ἐστίν	is	1
μοχλῷ	stake	1
σμερδαλέον μέγʼ	withal	1
ἀπεσσύμεθʼ	did fly	1
αὐτὰρ	from forth	1
ὁ	The	1
πεφυρμένον	Flow’d forth	1
σφαραγεῦντο	Thrust out	1
γλήνης	a flaming vapour	1
αἵματι	blood	1
τρυπάνῳ	ship-wright	1
ὀξὺν	keen	1
ἐπʼ ἄκρῳ	before	1
ὀφθαλμῷ	in eye	1
δʼ	and	1
ἐφύπερθεν	up bore	1
ὡς ὅτε	as	1
τις	A	1
τρυπῷ	bore	1
δόρυ	a beam	1
ὣς	so	1
ἀυτμὴ	eye-strings	1
ὀφθαλμῷ	eye	1
ἑλόντες	to imply	1
δινέομεν	we labour’d	1
περίρρεε	Out gush’d	1
θερμὸν ἐόντα	that scalded	1
οἱ	his	1
καὶ	and	1
ὀφρύας	eye-lids	1
εὗσεν	did crack	1
ὁ	the	1
