GRC	ENG	Frequency
καὶ	and	2
αὐτὸς δʼ	my	1
μαντοσύνῃ	augury	1
πόποι	beast	1
ἦ	was	1
παλαίφατα	premonish’d	1
ἀνὴρ	man	1
μέγας	great	1
ἠύς	good	1
Εὐρυμίδης	Surnam’d Eurymides	1
Κυκλώπεσσιν	In all	1
κατεγήρα	His age	1
μαντευόμενος	presage of truth	1
ὃς	that	1
μύθῳ	And said	1
Τήλεμος	Telemus	1
θέσφαθʼ	fair	1
μάντις	Augur	1
μοι	I	1
πάντα	all	1
τελευτήσεσθαι	take	1
χειρῶν	hand	1
ἐξ	Of	1
Ὀδυσῆος	Ulysses	1
ἁμαρτήσεσθαι ὀπωπῆς	this event	1
ὢ	‘O	1
ἠμείβετο	round	1
φῶτα	mann’d	1
ἀλαωτύν	blemish	1
φάσαν	urg’d they	1
ἄψορρον	deprest	1
κεκοτηότι	wrath	1
θυμῷ	breast	1
Κύκλωψ	‘Cyclop	1
αἴ	if	1
σε	thee	1
ὀφθαλμοῦ	eye	1
εἴρηται	ask	1
ἀεικελίην	unsightly	1
φάσθαι	Say	1
οἰμώξας	bray’d	1
Ὀδυσσῆα	Ulysses	1
ἐξαλαῶσαι	bor’d	1
υἱὸν	son	1
Λαέρτεω	Laertes’	1
Ἰθάκῃ	Ithaca	1
οἰκίʼ	seat	1
ἔνι	Whose	1
ἔχοντα	is	1
ὣς	At	1
πτολιπόρθιον	City-razer	1
τινα	who	1
μέγαν	great	1
καὶ	A	1
θείω	hath	1
μακάρων	pleasure	1
θνητῶν ἀνθρώπων	men	1
οὔτε	no	1
ἀλλά	but	1
ἐμὸν	I	1
με	I	1
ἔσκε	’tis	1
ἐνθάδε	now	1
ἐνθάδʼ	now	1
τοι	thee	1
τʼ	and	1
ἰήσεται	repose	1
τε	A	1
τε	and	1
τάδε	this	1
τοῦ γὰρ	whose	1
οὐ	Impossible	1
τις	that	1
ἐκέκαστο	did exceed	1
καὶ	a	1
τίς	any	1
ὁ δέ	he	1
ἄλλος	beside	1
ἐθέλῃσʼ	Can	1
καλὸν	goodly	1
Ὀδυσεῦ	Ulysses	1
ἐδέγμην	personage	1
ἐλεύσεσθαι	came	1
ἀλκήν	virtue	1
μεγάλην	answerable	1
ὀλίγος	weakling	1
ὀφθαλμοῦ	my light	1
οὐτιδανὸς	thing of nothing	1
ἄκικυς	dwarfy thing	1
ἀλάωσεν	Put out	1
οἴνῳ	with wine	1
ἄγε	Come	1
εὔχεται	boasts	1
δεῦρʼ	again	1
ξείνια	guest-rites	1
πομπήν	give	1
κλυτὸν	command	1
ἐννοσίγαιον	Neptune	1
πάϊς	son	1
πατὴρ	father’s	1
εἰμί	am	1
ἐγὼ	I	1
ἐμὸς	my	1
ὣς	Thus	1
