GRC	ENG	Frequency
ὁ δέ	his	1
θυμῷ	soul	1
αὐχένα	His neck	1
αὐτὰρ	but	1
ἔπειτα	then	1
παχὺν	fleshy	1
ἀποδοχμώσας	bent round	1
μετὰ	of all	1
ἑτάροισιν	friends	1
οἷς	thy	1
ἔδομαι	eat	1
πύματον	last	1
ἐγὼ	I’ll	1
νηλέι	cruel	1
πανδαμάτωρ	with all crowns crown’d	1
ὣς	as	1
ἐφάμην	He answer’d	1
ἑταῖροι	Of friends	1
μήτηρ ἠδὲ πατὴρ	parents	1
ἄλλοι	as well as	1
πάντες	each degree	1
κικλήσκουσι	call	1
ὄνομα	name	1
ἐμοί	My	1
Οὖτιν	‘No-Man	1
Οὖτιν	No-Man	1
ὕπνος	Sleep	1
ᾕρει	Subdued	1
τότʼ	then	1
θερμαίνοιτο	might heat	1
καὶ	And	1
ἦ	This said	1
ἀναδύη	fly my aid	1
ξεινήιον	hospitable gift	1
δέ	to	1
τὸ	thus	1
ἔσται	shall be	1
τοι	thee	1
πέσεν	he fell	1
ὕπτιος	upwards	1
ἔπεσσι	should let Their vow’d assay	1
τὸν	the point	1
φάρυγος	From his throat	1
ὑποδείσας	Fear	1
θάρσυνον	Confirm’d	1
ἑταίρους	fellow’s	1
ἤλασα	gor’d	1
σποδοῦ	coal-heap	1
μοχλὸν	club’s	1
ἐγὼ	I	1
ψωμοί	gobbets	1
ἀνδρόμεοι	man’s-flesh	1
οἶνος	My wine	1
ἐξέσσυτο	brake out	1
Οὖτις	No-Man	1
