GRC	ENG	Frequency
αἴ	if	2
αὐτὸς δʼ	me	1
οἴνῳ	with wine	1
αἰεί	Always	1
τινα	some	1
ἐλεύσεσθαι	come	1
ἐνθάδʼ	here	1
ἄκικυς	twiggy—	1
οὐτιδανὸς	pitiful	1
καὶ	and	1
ἀλάωσεν	blinded	1
ἐδαμάσσατο	put me down	1
μεγάλην	giant	1
Ὀδυσεῦ	Odysseus	1
δεῦρʼ	back	1
ἄγε	Come	1
τοι	you	1
ξείνια	treat well	1
εἰμί	am	1
ἐγὼ	I	1
πάϊς	son	1
τοῦ	his	1
Κυκλώπεσσιν	Kyklopês	1
ἐπιειμένον	armed	1
ἀλκήν	force	1
ἐνθάδε Τήλεμος	here—Télemos	1
προσέφην	yelled	1
καταθνητῶν	mortal	1
ἀνθρώπων	man	1
υἱὸν	son	1
Λαέρτεω	Laertes	1
οἰκίʼ	home	1
ἔνι	on	1
Ἰθάκῃ	Ithaka	1
ἔχοντα	whose	1
μέγας	grand	1
ἐμὸς	me	1
ἠύς	wondrous	1
τε	and	1
Ὀδυσῆος	Odysseus	1
ἐξ	at	1
χειρῶν	hands	1
ἁμαρτήσεσθαι	lost	1
ὀπωπῆς	eye	1
μέγαν	giant	1
ἐδέγμην	had in mind	1
πατὴρ	fathered	1
ἄλλος	other	1
εὔχεται	by his avowal	1
μαντευόμενος	wizardry	1
θεῶν	gods	1
μακάρων	happy	1
οὔτε	or	1
θνητῶν	mortal	1
ἀνθρώπων	men	1
ἰήσεται	heal	1
κʼ ἐθέλῃσʼ	he will	1
ἐννοσίγαιον	god of earthquake	1
κατεγήρα	great length	1
ὁ δέ	he	1
με	me	1
μάντις ἀνὴρ	wizard	1
ὀλίγος	you—small	1
τις	A	1
ὀτρύνω	praying	1
ὣς	this	1
μύθῳ	rumbled	1
οἰμώξας	sob	1
μʼ	me	1
πομπήν	befriend	1
παλαίφατα	spoken of old	1
ἱκάνει	comes	1
γὰρ	for	1
κεκοτηότι	anger	1
οὐδέ	no	1
τελευτήσεσθαι	come	1
ἔφη	foretold	1
τάδε	things	1
πάντα	these	1
Εὐρυμίδης	Eurymos	1
Ὀδυσσῆα	Odysseus	1
πτολιπόρθιον	raider of cities	1
φάσθαι	tell him	1
ἀλαωτύν	blinded	1
ἀλλά	but	1
ἀεικελίην	put to shame	1
εἴρηται	inquire	1
ἐξαλαῶσαι	took your eye	1
σε	you	1
οὐ	not	1
πεῖθον	heed	1
ἐμὸν	I	1
μεγαλήτορα	glorying	1
θυμόν	spirit	1
Κύκλωψ	Kyklops	1
