GRC	ENG	Frequency
ἐγὼ	I	2
ἀμείβετο	answered	1
ξεινήιον	gift	1
ἄλλους	Friends	1
πρόσθεν	first	1
ἑτάροισιν	friends	1
οἷς	his	1
μετὰ	after	1
ἔδομαι	will eat	1
πύματον	last	1
Οὖτιν	‘Noman	1
θυμῷ	from his heart	1
νηλέι	pitiless	1
μʼ	me	1
τὸ δέ ἔσται	That’s	1
ὁ δέ	He	1
ὄνομα	name	1
πάντες	all	1
ἑταῖροι	friends	1
ἠδʼ	and	1
με	me	1
κικλήσκουσι	call	1
πατὴρ	my father	1
μήτηρ	My mother	1
Οὖτιν	Noman—	1
ἐμοί	my	1
τοι	you	1
ὕπτιος	on his back	1
κεῖτʼ	flat	1
μοχλὸν	stake	1
ἔπειτα	then	1
αὐτὰρ	and	1
πέσεν	fell	1
θάρσυνον	keep up morale	1
ἑταίρους	my men	1
θερμαίνοιτο	Heating	1
πολλῆς	deep	1
ἤλασα	Thrusting	1
σποδοῦ	embers	1
ὑπὸ	in	1
τὸν	the	1
οἰνοβαρείων	drunken	1
αὐχένα	neck	1
ὁ δʼ	his	1
ἀνδρόμεοι	human flesh	1
τʼ	of	1
ψωμοί	bits	1
ἐξέσσυτο	Belching out	1
οἶνος	wine	1
ᾕρει	was	1
κὰδ	sound	1
μιν	He	1
ὕπνος	asleep	1
παχὺν	thick	1
ἀποδοχμώσας	bent	1
Οὖτις	Noman	1
