GRC	ENG	Frequency
ὀρθῶν	by	1
νῶτα	backs	1
θήλειαι	females	1
ἀνήμελκτοι	unmilked	1
περὶ	in	1
σηκούς	the pens	1
μέμηκον	were bleating	1
ἄναξ	master	1
οὔθατα	udders	1
σφαραγεῦντο	bursting	1
τειρόμενος	Worn out	1
πάντων	Of all	1
ὀίων	of the sheep	1
ἐπεμαίετο	felt	1
οὐκ ἐνόησεν	Unaware	1
ἑσταότων	they walked	1
εἰροπόκων	fleecy	1
στέρνοισι	chests	1
οἱ	their	1
ὑπʼ	under	1
ῥοδοδάκτυλος	red	1
φάνη	appeared	1
Ἠώς	sky	1
νήπιος	fool	1
τὸ δὲ	the	1
ἦμος	When	1
νομόνδʼ	the pasture	1
ἐξέσσυτο	started to bolt	1
ὀδύνῃσι	with pain	1
ἄρσενα μῆλα	rams	1
