GRC	ENG	Frequency
τίς	man	2
δόλῳ	trick	2
ἐμὸν δʼ	I	1
νύκτα	night	1
ἀμβροσίην	blessed	1
καὶ	And	1
ἄμμε	us	1
τίθησθα	keeping	1
ἀύπνους	up	1
ἦ	Is	1
σευ	your	1
μῆλα	flocks	1
ἐλαύνει	stealing	1
κτείνει	killing	1
σʼ αὐτὸν	you	1
Οὖτίς	‘Noman	1
με	me	1
κτείνει	is killing	1
Πολύφημος	Polyphemus	1
οἱ δʼ	They	1
ἀπαμειβόμενοι	back	1
ἔπεα	words	1
πτερόεντʼ	winging	1
ἀγόρευον	sent	1
εἰ	‘If	1
ἐβόησας	hollering	1
βοῆς	his cry	1
ἑ	him	1
ἠνεμοέσσας	windswept	1
Κύκλωπας	To the Cyclopes	1
αὐτὰρ	and	1
ἤπυεν	shouting	1
οἵ	who	1
ἀμφὶς	around	1
ᾤκεον	lived	1
ἐν	In	1
σπήεσσι	caverns	1
διʼ	among	1
ἄκριας	crags	1
οἱ δὲ	They	1
ὅττι	what	1
ἀίοντες	heard	1
ἐφοίτων	gathered	1
ἄλλοθεν	from sides	1
ἄλλος	all	1
εἴροντο	asked him	1
περὶ	Around	1
σπέος	cave	1
τίπτε	why	1
Πολύφημʼ	‘Polyphemus	1
κήδοι	ailed	1
μή	no	1
σε	you	1
τὸν μὲν	it	1
προσέφη	shouted	1
χεῖρε	hands	1
πετάσσας	spread out	1
εἴ	To	1
τινά	anyone	1
ὄεσσι	with the sheep—	1
λάβοι	catch	1
στείχοντα	went	1
θύραζε	out	1
νήπιον	stupid	1
οὕτω	so	1
τοὺς δʼ	them	1
θύρῃσι	the entrance	1
ἀπὸ	Away from	1
ἕο	him	1
ἀλύων	blundering	1
μιν	him	1
ὧδʼ	so	1
τόσον	much	1
ἄρʼ	then	1
ἀμύμων	so well	1
γάρ	As	1
εἶναι	be	1
καθέζετο	sat	1
εἰνὶ	in	1
βιάζεται	is hurting	1
ἀπιόντες	They left	1
νοῦσον	sickness	1
οὔ πως	can’t	1
ἔστι	Comes	1
Διὸς	Zeus	1
ἀλέασθαι	be helped	1
σύ	You	1
εὔχεο	pray	1
πατρὶ	to your father	1
Ποσειδάωνι	Poseidon	1
ἄνακτι	Lord	1
ἐγέλασσε	laughed	1
ἀπὸ εἷλε	he removed	1
κῆρ	heart	1
ὡς	how	1
ὄνομʼ	name	1
ἐξαπάτησεν	fooled them	1
ἐμὸν	my	1
μῆτις	phony	1
Κύκλωψ	Cyclops	1
στενάχων	was groaning	1
ὠδίνων ὀδύνῃσι	in agony	1
ψηλαφόων	Groping	1
λίθον θυράων	doorstone	1
ἔρριψεν	flung	1
ἐγὼ	I	2
μῆλα	sheep	2
σε	you	1
πολιὴν	white	1
ἔδμεναι	ate	1
ἀνδρὸς ἑταίρους	men	1
ἀνάλκιδος	coward	1
οὐκ	wasn’t	1
Κύκλωψ	Cyclops	1
προσηύδων	called out	1
κερτομίοισι	to rub it in	1
γέγωνε	earshot	1
Κύκλωπα	Cyclops	1
ἀπῆν	offshore	1
ὅτε	When	1
τύπτον	Beating	1
σπῆι	your cave	1
ἐρετμοῖς	with their oars	1
καλλίτριχα	fleecy	1
ἐκέλευσα	ordering	1
θάνατον	lost	1
φάνημεν	sight	1
ἑτάροισι	the crew	1
ἀσπάσιοι	welcome	1
νῆα	the ship	1
ἐπὶ	to	1
πίονα δημῷ	fat	1
ταναύποδα	long-shanked	1
τὰ	those	1
ἐν	in	1
ἐσθέμεναι	to eat	1
τίσατο	made pay	1
νεῦον	upward nod	1
ἱκόμεθʼ	drove	1
ἐλαύνομεν	moving	1
οὐχ ἅζεο	gall	1
οἴκῳ	house	1
σῷ	your	1
ἐνὶ	In	1
σχέτλιʼ	You savage	1
ἐπὶ	on	1
καθῖζον	they were	1
κληῖσι	benches	1
ἐπιπλεῖν	out	1
θοῶς	On the double	1
οὐκ εἴων	forbade	1
ξείνους	guests	1
οἳ	they	1
περιτροπέοντες	on our rear	1
βαλόντας	get	1
ἐν νηὶ	aboard	1
ὕδωρ	to sea	1
τοὺς δὲ	the	1
γοῶντες	to mourn	1
στενάχοντο	started	1
εἴσβαινον	get	1
ἑκάστῳ	each man	1
Ζεὺς	Zeus	1
σέ	you	1
κιχήσεσθαι	got yours	1
καρπαλίμως	quickly	1
πρῶτος	first	2
σπέος	the cave	2
ἄνακτος	master’s	1
πρῶτος	First	1
σταθμόνδε	to the yard	1
λιλαίεαι	to want	1
ἀπονέεσθαι	to go back	1
ἑσπέριος	At evening	1
νῦν	Now	1
πανύστατος	last of all	1
σύ	you	1
ἦ	Are	1
μοι	‘My	1
ῥοὰς ποταμῶν	the river	1
ὀφθαλμὸν	eye	1
ποθέεις	sad	1
τὸν	A	1
ἀνὴρ	man	1
κακὸς	bad	1
ἐξαλάωσε	blinded	1
σὺν	and	1
λυγροῖς	nasty	1
ἑτάροισι	his friends	1
δαμασσάμενος	getting	1
ἀφικάνεις	to reach	1
τέρενʼ	soft	1
ποίης	grass	1
Πολύφημος	Polyphemus	1
ἀρνειὸς μήλων	ram	1
ἔστειχε	headed	1
θύραζε	for the entrance	1
στεινόμενος	Heavy	1
λάχνῳ καὶ	with wool—and	1
ἐμοὶ	me	1
φρονέοντι	thinking	1
τὸν δʼ	his	1
ἐπιμασσάμενος	Running	1
προσέφη	said	1
κριὲ	ram	1
Οὖτις	Noman—but	1
πέπον	poor	1
τί	why	1
ἔσσυο	leaving	1
ὕστατος	Last	1
μήλων	of all	1
οὔ	never	1
πάρος	before	1
λελειμμένος	behind	1
ἔρχεαι	lagged	1
πρῶτος	the first	1
οἴνῳ	drunk	1
γένοιο	could	1
ποτιφωνήεις	talk	1
θύραζε	through the door	1
ὑπέλυσα	untied	1
λυόμην	untangled	1
ὑπʼ	from	1
ἀρνειοῦ	the ram	1
αὐλῆς	myself	1
ἐλθόντες	had gone	1
ἠβαιὸν	a little way	1
ἀπὸ	from	1
σπείους	the cave	1
ἀπὸ	off	1
ἕο	He	1
πέμπε	sent	1
εἰπὼν	spoke	1
ὄλεθρον	trouble	1
πεφυγμένον	out of	1
πώ οὔ	not	1
εἶναι	he’s	1
τῷ	him	1
ὁμοφρονέοις	understood	1
βιβάς	steps	1
μακρὰ	big	1
ἑταίρους	my men	1
κριὸν	ram	1
πολὺ	always	1
διὰ	over	1
εἰ	If	1
εἰπεῖν	tell	1
ὅππῃ	where	1
κεῖνος	he’s	1
ἐμὸν	me	1
ἠλασκάζει	hiding	1
κέ	would	1
οἱ	his	1
ἐγκέφαλός	brains	1
ἄλλυδις ἄλλῃ	All	1
τὸν	the	1
θεινομένου	Smash	1
ῥαίοιτο	spatter	1
ἐμὸν	I	1
λωφήσειε	relief	1
κακῶν	the pain	1
μοι	me	1
τά	this	1
οὐτιδανὸς	no-good	1
Οὖτις	Noman	1
πόρεν	has caused	1
ὕστατος	last	1
εὖνιν	ripping out	1
οἴκαδʼ	home	1
Ποσείδαον	Poseidon	1
γαιήοχε	Earth-Holder	1
κυανοχαῖτα	blue-maned	1
εἰ	If	1
πατὴρ	father	1
εὔχεαι	you claim	1
Ὀδυσσῆα	Odysseus	1
δὸς	Grant	1
μὴ	never	1
ἱκέσθαι	reach	1
ἀστερόεντα	starry	1
υἱὸν	son	1
Λαέρτεω	of Laertes	1
Ἰθάκῃ	Ithaca	1
ἔνι	on	1
ἀλλʼ	But	1
εἴ	if	1
οἱ	he	1
μοῖρʼ	fated	1
ἐστὶ	is	1
κλῦθι	‘Hear me	1
οὐρανὸν	heaven	1
ἰδέειν	see	1
Ἄϊδος	Hell	1
ἐγώ	I	1
μιν	him	1
ἀμειβόμενος	back	1
προσέειπον	shouted	1
αὐτὰρ	and	1
αἲ	wish	1
σε	your	1
πέμψαι	sending	1
εἴσω	to	1
ἐνοσίχθων	Earthshaker	1
εἰς	to	1
οὐδʼ	not	1
ἰήσεται	heal	1
ὀφθαλμόν	eye	1
ὡς	That	1
ὁ δʼ	he	1
ἐφάμην	I had my say	1
Ποσειδάωνι	Poseidon	1
εὔχετο	prayed	1
χεῖρʼ	arms	1
ὀρέγων	Stretching	1
φίλους	family	1
ἱκέσθαι	return	1
εἶναι	you are	1
οἰήιον	rudder	1
ἐπιδινήσας	Pivoted	1
ἐπέρεισε	threw	1
ἀπέλεθρον	with incredible force	1
ἀείρας	broke	1
μετόπισθε	behind	1
νεὸς	ship	1
κυανοπρῴροιο	dark-hulled	1
ἔβαλεν	came down	1
τυτθόν	Barely	1
ἄκρον	end	1
πολὺ	even	1
