GRC	ENG	Frequency
ὀφθαλμῷ	in his eye	1
κράτος	power	1
ἐν	in	1
πυριήκεα	fire-sharp	1
μοχλὸν	weapon	1
δινέομεν	whirled	1
αἷμα	blood	1
περίρρεε	around	1
σίζʼ	crackle	1
ὀφθαλμὸς	eyeball	1
περὶ	on	1
σιδήρου	iron	1
τρυπῷ	drills	1
ἐστίν	takes	1
σμερδαλέον	Horribly	1
ᾤμωξεν	he howled	1
πέτρη	rocks	1
ἴαχε	resounded	1
μοχλὸν	spear	1
ὀφθαλμοῖο	of his eye	1
αἵματι	with blood	1
ῥίζαι	roots	1
σφαραγεῦντο	fried	1
ὀφθαλμῷ	his eye	1
δόρυ	wood	1
χαλκεὺς	blacksmith	1
δαίμων	god	1
ἐλάινος	spear	1
πυρὶ	fire	1
πυρός	fire	1
ἐκ	from	1
ἐγὼν	I	1
χλωρός	green	1
περ	though	1
ἐών	it was	1
θάρσος	courage	1
ἐνέπνευσεν	was breathing	1
νήιον	for shipbuilding	1
μοχλὸν	olive	1
ἐλάινον	spear	1
ἑλόντες	took	1
ὀξὺν	sharp	1
ἐνέρεισαν	shoved	1
ἐγὼ	I	1
ἐρεισθεὶς	leaned	1
δίνεον	twisted it	1
ἐφύπερθεν	on top	1
ἀνὴρ	man	1
οἱ	the	1
πέλεκυν	axe	1
ἑταῖροι	My crew	1
ὣς	so	1
τὸ	the	1
ἅψεσθαι	seized	1
τάχʼ	soon	1
ὁ	the	1
διεφαίνετο	glowed	1
αἰνῶς	terribly	1
ἄκρῳ	its tip	1
ὡς	as	1
τοῦ	the	1
ὡς	As	1
ὅτε	when	1
ὅτʼ	when	1
εἰν	in	1
ὣς	So	1
ἐλαϊνέῳ	spear	1
γὰρ	From	1
ἡμεῖς δὲ	we	1
ὁ	He	1
οἱ μὲν	They	1
τοῦ	his	1
πεφυρμένον	soaked	1
τις	a	1
ἵσταντʼ	stood firm	1
σκέπαρνον	adze	1
ἑκάτερθε	from either end	1
ὕδατι	water	1
ψυχρῷ	ice-cold	1
βάπτῃ	dips	1
φαρμάσσων	temper	1
καιομένης	sizzled	1
ὀφρύας	brows	1
ἔνερθεν	Below	1
ὑποσσείουσιν	spin	1
ἱμάντι	with straps	1
ἁψάμενοι	stretched	1
τρέχει	round	1
φέρον	snatched	1
ἐμμενὲς	and round	1
αἰεί	it goes	1
βλέφαρʼ	lids	1
καὶ	and	1
ἰάχοντα	it shrieks	1
μεγάλα	loudly	1
δείσαντες	in fear	1
ἀπεσσύμεθʼ	shrank back	1
ἐξέρυσʼ	tugged	1
πολλῷ	gushing	1
μοχλὸς	olive	1
καὶ	and	3
ἄκουσε	he had heard	1
κοντὸν	long pole	1
φέρε	propelled	1
τὴν	The	1
αἶψʼ	at once	1
κῦμα	waves	1
ἐγὼ	I	1
λαβὼν	grabbed	1
περιμήκεα	big	1
ὦσα	shoved	1
πλημυρὶς	swollen	1
παρέξ	off	1
ἑτάροισι	men	1
ἐποτρύνας	told	1
ἐμβαλέειν	‘Row	1
φύγοιμεν	save	1
κατανεύων	gestured	1
ἔρεσσον	started rowing	1
πόντοιο	water	1
ἤπειρόνδε	landwards	1
παλιρρόθιον	backflow	1
νεὸς	prow	1
χολώσατο	angrier	1
ἀπορρήξας	ripped	1
ἧκε	hurled	1
κορυφὴν	rock	1
ὄρεος	hill	1
κὰδ	in	1
προπάροιθε	front	1
κυανοπρῴροιο	dark	1
οἱ δὲ	They	1
ἔβαλε	landed	1
τυτθόν	right	1
οἰήιον	steering oar	1
ἄκρον	the tip	1
ἱκέσθαι	crushed	1
κατερχομένης	sank	1
