GRC	ENG	Frequency
ὁ δέ	The	1
ἐννοσίγαιον	Neptune’s	1
οἴνῳ	by wine	1
ἐδαμάσσατο	subdued	1
ἐκέκαστο	Skill’d	1
μαντοσύνῃ	fates	1
φῶτα μέγαν	giant	1
τινα	some	1
κλυτὸν	Great	1
κατεγήρα	grew old	1
δόμεναι	blessing	1
ὀτρύνω	pray	1
ἐγὼ	I	1
πάϊς	his	1
εἰμί	am	1
γὰρ	For	1
ἐμὸς	I	1
Ὀδυσῆος	Ulysses	1
μαντευόμενος	foretold	1
εὔχεται	own	1
εἴρηται	Ask	1
υἱὸν	son	1
Λαέρτεω	Laertes’	1
Ἰθάκῃ	Ithaca	1
ἐμὸν	I	1
Κύκλωψ	‘Cyclop	1
αἴ	if	1
τίς	any	1
ἀλαωτύν	disfigured	1
Εὐρυμίδης	Eurymedes	1
φάσθαι	Say	1
ἔχοντα	of	1
οἰμώξας	roar	1
ἠμείβετο μύθῳ	replies	1
ὢ	‘Oh	1
πόποι	heavens	1
Τήλεμος	Telemus	1
πατὴρ	lineage	1
ἰήσεται	heal	1
ἀλλʼ	But	1
μεγαλήτορα	elate	1
μέγας	mighty	1
ἔφη	he menaced	1
κεκοτηότι	scorning	1
προσέφην	insult	1
μιν	the monster’s	1
ἀλλά	Thus	1
θυμόν	mind	1
ἐνθάδε	This	1
σε	thy	1
ἐξαλαῶσαι	eyeless	1
τις	who	1
νῦν	this	1
τοι	our	1
αὐτὸς	me	1
πομπήν	the way	1
μάντις	seer	1
θέσφαθʼ ἱκάνει	prophecies	1
ἐθέλῃσʼ	can	1
μεγάλην	lofty hero	1
οὐδέ τις ἄλλος	And only his	1
θεῶν	of gods	1
ὀλίγος	weak	1
ἄκικυς	mean design	1
καὶ	of	1
οὐτιδανὸς	pigmy wretch	1
ἀλκήν	brave	1
ἐδέγμην	behold	1
παλαίφατα	ancient	1
ξείνια	gifts	1
δεῦρʼ	come	1
χειρῶν	hand	1
ἐξ	as	1
τελευτήσεσθαι	Fate’s command	1
πτολιπόρθιον	Troy tumbled	1
καλὸν	godlike	1
Ὀδυσσῆα	Ulysses	1
οἱ δὲ	We	1
ἄγριον	godless	1
ἤπειρον	back	1
ἤγαγε	sink	1
ἐρήτυον	dissuade	1
ἐπέεσσιν	entreaties	1
μειλιχίοις	mild	1
ἑταῖροι	friends	1
κώπῃς	we	1
ἔρεσσον	furrow’d	1
φύγοιμεν	’scaped	1
κακότητα	death	1
φθεγξαμένου	voice	1
βέλος	stroke	1
ἄνδρα	giant	1
ἐθέλεις	to	1
βαλών	o’erwhelms	1
ἐρεθιζέμεν	provoke	1
ἐγὼ	I	1
φέρε	Roll’d	1
παλιρρόθιον	back	1
ἤπειρόνδε	the shore	1
θάλασσα	sea	1
ἱκέσθαι	brush’d	1
τυτθόν	almost	1
ἔβαλε	flew	1
προπάροιθε	near	1
νεὸς	ship	1
ἀπορρήξας	rends	1
χολώσατο κηρόθι	burning rage	1
μαρμάρῳ	rock	1
ἀπῆμεν	back	1
οἰήιον	helm	1
αὐτὰρ	Again	1
ἡμέων	us	1
ἄραξʼ	aim	1
εἰ	and	1
ὃς	Whose	1
ὑπὲκ	Just	1
ἐποτρύνας	fly	1
χέρσον	side	1
πλημυρὶς	to the island’s	1
ἐδεύησεν	flood	1
αὖτις	again	1
τίπτʼ	‘What boots	1
προπεσόντες	ply	1
ὦσα	shoved	1
ὑπὸ	before	1
κῦμα	tide	1
πέτρης	It	1
κατερχομένης	fell	1
κὰδ	o’er	1
ὄρεος	billows	1
μεγάλοιο	massy	1
κορυφὴν	load	1
τόσσον	as far	1
δὶς	twice	1
τότε	Once more	1
προσηύδων	I raise my voice	1
ἐμβαλέειν	stretch	1
παρέξ	off	1
ἐκλύσθη	refluent beat	1
ἐφάμην	words	1
οἱ	the	2
τοῦ	his	2
δείσαντες	Scared	1
εἰν	in	1
ὡς ὅτε	As	1
δόρυ	beam	1
ἀνὴρ χαλκεὺς	armourers	1
μέγαν	keen-edged	1
πέλεκυν	pole-axe	1
σκέπαρνον	sword	1
ὕδατι	the lake	1
δίνεον	twirl	1
ἰάχοντα	hisses	1
σμερδαλέον	dreadful	1
πέτρη	rocks	1
περὶ	around	1
ἴαχε	resound	1
ἡμεῖς	we	1
ἀπεσσύμεθʼ	recoiled	1
ὑποσσείουσιν	ply	1
τις	a	1
ἐφύπερθεν	above	1
ἐρεισθεὶς	Guide	1
διεφαίνετο	sparkled	1
ἐγὼν	I	1
ἅψεσθαι	bring	1
ἐν	beneath	1
πυρὶ	burning bed	1
χλωρός	Green	1
περ	as	1
ἐών	it was	1
ἐκ	forth	1
ἑκάτερθε	o’er	1
ἑταῖροι	my fellows	1
ἐνέπνευσεν	Urged	1
μοχλὸν ἐλάινον	The torment	1
ὀξὺν	pointed	1
ὀφθαλμῷ	his visual ball	1
ἐνέρεισαν	let fall	1
ἐγὼ	Myself	1
ἱμάντι	wimble	1
ἐμμενὲς αἰεί	nimbly	1
τρέχει	spins about	1
ὅτε	now	1
πυριήκεα	fiery	1
ὀφθαλμῷ	eye	1
ἐν	In	1
δινέομεν ἑλόντες	he whirls	1
τρυπάνῳ	it	1
μοχλὸς ἐλάινος	stake	1
ἐλαϊνέῳ μοχλῷ	stake	1
καὶ τότʼ	Then	1
οἱ	they	1
