GRC	ENG	Frequency
Οὖτιν	Noman	2
τὸ δέ	That	1
ἔσται	is	1
ψωμοί	chunks	1
οἶνος	wine	1
φάρυγος	from his throat	1
ᾕρει	took	1
πανδαμάτωρ	All-conquering	1
μιν	him	1
ὕπνος	sleep	1
αὐχένα	neck	1
παχὺν	massive	1
ἀποδοχμώσας	askew	1
ὕπτιος	on his back	1
πέσεν	fell	1
ξεινήιον	gift	1
ἐξέσσυτο	spewed	1
πρόσθεν	first	1
ἑτάροισιν	men	1
ἔδομαι	will eat	1
πύματον	last	1
νηλέι	no pity	1
θυμῷ	in his heart	1
ἐγὼ	‘I	1
ἠδʼ	and	1
πάντες	all	1
ἑταῖροι	friends	1
μήτηρ ἠδὲ πατὴρ	family	1
ἐμοί	My	1
οἰνοβαρείων	drunken heaviness	1
μοχλὸν	spear	1
τοι	you	1
τίς	of them	1
ὁ δέ	He	1
αὐτὰρ	and	1
τοὺς δʼ	the	1
ἄλλους	other	1
ὄνομα	name	1
τʼ	of	1
ἀνδρόμεοι	human flesh	1
ἑταίρους	my men	1
κεῖτʼ	lay there	1
ἀνακλινθεὶς	he collapsed	1
ἀμείβετο	answered	1
με	me	1
κικλήσκουσι	call	1
τὸν	the	1
μοι	I	1
μή	none	1
ὑποδείσας	in fear	1
ἀναδύη	shrink	1
θάρσυνον	‘Be brave	1
θερμαίνοιτο	heat	1
ἧος	to	1
ἤλασα	drove	1
σποδοῦ	embers	1
ὑπὸ	into	1
τότʼ	then	1
καὶ	And	1
ἐγὼ	I	1
Οὖτις	Noman	1
