AKK	ENG	Frequency
IBILA	son	7
ša	of	6
LUGAL	king	4
ar-tak-šat-su	Artaxerxes	3
ša-ar-ri	King	3
da-ri-ia-muš	Darius	3
ana-ku	I	2
i-qá-bi	Proclaims	2
šá	of	2
u	and	2
ḫi-ši-ar-šu	Xerxes	2
ar-šam-mu	Arsames	1
ar-šam	Arsames	1
uš -⸢tas⸣-pu	Hystaspes	1
uš-tas-pu	Hystaspes	1
a-ga-mar-šu	complete	1
šar- ri	king	1
a- ḫa-ma-ni-ši-Iʾ	from Achaimenes	1
da-ri-ia-a-muš	Darius	1
ar-tak-⸢šat⸣- su	Artaxerxes	1
ša-ar	king	1
ar-tak -⸢šat⸣-su	Artaxerxes	1
gab-bi	entire	1
qaq-qar	world	1
ina	in	1
šá	that	1
KUR MEŠ	of lands	1
sa-ar-ra-ni	Kings	1
ar-tak-šat -su	Artaxerxes	1
GAL	Great	1
LUGAL	King	1
i-tu-ri	Repeats	1
a-ga-šum	this	1
ri-ši	of front	1
ul	did not	1
ba-nu-ú	builder	1
ina	Under	1
da-ḫu-ru-mu-uz-da	of Ahuramazda	1
GIŠ MI	protection	1
ar- ku-ú	back	1
É	house	1
ip-šú	built	1
i-qá-bi	proclaims	1
bi-it	house	1
ar-tak- šat-su	Artaxerxes	1
da-ḫu-ru-mu-uz-da	Ahuramazda	1
an-na-i-tu	Anahita	1
d mi-it-ri	Mithra	1
li-su-ru-uʾ	protect	1
ana-ku	me	1
bi-i-ši	repulsive	1
la-pa-ni	from	1
gab-bi	all things	1
ša	what	1
e-pu-uš-šu	have built	1
GAL-ú	Great	1
