AKK	ENG	Frequency
LUGAL	king	15
ù	and	10
GAL	great	5
ša	whose	3
KUR-šu-me-ri	of Sumer	3
URU-šu	his city	3
u	and	3
UN MEŠ	people	3
m ku-ra-áš	Cyrus	2
i-da-a-šu	his side	2
šu-an-na KI	Šuanna	2
KÁ DINGIR MEŠ KI	Babylon	2
URU an-ša-an	of Anšan	2
d AMAR UTU	Marduk	2
qé-reb	enter	2
i-na	from	2
ki-ma	like	2
ša	who	2
URI KI	Akkad	2
a-na	at	2
d EN LÍL	Enlil	2
DINGIR MEŠ	of gods	2
a-na	to	2
TIN TIR KI	of Babylon	2
la	not	2
⸢LUGAL	kin g	1
m ku-ra-áš	of Cyrus	1
URU⸣ an-ša-an	of Anšan	1
ŠÀ BAL BAL	descendant	1
kib-ra-a-ti	of quarters	1
DUMU DUMU	grandson	1
m ka-am-bu-zi-ia	of Cambyses	1
DUMU	son	1
er-bé-et-tim	four	1
ak-ka-di-i	Akkad	1
dan-nu	strong	1
m ši-iš-pi-iš	of Teispes	1
ta-a-a-ra	of lands	1
URU an-šá-an	of Anšan	1
⸢LUGAL⸣-ut-su	reign	1
i-gu-ug-⸢ma⸣	at their complaints	1
ez-zi-iš	became furiously angry	1
ki-su-úr-šu-un	their territory	1
DINGIR MEŠ	gods	1
be-lu	lord	1
tu-kul-ti-ša	his support	1
i-na	through	1
pu-uš-qu	trouble	1
ú-de-e	hardship	1
e-ru-bu	I entered	1
sa-li-mi-iš	peacefully	1
NUMUN	seed	1
TIN TIR KI	Babylon	1
a-⸢na	i n to	1
e-nu-ma	When	1
iḫ-ši-ḫa	they desired	1
ṭu-ub	content	1
pa-la-a-šu	whose k ingshi p	1
kiš-šat	of world	1
ir-a-mu	love	1
LUGAL-ú-tu	kingship	1
ša	of	1
da-ru-ú	eternal	1
lìb-bi-šú-nu	their heart’s	1
nap-ḫar	entirety	1
zi-ki-ir-šu	his name	1
d AG	Nabû	1
šu-bat-su-un	dwellings	1
in-na-du-ú	were in ruins	1
da-ád-mi	of settlements	1
nap-ḫar	all	1
a-na	towards	1
DINGIR ⸢MEŠ⸣	of god	1
⸢ti⸣- iz-qa-ru	ex alted	1
é-sag-íl	of Esagil	1
a-na	for	1
úri KI	Ur	1
d EN	Bēl	1
ḫa-a-a-iṭ	who inspects	1
gi-mir	all	1
