AKK	ENG	Frequency
_lugal	_king	6
zimbir ki	Sippar	3
a-na-ku	I—	3
a-na	to	3
u3	and	3
ha-am-mu-ra-pi2	Hammurapi	3
d utu	of Šamaš	3
szi-ir	well-being	2
d marduk	Marduk	2
t a-ba	pleasing	2
ma-tim	of nation	2
ba-ni	builder	2
sza	whose	2
ep-sza-tu-szu	deeds	2
lu	truly	2
re-szi-szu	its top	1
u3-um-mi-su2	I set next to it	1
babila2 ki	of Babylon	1
ar-ba-im	four	1
ki-ib-ra-tim	of world quarters	1
_bad3	_wall	1
sza	of	1
in	with	1
szu-ul-mi-im	safe	1
u3-ul-li	I raised	1
kar	harbor	1
ah-re-a-am-ma	I dug	1
e-pe-ri	earth	1
lu	indeed	1
ki-ma	like	1
i7 buranun	Euphrates	1
_sa-tu_-im	mountain	1
ra-bi-im	great	1
ap-pa-ra-am	marsh	1
usz-ta-as2-hi-ir-szu	I made it be surrounded	1
e-pu-us2-su-um	I build for him	1
s i-a-tim	of old	1
ra-bi-isz	grand manner	1
be-li2-ia	my lord	1
d utu	Šamaš	1
a-na	for	1
ib-ni-u3	had built	1
la	no	1
_lugal_-ri2	kings	1
in	among	1
_u4_-um	days	1
babila2 ki	Babylon	1
isz-tu	from	1
sza	which	1
d marduk	of Marduk	1
na-ra-am	beloved	1
mi-gi4-ir	favored one	1
u3-sze-szi-ib	I made to inhabit	1
da-ri2-a-tim	forever	1
ne-eh-tim	peaceful	1
szu-ba-at	residences	1
da-num2	mighty	1
u3	and	2
_lugal	_king	2
ib-ni	he built	1
ar-ba-im	four	1
_dingir	_god	1
ma-ti-szu	of his country	1
da-num2	mighty	1
uri5 ki	of Ur	1
ki-ib-ra-tim	of world quarters	1
i3-nu	when	1
bi2-ru-tam2	embankment	1
ma-at	countries	1
ki-masz ki	of Kimaš	1
hu-ur-tim ki	Hurtim	1
u3-ha-li-qu2-na	he obliterated	1
hi-ri-tam2	ditch	1
isz-ku-un	he created	1
d szul-gi	Šulgi	1
u3	and	14
d utu	Šamaš	7
_lugal	_king	6
sza	which	5
d a-a	Aya	5
e2-babbar	Ebabbar	4
ki-ma	like	3
in	with	3
sa-am-su-i-lu-na	Samsu-iluna	3
_bad3	_wall	3
d utu	of Šamaš	3
a-na	to	3
a-na	into	3
zimbir ki	Sippar	2
qi2-bi-it	command	2
szu-a-ti	that	2
d marduk	Marduk	2
a-na	for	2
