AKK	ENG	Frequency
DINGIR ME	of gods	3
MAN	king	3
u	and	3
nap-ta-nu	meals	2
BÁRA	shrine	2
GAL MEŠ	great	2
KUR AN ŠÁR KI	of Assyria	2
EN	lord	2
d uraš	Uraš	2
ú-kin	he established	2
qé-reb	inside	1
dil-bat KI	Dilbat	1
šu-nu-te₉-e-ma	its	1
šu-bat	abode	1
d nin-é-⸢gal⸣	Ninegal	1
uš-šiš	renovated	1
áš-ri el-lu	holy	1
a-gur-ru	baked bricks	1
pi-ti-iq	craft	1
d báḫar	Baḫar of	1
eš-šiš	anew	1
d uraš	of Uraš	1
SIPA	shepherd	1
šá	which	1
é-i-bí- d a-num	E-ibbi-Anum	1
ṣal-mat SAG DU	of black-headed	1
SUḪUŠ	foundation	1
m ⸢AN⸣ ŠÁR-DÙ-A	of Ashurbanipal	1
DUMU	son	1
mu-ud-diš	who renovated	1
m AN ŠAR₄-NIR GÁL-DINGIR ME	Aššur-etel-ilāni	1
EN-šú	his lord	1
GAL-u	great	1
ra-aš-bu	worthy of honor	1
é-i-bí- d a-num	of E-ibbi-Anum	1
GAL ME	great	1
KAL SAG	foremost	1
MAḪ	exalted	1
ib-ni-ma	He built	1
⸢a-na⸣	for	1
PÚ	of well	1
u₄-mi-šam	every day	1
li-ri-ik	long	1
li-iq-bu-u	May they say	1
mi-gir-šú-un	their favorite	1
m AN ŠÁR-NIR GÁL-DINGIR ME*	Aššur-etel-ilāni	1
SIG₅-tim	good things	1
MU MEŠ	this	1
MU* ME	that	1
É	temple	1
⸢qé-reb⸣	in	1
a-ši-bu	who dwell	1
d nin-é-gal	Ninegal	1
d AMAR UTU	Marduk	1
d AG	Nabû	1
ana	to	1
uš-taḫ-ma-ṭu	should be brought in good time	1
KI-šú	its position	1
a-na	for	1
A ⸢MEŠ⸣	water	1
ana	for	1
ub-bi-ib-ma	He cleaned	1
ÍD BURANUN	Euphrates	1
ÍD IDIGNA	Tigris	1
GIM	as	1
PÚ	well	1
zu-mur	entire	1
u₄-me	time	1
du-ur	all	1
BALA-šú	his reign	1
la-bi-ri-im-ma	in ancient times	1
ki-i	just as	1
a-na	For	1
