AKK	ENG	Frequency
LUGAL	king	21
ŠÚ	of world	5
KUR AN ŠÁR KI	of Assyria	5
GAL	great	5
dan-nu	strong	4
a-na	to	4
u	and	4
KUR	of land	4
d AG	Nabû	3
URI KI	Akkad	3
EME GI₇	of Sumer	3
GÌR NÍTA	governor	3
ù	and	3
DUMU	son	3
DAGAL MEŠ	widespread	2
NUN	ruler	2
a-na	for	2
AN ŠÁR	Aššur	2
d 30	Sîn	2
ke-e-nu	true	2
KÁ DINGIR RA KI	of Babylon	2
GAL MEŠ	great	2
DINGIR MEŠ	gods	1
ke-e-nu	reliable	1
kit-ti	truth	1
LUGAL-us-su	kingship	1
da-a-a-nu	judge	1
ši-tul-ti	deliberation	1
la-mid	learned	1
da-bi-ib	who speaks	1
LÚ SIPA	shepherd	1
meš-šá-ri	justice	1
šá	to whom	1
ša	whose	1
UN MEŠ	of population	1
mut-tar-ru-ú	leader	1
mil-ki	counsel	1
ik-kib-šú	anathema	1
nu-ul-la-a-ti	treacherous talk	1
an-zil-la-šú	abomination	1
sur-ra-a-ti	lies	1
na-aʾ-du	pious	1
it-pe-šú	capable	1
lìb-bi ub-la	wanted	1
ka-raš ta-šim-ti	discerning	1
ṭè-e-me	reason	1
SIG₅ MEŠ	benevolent	1
⸢ba-ʾu-la-a-ti⸣	people	1
SUḪUŠ	foundation	1
kun-ni	make firm	1
LUGAL-u-ti	kingship	1
is-su-qu-šú	selected	1
ip-pal-⸢su⸣-šú-ma	looked upon	1
ke-niš	steadfastly	1
ni-iš IGI II-šú-nu	their glance	1
šu-te-šur	to direct	1
ina	with	1
d taš-me-tum	Tašmētu	1
d zar-pa-ni-tum	Zarpanītu	1
d ⸢AMAR⸣ UTU	M arduk	1
d NIN LÍL	Mullissu	1
ša	whom	1
⸢LUGAL⸣	king	1
-⸢iš⸣-kun m d 30-LUGAL	Sîn-šarra-i škun	1
ab-ta*-a-ti	what is destroyed	1
dal-ḫa-a-ti	what is confused	1
a-ḫi-iz	comprehends	1
re-⸢ʾu⸣-u-ti	shepherding	1
Ì MEŠ	oil	1
lìb-bu rap-šú	magnanimous	1
rit-tu-uš-šú	whose hand	1
ú-šat-me-ḫu	made grasp	1
kiš-šá-ti	of world	1
pa-qid	overseer	1
UN MEŠ	population	1
uš-pa-ru	staff	1
a-ge-e	with crown	1
i-šar-tú	just	1
GIŠ GIDRU	scepter	1
AN-e	of heaven	1
na⸣-an-nàr	light	1
ke-še₂₀-ri	repair	1
tu-qu-ni	put in order	1
i-pi-ru-⸢uš	crowned	1
be-lu-ti	of lordship	1
ú-lu	finest	1
m d 30-ŠEŠ MEŠ-⸢SU	of Sennacheri b	1
ki-ma	as	1
ma-ḫa-zi	for cult centers	1
⸢ú-šam⸣-qí-tú	c u t down	1
za-ʾi-i-ri-ia	my enemies	1
ú-sa-at	deeds	1
SIG₅	good	1
i-pu-šú-u-ni	performed	1
ṭa-biš	gladly	1
ú-še-šib-u-in-ni	placed me	1
⸢ina⸣	o n	1
GIŠ GU ⸢ZA⸣	thro ne	1
LUGAL-u-ti	royal	1
AD	of father	1
DÙ-ia	who had engendered me	1
ša	to	1
za-na-an	providing	1
šuk-lul	completing	1
i-na-ru	killed	1
eš-re-e-ti	sanctuaries	1
šu-te-šur	putting in order	1
⸢pe-lu⸣-de-e	p ell udû-rites	1
ka-a-a-an	constantly	1
kar-šú-u-a	thought	1
uš-ta-da-na	I gave	1
áš-rat	sanctuaries	1
DINGIR MEŠ	of gods	1
EN MEŠ-ia	my lords	1
áš-te-ʾe-e-ma	I was assiduous towards	1
mim-⸢ma	whatev er	1
DINGIR -⸢ti⸣-šú-nu	their divinit y	1
GAL-ti	great	1
DÙG GA	suitable	1
a-a-bi-ia	my foes	1
it-ta-nar-ru-un-ni-ma	guided me	1
uš-ṭib-bu	made pleasing	1
dan⸣-nu	s trong	1
UGU	in	1
gi-mir	all	1
ma-ti-tan	of lands	1
m AN ŠÁR-DÙ-IBILA	Ashurbanipal	1
kib-rat	of quarters	1
LÍMMU-tim	four	1
m d *aš*-šur*-ŠEŠ-SUM NA	of Esarhaddon	1
e-pe-še	do	1
LUGAL⸣	k ing	1
la	no	1
šá-na-an	rival	1
ŠÀ BAL BAL	descendant	1
m LUGAL-GI NA	of Sargon	1
⸢LUGAL	ki ng	1
ina	At	1
AMA	mother	1
ina bi-rit	among	1
AD	father	1
ki-ma	like	1
LUGAL-u-ti	king	1
iḫ-ši-ḫu	desired	1
ut-⸢tu⸣-un-ni-ma	chose me	1
maš-ši-ia	my brothers	1
d nusku	Nusku	1
SAG	beginning	1
d U GUR	Nergal	1
d nin-urta	Ninurta	1
d UTU	Šamaš	1
d EN	Bēl	1
⸢ul⸣-tu	a f ter	1
LUGAL-u-ti-ia	of my kingship	1
a-na-ku	I	1
