AKK	ENG	Frequency
LUGAL	king	21
ŠÚ	of world	5
KUR AN ŠÁR KI	of Assyria	5
GAL	great	5
dan-nu	strong	4
a-na	to	4
u	and	4
KUR	of land	4
d AG	Nabû	3
URI KI	Akkad	3
EME GI₇	of Sumer	3
GÌR NÍTA	governor	3
ù	and	3
DUMU	son	3
DAGAL MEŠ	widespread	2
NUN	ruler	2
a-na	for	2
AN ŠÁR	Aššur	2
d 30	Sîn	2
ke-e-nu	true	2
KÁ DINGIR RA KI	of Babylon	2
GAL MEŠ	great	2
DINGIR MEŠ	gods	1
ke-e-nu	reliable	1
kit-ti	truth	1
LUGAL-us-su	kingship	1
da-a-a-nu	judge	1
ši-tul-ti	deliberation	1
la-mid	learned	1
da-bi-ib	who speaks	1
LÚ SIPA	shepherd	1
meš-šá-ri	justice	1
šá	to whom	1
ša	whose	1
UN MEŠ	of population	1
mut-tar-ru-ú	leader	1
mil-ki	counsel	1
ik-kib-šú	anathema	1
nu-ul-la-a-ti	treacherous talk	1
an-zil-la-šú	abomination	1
sur-ra-a-ti	lies	1
na-aʾ-du	pious	1
it-pe-šú	capable	1
lìb-bi ub-la	wanted	1
ka-raš ta-šim-ti	discerning	1
ṭè-e-me	reason	1
SIG₅ MEŠ	benevolent	1
⸢ba-ʾu-la-a-ti⸣	people	1
SUḪUŠ	foundation	1
kun-ni	make firm	1
LUGAL-u-ti	kingship	1
is-su-qu-šú	selected	1
ip-pal-⸢su⸣-šú-ma	looked upon	1
ke-niš	steadfastly	1
ni-iš IGI II-šú-nu	their glance	1
šu-te-šur	to direct	1
ina	with	1
d taš-me-tum	Tašmētu	1
d zar-pa-ni-tum	Zarpanītu	1
d ⸢AMAR⸣ UTU	M arduk	1
d NIN LÍL	Mullissu	1
ša	whom	1
⸢LUGAL⸣	king	1
-⸢iš⸣-kun m d 30-LUGAL	Sîn-šarra-i škun	1
ab-ta*-a-ti	what is destroyed	1
dal-ḫa-a-ti	what is confused	1
a-ḫi-iz	comprehends	1
re-⸢ʾu⸣-u-ti	shepherding	1
Ì MEŠ	oil	1
lìb-bu rap-šú	magnanimous	1
rit-tu-uš-šú	whose hand	1
ú-šat-me-ḫu	made grasp	1
kiš-šá-ti	of world	1
pa-qid	overseer	1
UN MEŠ	population	1
uš-pa-ru	staff	1
a-ge-e	with crown	1
i-šar-tú	just	1
GIŠ GIDRU	scepter	1
AN-e	of heaven	1
na⸣-an-nàr	light	1
ke-še₂₀-ri	repair	1
tu-qu-ni	put in order	1
i-pi-ru-⸢uš	crowned	1
be-lu-ti	of lordship	1
ú-lu	finest	1
