AKK	ENG	Frequency
ù	and	5
EN	lord	3
DINGIR	god	3
ša	of	3
d AMAR UTU	Marduk	3
a-lak-ti	ways	2
GAL	great	2
é-zi-da	Ezida	2
d AG	Nabû	2
ša	who	2
LUGAL	king	2
DINGIR	of god	2
ib-ši-mu	fashioned	1
IBILA	heir	1
ab-ba-nu-ú	I was formed	1
ti-iṣ-mu-ru-ma	mindful of	1
e-em-qá	wise	1
mu-ut-né-en-nu-ú	pious	1
za-nin	who provides	1
é-sag-íl	for Esagil	1
a-na-ku	myself	1
al-da-ku	I was born	1
a-ša-re-du	foremost	1
DÙ-ú-a	who created me	1
e-nu-ma	when	1
d AG-IBILA-ú-ṣu-úr	Nabopolassar	1
um-mu	mother	1
KÁ DINGIR RA KI	of Babylon	1
a-na-ku	I	1
i-na	inside	1
ib-na-an-ni	he had created me	1
na-ab-ni-ti	my form	1
iš-tu	As soon as	1
d iš₈-tár	goddess	1
aš-ra-a-ti	sanctuaries	1
né-me-qí	wisdom	1
RA KI KÁ DINGIR	of Babylon	1
ru-ba-a	prince	1
na-a-dam	pious	1
mi-gi-ir	favorite	1
d AMAR UTU	of Marduk	1
ÉNSI	ruler	1
ṣi-i-ri	exalted	1
na-ra-am	beloved	1
d na-bi-um	of Nabû	1
mu-uš-ta-lam	who deliberates	1
a-ḫi-iz	acquires	1
i-lu-ti-šu-nu	of their divinity	1
iš-te-né-eʾ-ú	seeks out	1
iš-te-né-eʾ-ù	constantly seeks out	1
pí-it-lu-ḫu	reveres	1
bé-e-lu-ut-su-un	their dominion	1
GÌR NÍTA	governor	1
la a-ne-ḫa	indefatigable	1
zi-in-na-a-ti	provisioning	1
é-sag-íl	Esagil	1
u₄-mi-ša-am	daily	1
da-am-qá-a-ti	good things	1
KÁ DINGIR RA KI	for Babylon	1
bar-sí-pa KI	Borsippa	1
ka-a-a-nam	constantly	1
e-ep-še-tu-šu	accomplishments	1
aš-te-né-e	I constantly seek out	1
i-ša-ar-ti	just	1
i-qí-pa-an-nim	entrusted me	1
ul-lu-ma	elevated	1
pa-qí-id	overseer	1
KIŠ	of totality	1
AN-e	of heaven	1
KI	earth	1
a-na	for	1
šu-te-šu-úr	leading	1
ni-ši	people	1
GIŠ NÍG GIDRU	scepter	1
ú-ša-at-mi-iḫ	to grasp	1
ni-ši	of people	1
qá-tu-ú-a	my hands	1
ba-la-ak	I prayed	1
ia-ti	me	1
ša-a-šu-nu	As for	1
aš-te-né-eʾ-a	I constantly sought out	1
i-lu-ut-su-un	their divinity	1
a-na	At	1
zi-ki-ir	mention	1
šu-mi-šu-nu	of their name	1
DUGUD	important	1
pi-it-lu-ḫa-ak	I revere	1
KIŠ	all	1
be-lu-ti	lordship	1
a-la-ak-ti	ways	1
ṣir-ti	exalted	1
er₄-te-né-ed-di	constantly follow	1
ba-ni-ia	who created me	1
na-ak-la-a-ti	ingenious	1
e-li-iš	aloud	1
at-ta-na-a-du	I praised	1
a-pí-il-šu	his heir	1
ki-i-nim	true	1
na-ra-am	who loves	1
šar-ru-ti-ia	my royal majesty	1
i-lu-ti-šu	divine	1
ki-ni-iš	truly	1
šar-ru-ti-ia	me to king	1
uš-te-né-e-du	I proclaim	1
i-na	With	1
gi-mir	all	1
ŠÀ-ia	of my heart	1
ki-i-nim	faithful	1
a-ra-mu	I love	1
pu-luḫ-ti	worshiping	1
i-lu-ti-šu-nu	their divinity	1
pi-it-lu-ḫa-ak	revering	1
be-lu-ut-su-un	their dominion	1
ì-nu-um	When	1
d AG-ku-dúr-ri-ú-ṣu-úr	Nebuchadnezzar	1
