AKK	ENG	Frequency
u3	and	26
_kalam ki _-su	its territory	20
a-di3-ma	as far as	3
tu-tu-usz-sze3 ki	Tutušše	2
szubur ki	of Subartum	1
a-li-we ki	Aliwe	1
x -im -ul ki	x-imul	1
x-uh3 -hu ki	x-uḫḫu	1
HAR -a-num2 ki	ḪAR-anum	1
gal -asz2 ki	Galaš	1
HAR-ba-ak ki	ḪAR-bak	1
_kalam ki	land	1
ha -su-an-sze3 ki	Ḫašu anše	1
x -in-sze3 ki	x-inše	1
ha-hu-un ki	Ḫaḫun	1
ki-x-e-na-asz2 ki	of Ki-x-enaš	1
|LAGABxTIL|-sze3 ki	LAGABxTIL-še	1
_kalam ki su	its territory	1
_kalam ki	country	1
usz-ba-al-ki-it-ma	revolted	1
isz-tum-ma	After	1
sza-bir5	smasher	1
da-num2	mighty	1
_lugal	_king	1
ki-ib-ra-tim	of world quarters	1
ar-ba-im	four	1
_sag-gesz-ra	_conqueror	1
USZ-GI	of UŠ GI	1
gesz tukul	_of weapon	1
u-s a-ab-bi-am3	went to war	1
ka3-li2-i3-su	all of it	1
mu-ki2-in	made firm	1
_suhusz-suhusz	_foundations	1
um-ma-nim ki	of army	1
a-bu-	Abu-	1
ga-	Ga-	1
ne-ri-x ki	Neri-	1
szi-x-NI-	Ši-x-NI-	1
_sipa	Sipa-	1
am3-mi-ra ki	Ammira	1
bad3	_fortresses	1
a-na	to/for	1
HAR -NE- ki	HAR-NE-	1
ku-um-ra-at ki	Kumrat	1
ir3-in-da ki	Ir inda	1
_kalam-ma ki _-su	its territory	1
-x-sze3	-še	1
u2-ti-su	its	1
-in-num2	-innum	1
-we ki	-we	1
-sze3	-še	1
_kalam ki _-su	its territory—	1
_iri ki -iri ki	cities	1
a-bar-ti	across	1
_1 u 4 asz	fourteen	1
ba-al-t	survivors	1
szu-x	Šu-x-	1
|ABxU|-sig-ge# ki#	ABxU-sigge	1
idigna i7	Tigris River	1
sa-ak-nu	were situated	1
x-tir-sze3 ki	x-tirše	1
zum-hi-in-num2 ki	Zumḫinnum	1
nin9-li-in-su-e3 ki	Ninlinsu e	1
mu-luh ki	Muluḫ	1
su-uh3-	Suḫ-	1
_sag-gesz-ra_-u3-su	he smote it	1
kum -ti-x-	Kumti-x-	1
sze3-wi-in- ki	Šewin-	1
szu-un-x- ki	Šun-x-	1
su-a-we ki	Šu awe	1
a-zu-hi-num2 ki	Azuḫinnum	1
is2-tum-ma	After	1
d na-ra-am- d suen	Narām-Sîn	1
