AKK	ENG	Frequency
u-sa-sa3-ku -ni#	shall remove	1
REC169	battles	1
da-num2	mighty	1
LUGAL	king	1
ki-ib-ra- tim	of world quarters	1
ar-ba-im	four	1
ša-ir	victor	1
1 u@c la2 1 aš	nine	1
in	during	1
su4 -a	this	1
MU	year	1
1 aš	one	1
a-na	to	1
d en-lil2	Enlil	1
A MU RU	he dedicated	1
ša	who	1
DUB	inscription	1
na-ra-am- d suen#	Narām-Sîn	1
in	in	3
ti-a-am-tim	Sea	2
u3	and	2
d en-lil2	Enlil	2
da-num2	mighty	2
d na-ra-am- d suen	Naram-Sin	2
d inanna	of Ištar	1
zabala ki	Zabala	1
i3-nu	When	1
ki-ib-ra-tum	world quarters	1
_e2	_of temple	1
a-li2-tim	Upper	1
ba-dim2	builder	1
ar-ba-um	four	1
isz-ti-ni-isz	together	1
i-kar-ni-su4	grew hostile to him	1
isz-tu4-ma	from	1
a-ga-de3 ki	of Agade	1
a-bar-ti	beyond	1
sa-pil2-tim	Lower	1
a-di3-ma	as far as	1
u3-ba-al	show	1
ka3-la-su-nu-ma	all of them	1
ni-se11	people	1
in	by	1
pa2-ni-su	mercy	1
ma-na-ma	to anyone	1
su4-nu-ti	those	1
REC169-REC169	battles	1
d en-lil2	of Enlil	1
_nam-nir	_authority	1
mah-ri2-isz	before	1
sa-du2-e	mountain lands	1
u2-sa2-ri2-ib	he brought them	1
ka3-mi-e	fetters	1
szar-ri2-si-in	their kings	1
u-ra-is2	he smote	1
a-na	for	1
u3-la	he did not	1
_lugal	_king	1
ma-ri2 ki	of Mari	2
_szagina	_military governor	2
ib-ni	built	1
d lugal-ma-tim	of Bel-mātim	1
_e2	_temple	1
_dumu_-su	his son	1
isz-t up-dingir	Ištup-Ilum	1
isz-ma2- d da-gan	Išma-Dagan	1
u3	and	8
in	in	7
_nu-banda3	_captain	7
da-num2	mighty	7
na-ra-am- d suen	Naram-Sin	7
_kaskal	_campaign	5
_ensi2	_governor	5
ra-bi2-a-ni	chiefs	4
a-na	to	4
d en-lil2	Enlil	4
unu ki	of Uruk	4
ba-sa-ar	Bašar	3
i-ik-mi	he captured	3
_szunigin	Grand Total	3
mar-tu ki	of Amurru	3
_szunigin szunigin	grand total	3
lu	indeed	3
si-si-il3 ki	Šišil	3
_sa-tu_-i3	mountain	2
gurusz gurusz	_men	2
u-sa-am-qi2-it	he struck down	2
i-bi-ir-ma	he crossed	2
u3	Further	2
_gurusz gurusz	_men	2
in	at	2
ensi2 ensi2	_governors	2
disz ur-	Ur-	2
lagasz ki	of Lagaš	2
la	not	2
_lugal	_king	2
_ensi2 ensi2	_all governors	2
in	by	2
a-li2-a-tim	of Upper	2
_gurusz	_men	2
_unu ki	Uruk	1
_REC169	_battle	1
an-nu-ni-tum	of Annunitum	1
_di-ku5	_verdict	1
i-ta-ah-za-ma	they grappled	1
is-ku8-na-ma	engaged	1
ki2-nim	truth	1
asz a-ba-x-x	Aba-	1
isz11-ar	victorious	1
_szu-nigin2	_total	1
iri ki	city	1
_abba2	elder	1
disz en-lil2-gal-zu	Enlil-galzu	1
_szagina	_general	1
disz e2-ku3	Ekug	1
asz amar-giri16#	Amar-girid	1
7 gesz u 8 asz	4208	1
1 u la2 asz	9	1
adab ki	Adab	1
inim d utu-zi	Inim-Utuzi	1
asz a-ba- d en-lil2	Aba-Enlil	1
umma ki	Umma	1
ur- d ansze szagan AMA sza-gan -DU	Ur- d szagan-DU	1
nu-banda3	captain	1
_REC169	_in battle	1
asz DU-x	DU-x	1
asz tab_-su	his companions	1
_dub-sar erin2	_troop scribe	1
is- ku8 -ni-a-ma	he engaged	1
a-ka3-de3 ki	of Agade	1
ik-su4-ud-su4-ma	met him	1
it-ma2-u3-ni-su4-ma	they swore this	1
u-na-as2	I shall dislodge	1
u3-lu	or	1
li-mu-ut	he shall die	1
u3-lu	either	1
lu-li-ik-ma-mi3	let me go	1
e3-ru-ur-ma	I did curse	1
asz amar-giri16	Amar-girid	1
i-pa2-la-hu	they revere	1
a-si-ma-num2 ki	Ašimanum	1
il3-a-ba4	Ilaba	1
ki-ma	since	1
szubur ki	of Subartum	1
_en en	_All lords	1
