AKK	ENG	Frequency
ku3-babbar-am	money	2
u3	and	2
gu-ti-u3	Gutians	2
at-ta2	you	2
GAN2-lam	work	2
ki2-nu-tim	for correct	1
gu-ti-um-ma-mi3	Gutians	1
ma-aq-qa2-di3	outposts	1
taq-bi2	mile	1
u-wa-ka3-mu	attack	1
uruki-lim	city	1
da-na-ta	Man	1
u2-la	don’t	1
maš2-anše	guarding	1
a-na-ku8	I	1
guruš-guruš	soldiers	1
a-na	every	1
a-pu-na-ma	don’t say	1
šum -ma	herd	1
a-na	into	1
ki	If	1
͗a3-ru-uš	land	1
a-ru-uš	land	1
u-la	not	1
u3-ṣu-ur	flocks	1
maš2-anše	guard	1
͗a3-ru-uš	field	1
GAN2-lam	Work	1
lugal-ra	Lugalra	1
a-na	to	1
iš-ku-un-dda-gan	Ishkun-Dagan	1
maš2-anše	brought	1
li-se11-u3-ni-kum-ma	help	1
ti-bu-tam2	raise	1
in	from	1
la	But	1
a-na-da-nu-kum	I pay you	1
lu	have	1
na- ͗a3-aš2	by life	1
e#-li2	Look	1
a-na-da-kum	pay you	1
dlugal-ka3-li2-lugal-ri2	of Shar-kali-sharri	1
a-la-kam	I arrive	1
a-na-lim-ma	when	1
ta2-na-da-nu	you pay	1
su-si-ib-ma	then	1
ra-ma-ni-ka3	your own assets	1
ti-da	know	1
ta2-na-ṣa-ar	I ask you	1
mu-bi	you	1
iš-pi2-ki2	rent	1
a-ri2-iš-ka3	of field	1
lu	should	1
u3-ma2	I swear	1
maš2-anše	rustle	1
šum-ma	flocks	1
mi2-ma	nothing	1
it-ru-u3	In event	1
a-qa2-bi	say	1
maš2-anše-mi3	rustled	1
su2-ta2-ri2-ib	have	1
en-ma	Thus	1
