GRC	ENG	Frequency
ἐν	in	5
τε	and	3
τῆσδε	this	2
εἰ	If	2
Διόνυσον	Dionysus	2
καὶ	And	1
λέγουσι	They say	1
τάχα	soon	1
βακχείας	Bacchic activity	1
κακούργου	criminal	1
παύσω	I will make them stop	1
ἁρμόσας	having bound	1
ἄρκυσιν	fetters	1
σιδηραῖς	iron	1
σφᾶς	them	1
μητέρʼ	the mother	1
Ἀκταίονός	of Aktaion	1
ξένος	a stranger xenos	1
Αὐτονόην	Autonoe	1
Ἐχίονι	to Ekhion	1
μʼ	me	1
ἔτικτʼ	bore	1
ἥ	who	1
Ἀγαύην	Agaue	1
τʼ	and	1
Ἰνώ	Ino	1
ὄρους	the mountains	1
ἐξ	from	1
ὥς	that	1
γόης ἐπῳδὸς	a sorcerer	1
τις	certain	1
ἔχων	having	1
αὐτὸν	him	1
λήψομαι	I catch	1
τελετὰς	with mysteries	1
προτείνων	alluring	1
εὐίους	joyful	1
κεὐφρόνας	nights	1
ἡμέρας	during the evenings	1
νεάνισιν	with the young girls	1
συγγίγνεται	stays	1
ὃς	He	1
Ἀφροδίτης	of Aphrodite	1
εἰσελήλυθε	has come	1
χάριτας	the graces kharites	1
ὄσσοις	in his eyes	1
οἰνῶπας	wine-dark	1
εὐοσμῶν	smelling sweetly	1
κόμην	of his hair	1
βοστρύχοισιν	with the locks	1
ξανθοῖσι	tawny	1
Λυδίας	Lydian	1
χθονός	the land	1
ἀπὸ	from	1
ἄπεισιν	that are missing	1
θηράσομαι	I will hunt	1
τῶν ὀργίων	of their rites	1
ὅσαι δʼ	all	1
ἐκλελοιπέναι	that have left	1
ὅστις	whoever	1
νεωστὶ	new	1
τὸν δαίμονα	daimōn	1
χοροῖς	with khoroi	1
τιμώσας	honoring	1
θοάζειν	rush about	1
ὄρεσι	the mountains	1
δασκίοις	shadowy	1
δὲ	and	1
βακχείαισιν	in Bacchic rites	1
πλασταῖσι	contrived	1
δώματʼ	homes	1
κλύω	I heard I hear	1
ἡμῖν	our our	1
γυναῖκας	women	1
πτόλιν	polis	1
ἀνὰ	throughout	1
τήνδʼ	this	1
νεοχμὰ	new	1
κακά	of the evils	1
χθονός	land	1
τῆσδʼ	this	1
ἔκδημος	away from	1
ὢν	I was	1
ἔστι	he is	1
ἑστάναι	that stand	1
στέγης	within house	1
θυοσκόους	worshipping	1
πανδήμοισι	public	1
χέρας	with their hands	1
δεσμίους	chained	1
εἴληφα	I have caught	1
ὅσας μὲν	as many of them as	1
σῴζουσι	keep	1
πρόσπολοι	Servants	1
πρόσθʼ	of greater priority than	1
τοῦ Βακχίου	Dionysus	1
ἄγειν	They consider	1
τὴν Ἀφροδίτην	Aphrodite	1
μαινάδας	Maenads	1
πλήρεις	full	1
ὡς	that	1
πρόφασιν	on the pretext	1
ὑπηρετεῖν	yields	1
ἀρσένων	of men	1
πτώσσουσαν	flying	1
ἐρημίαν	secrecy	1
εἰς	to	1
δʼ	and	1
θιάσοις	of their assemblies	1
μέσοισιν	the midst	1
κρατῆρας	mixing-bowls	1
στέγαις	in the buildings	1
θύρσον	his thyrsos	1
παύσω	I will stop	1
μητρὸς	of mother	1
νέον	new	1
ἀνθρώποισιν	to humans	1
τὸν δαίμονʼ	daimōn	1
τόνδʼ	this	1
θέλεις	Do you wish	1
Τειρεσία	Teiresias	1
ταῦτʼ	these things	1
ἔπεισας	urged	1
σὺ	You	1
ἐμῆς	my	1
πάτερ	father	1
σκοπεῖν	to examine	1
θύρσου	of the thyrsos	1
χεῖρʼ	hand	1
ἐλευθέραν μεθήσεις	Will you free	1
οὐκ	not	1
κισσόν	the ivy	1
οὐκ ἀποτινάξεις	Won’t you cast away	1
νοῦν	of sense	1
οὐκ ἔχον	devoid	1
ὑμῶν	your	1
τὸ γῆρας	old age	1
εἰσορῶν	that I see	1
ἐσφέρων	introducing	1
πτερωτοὺς	birds	1
νάρθηκι	with a thyrsos narthēx	1
εἰσάγων	for introducing	1
ὑγιὲς	healthy	1
λέγω	I say	1
οὐχ οὐδὲν	none	1
γάνος	the delight	1
γίγνεται	have	1
δαιτὶ	a feast	1
ἐν	at	1
βότρυος	of the grape	1
ὅπου	where	1
γυναιξὶ	women	1
γὰρ	For	1
πονηρὰς	wicked	1
φέρειν	receive	1
τελετὰς	rites	1
βάκχαισι	of the Bacchants	1
μέσαις	the midst	1
καθῆσʼ	you would sit	1
σε	you	1
πολιὸν	hoary	1
γῆρας	old age	1
ἐξερρύετο	did protect	1
μή	not	1
κἀμπύρων	of sacrifices	1
μισθοὺς	rewards	1
ἀναίνομαι	I want to deny	1
βακχεύοντʼ	raging about	1
κτυποῦντα	from beating	1
ἐρράφθαι	that was stitched	1
κεραυνίαις	of lightning	1
λαμπάσιν	by the flame	1
μητρί	his mother	1
σὺν	along with	1
ἐκπυροῦται	was burnt	1
ὃς	who	1
μηρῷ	the thigh	1
ἐν	into	1
ποτʼ	once	1
Διός	of Zeus	1
φησι	who claims who claims	1
ἐψεύσατο	she had falsely claimed	1
ἐκεῖνος	that’s the man	1
θεόν	a god	1
εἶναί	that is	1
ἐκεῖνος	That’s the man	1
σώματος	his body	1
χωρὶς	from	1
τεμών	by cutting	1
τράχηλον	his head	1
κόμας	his hair	1
ἀνασείοντά	shaking	1
ἔτι	any longer	1
ὅτι	because	1
γάμους	to have married	1
γέλων	absurdity	1
θαῦμα	wonder	1
πολὺν	a great	1
ἐμῆσ	my	1
μητρὸς τῆς	mother’s	1
πατέρα	father	1
τε	along with	1
Τειρεσίαν	Teiresias	1
νεβρίσι	fawn-skins	1
ποικίλαισι	dappled	1
ὁρῶ	I see	1
τὸν τερασκόπον	the seer	1
ἄλλο	another	1
ἀτὰρ	But	1
Δίους	Zeus	1
ὕβρεις	acts of hubris	1
ὑβρίζειν	commits	1
ὅστις	he whoever	1
ἔστιν	that is	1
ὁ ξένος	xenos	1
δεινῆς	terrible	1
ἀγχόνης	of a death by hanging	1
ἔστʼ	Is	1
ἄξια	worthy	1
οὐχὶ	not	1
ταῦτʼ	this	1
Πενθεύς	Pentheus	1
Διόνυσος	Dionysus	19
Πενθεύς	Pentheus	17
σε	you	4
ἀλλʼ	But	3
ἄστεως	the city	2
διʼ	through	2
ἀμφὶ	on	2
πῶς	How	2
τί	What	2
δʼ	but	2
ἐγὼ	I	2
στολήν	In clothing	1
πρόθυμος	eager	1
ὥς	how	1
εἶ	Are you	1
σοφός	sophos	1
μαινάδων	the Maenads	1
οὐκέτι	no longer	1
ἔχει	holds	1
μʼ	me	1
αἰδώς	shame aidōs	1
ἦ θῆλυν	Female	1
ἡμᾶς	me	1
τις πάλαι	all along	1
ἔσω	inside	1
μολών	go	1
στελῶ	will dress	1
εἶ	you have been	1
θεατὴς	to view	1
ἃ	which	1
γένοιτʼ	be done	1
νουθετεῖς	advise	1
με	me	1
σύ	you	1
καλῶς	well	1
τάδε	this	1
τίνα	what	1
ἐξεμούσωσεν	gave education	1
τίνα	What	1
μοι	my	1
θύρσον	A thyrsos	1
τι	what	1
πρὸς	to	1
ἐμοί	for me	1
προσθήσεις	will you add	1
ἄλλο	else	1
τοῖσδʼ	this	1
καί	And	1
κάρᾳ μίτρα	a headband	1
δʼ	And	1
ποδήρεις	down to your feet	1
πέπλοι	A robe	1
τοῦ κόσμου	of outfit	1
στολὴν	attire	1
τὸ σχῆμα	the part	1
δεύτερον	second	1
κρατὶ	on head	1
ταναὸν	at length	1
ἐκτενῶ	I will spread out	1
σῷ	your	1
κόμην	your hair	1
φῂς	do you bid	1
βαλεῖν	to put	1
ἐμὸν	my	1
χρῶτʼ	body	1
εὖ	correctly	1
εἶπας	you speak	1
ἐκεῖ	there	1
αὖ	Again	1
εἰσίδοιμʼ	to see	1
σιγῇ	quietly	1
σάφʼ	sure	1
ἴσθι	To be	1
ὑπʼ	under	1
ἂν	would	1
ἴδοις	you see	1
ἡδέως πικρά	grievous	1
ἅ	what	1
σοι	to you	1
ὅμως	gladly	1
δʼ	But	1
ἐξῳνωμένας	in their drunkenness	1
νιν	them	1
τοῦδε	this	1
ἐλάταις	the pines	1
μέγαν	so badly	1
τί	Why	1
δοὺς	I’d pay	1
σταθμόν	an amount	1
μυρίον	enormous	1
