GRC	ENG	Frequency
Διόνυσος	Dionysos	18
Πενθεύς	Pentheus	17
ἄστεως	town	2
σε	you	2
πῶς	how	2
διʼ	through	2
τόδʼ	point	1
κτάνωσιν	dead	1
ὀφθῇς	they see	1
ἐγὼ στελῶ	I ' ll dress myself	1
δωμάτων	the house	1
ἔσω	into	1
μολών	come	1
σε	you ' re	1
γένοιτʼ	do we go about	1
αὖ	Another	1
οὖν	So	1
τάδε	everything	1
μʼ ἔχει	I ' m	1
ἐξεμούσωσεν	taught	1
ἡμᾶς	me	1
εὖ	good	1
αἰδώς	embarrassed	1
ἠπιώτατος	gentlest	1
ἦ θῆλυν	a woman	1
ταναὸν	long	1
καὶ	And	1
θύρσον	A thyrsos	1
ἄλλο	Anything else	1
μίτρα	a binding	1
ποδήρεις	to your ankles	1
πέπλοι	a dress	1
τὸ δεύτερον	Then	1
τί	what	1
σῷ	you	1
μαινάδων	on maenads	1
κόμην	hair	1
φῂς	did you have in mind	1
τίνα	What	1
στολὴν	dress	1
πρόθυμος	appetite	1
οὐκέτι	No more	1
θεατὴς	spying	1
ἀνὴρ	a man	1
ἐκεῖ	there	1
τελῶ	Change myself	1
ἢν	If	1
τί	why	1
ἡδέως	pleasure	1
πικρά	a pain	1
δʼ	But	1
λυπρῶς	pain	1
νιν	women	1
ἂν	would	1
εἰσίδοιμʼ	to see	1
Διόνυσος	Dionsysos	1
σάφʼ ἴσθι	Exactly	1
ἀλλʼ	But	1
δοὺς	I ' d give	1
μυρίον σταθμόν	anything	1
ὄρεσι	that mountain	1
ἐν	on	1
σφʼ	the women	1
ἰδεῖν	to see	1
βούλῃ	Would you like	1
ὅμως	perhaps	1
σιγῇ	quiet	1
οὐκ δυναίμην	No I can ' t	1
κἀπιχειρήσεις	Are you ready	1
ἐς	to	1
γυναῖκας	a woman	1
τί	Why	1
πέπλους	clothes	1
ἀμφὶ	on	1
στεῖλαί	you must put	1
ἐξῳνωμένας	crazy with drink	1
τοῦ χρόνου	time	1
ἄγωμεν	let ' s go	1
ὑπʼ	by	1
οὖν	Then	1
καλῶς	in the open	1
ἐξεῖπας	I ' ll stay	1
ἐμφανῶς	Good point	1
λάθρᾳ	Hiding	1
ἐξιχνεύσουσίν	they ' ll smell out	1
ἐλάταις	a pine tree	1
καθήμενος	I can sit	1
νεβροῦ δέρας	a fawnskin	1
θῆλυν	as a woman	1
ἐνδῦναι στολήν	Dress	1
λύσσαν	of madness	1
δέ	And	1
χρῄζω	I ' d like	1
θῆλυν	women ' s	1
στολήν	on clothes	1
ἐνδῦναι	put	1
μὴ	never	1
θελήσῃ	he ' ll	1
ἐλαφρὰν	a scamper	1
ὀφλεῖν	made mock of	1
ἐνεὶς	send	1
φρενῶν	his brain	1
ἔκστησον	craze	1
πρῶτα	first	1
αὐτόν	Pentheus	1
τεισώμεθʼ	to punish	1
οὐ πρόσω	close	1
εἶ	You ' re you ' re	1
νιν	him	1
ἀγόμενον	paraded	1
Διόνυσε	Dionysos	1
λαβὼν	he ' ll wear	1
δεινότατος	of terror	1
θεός	god god god	1
τέλει	true consummate	1
Διὸς	son of Zeus	1
τὸν Διόνυσον	Dionysos	1
γνώσεται	he will come to know	1
δὲ	And	1
ὅνπερ	that dress	1
χεροῖν	her hands	1
γυναικόμορφον	in his female finery	1
ἐκ	with	1
κατασφαγείς	slaughters	1
μητρὸς	his mother	1
εἰς	to	1
Ἅιδου	Hades	1
κόσμον	his dress	1
εἶμι	I ' ll go	1
τῶν ἀπειλῶν ἦν	he threatened	1
σὸν	to you	1
δίκην	the price	1
ἀνθρώποισι	the human	1
κακοῖς	with trouble	1
βάκχας	women	1
