GRC	ENG	Frequency
τε	and	2
ὅσαι δʼ	The rest	1
ἐπῳδὸς	spell	1
Ἀφροδίτης	Of the Cyprian	1
ἔχων	that hold	1
ὄσσοις	eyes	1
οἰνῶπας	wine-red	1
εὐοσμῶν	fragrancies	1
ξανθοῖσι	gold	1
γόης	A man of charm	1
ἡμέρας	Day	1
ἀπὸ	from	1
Λυδίας	Lydian	1
εἰσελήλυθε	come	1
ξένος	a stranger	1
λέγουσι	They tell	1
βακχείας	rites	1
χάριτας	the light	1
κεὐφρόνας	night	1
παύσω	to quell	1
θύρσον	wand	1
Διόνυσον	of Dionysus	1
χωρὶς	between	1
τεμών	Falls	1
τράχηλον	neck	1
σώματος	trunk	1
κόμας	curls	1
παύσω	shall cease	1
συγγίγνεται	He haunts amid	1
στέγης	within walls	1
τῆσδε	these	1
λήψομαι	Let me grip	1
εὐίους	of joyance	1
προτείνων	Dangling	1
νεάνισιν	the damsels	1
κακούργου	of rascaldom	1
ἁρμόσας	snare	1
μηρῷ	the thigh	1
τὸν δαίμονα	God	1
ἐν	in	1
χοροῖς	with dance	1
τιμώσας	To adore	1
ἔστι	he be	1
ὅστις	Whate ' er	1
νεωστὶ	new-made	1
Διόνυσον	Dionyse	1
θιάσοις	companies	1
ὄρεσι	the hills	1
δασκίοις	shadowy	1
ἐν	on	1
βακχείαισιν	secret rites	1
δώματʼ	from hearths	1
ἐκλελοιπέναι	that are flown	1
δὲ	And	1
ἑστάναι	stand	1
σιδηραῖς	of iron	1
πρόσπολοι	men	1
ἄρκυσιν	nets	1
ἐν	with	1
καὶ	and	1
ἄπεισιν θηράσομαι	I will hunt	1
στέγαις	in dungeon den	1
δεσμίους	Hold bound	1
εἴληφα	I have found	1
κρατῆρας	wine-jars	1
ἄγειν	they pray	1
τὴν Ἀφροδίτην	Aphrodite	1
ἄλλοσʼ	a second	1
ἄλλην	one	1
ἐρημίαν	the loneliness	1
εἰς	into	1
δʼ	and	1
Διός	Of Zeus	1
θεόν	God	1
οὖν	Howbeit	1
Τειρεσία	Teiresias	1
φέρειν	win	1
πτερωτοὺς	birds	1
νέον	new	1
σκοπεῖν	watch	1
θέλεις	thou must	1
τόνδʼ	' Tis	1
ἔπεισας	hast planned	1
μισθοὺς	hire Of gold	1
ἐκεῖνος εἶναί	' Tis	1
ταῦτʼ	' Tis	1
σὺ	thou	1
θύρσου	about staff	1
χεῖρʼ	hand	1
μεθήσεις	Set	1
κἀμπύρων	of fire	1
πολιὸν	silver hairs	1
ἐμῆς	mine own	1
δαιτὶ	Festival	1
ὅσας μὲν	all	1
τῶν ὀργίων	prayers	1
οὐχ οὐδὲν	no at all	1
ὑγιὲς	health	1
γίγνεται	hath lit	1
γάνος	the gleam	1
βότρυος	Of grapes	1
καθῆσʼ	Thou wert sitting	1
ὅπου	When	1
γυναιξὶ	a Woman ' s	1
πονηρὰς	evil	1
εἰσάγων	Thou hast brought	1
βάκχαισι	Of raving damsels	1
ἐν μέσαις	amid	1
δέσμιος	chained	1
ἐλευθέραν	free	1
πάτερ	O sire	1
ὃς	that	1
ὁ ξένος	the unknown wanderer	1
Τειρεσίαν	Teiresias	1
τὸν τερασκόπον	the vision-seer	1
θαῦμα	marvel	1
ἄλλο	another	1
ἔστʼ ἄξια	crave	1
ἀγχόνης	the gibbet	1
ὕβρεις	Gibes	1
ποικίλαισι	motley	1
ταῦτʼ	these	1
ἐψεύσατο	lie	1
μητρί	mother	1
σὺν	With	1
κεραυνίαις	lightning	1
λαμπάσιν	by the flame	1
ἐκπυροῦται	was blasted	1
ἐν	In	1
νεβρίσι	fawn-skins	1
μητρὸς	mother ' s	1
πάτερ	Father	1
κισσόν	ivy crown	1
ἀποτινάξεις	Cast off	1
νοῦν	heads	1
τὸ γῆρας	white	1
οὐκ	not	1
ὑμῶν	your	1
νάρθηκι	with the wand	1
ὁρῶ	See I	1
βακχεύοντʼ	adoring Of Bacchios	1
γέλων	of scorn	1
πολὺν	depth	1
μητρὸς τῆς	mother ' s	1
πατέρα	father	1
ἐμῆσ	my	1
τε	And	1
Πενθεύς	Pentheus	1
