GRC	ENG	Frequency
Διόνυσος	Dionysus	17
Πενθεύς	Pentheus	16
καὶ	and	6
σὺ	thou	3
δεξιᾷ	right	2
ἢ	or	2
μὴ	not	2
σʼ	thee	2
νῦν	now	2
παρά	By	1
οὐχ	not	1
μέλει	' Tis	1
ἀνασείων	to and fro	1
προσείων	I tossed	1
μίτρᾳ	the coif	1
ὑπὸ	Under	1
καθήρμοσα	laid	1
νιν	it	1
ἐγώ	I	1
ὅδε	That	1
σε	thee	1
ἐξέστηχʼ	streams abroad	1
πλόκαμος	lock	1
ἀλλʼ	But	1
αὐτὰς	their very selves	1
εἰσορᾶν	I see	1
δοκῶ	it seems	1
θύρσον	the wand	1
λαβὼν	that I should bear	1
σʼ	on thee	1
θεραπεύειν	to tend	1
καταστελοῦμεν	It shall be tied	1
πόδα	the foot	1
ὀρθῶς	straight	1
δεξιὸν	right	1
σφυροῖσι	the feet	1
ὑπὸ	to	1
τείνουσιν	falling	1
δʼ	But	1
πέπλων	the gown	1
στολίδες	folded	1
τἀνθένδε	here	1
ἑξῆς	evenly	1
κοὐχ	Not	1
τένοντʼ	In line	1
χαλῶσι	Is loosened	1
σοι	Thy	1
ζῶναί	zone	1
σοὶ	thy	1
σὺ κόσμει	Deck	1
ἐμῆς	me	1
κάρα	With head	1
ὄρθου	straight	1
ἀλλʼ	but	1
ὁρῶν	When I look	1
ὁρᾶν	see	1
Ἰνοῦς	Ino	1
σῆς	thine	1
δύο	twofold	1
ἡλίους	sun	1
μιᾷ	one	1
πρέπεις	is like to	1
μορφὴν	Thy shape	1
θυγατέρων	Of maids	1
Κάδμου	Cadmus '	1
λόχου	His Chosen	1
κατάσκοπος	To spy	1
μητρός τῆς	upon Mother	1
δισσὰς	twofold	1
σκευὴν	in guise	1
μαινάδος	Maenad	1
γυναικὸς	Of woman	1
ὄφθητί	be seen	1
ἔξιθι	forth	1
σὲ	Thee	1
ὁρᾶν	see thou	1
χρεὼν	must	1
τὸν πρόθυμον	cravest	1
λέγω	I call	1
Θήβας	Thebes	1
ἑπτάστομον	the Wall of Seven Gates	1
ἑστάναι	stand I	1
πρόσθεν	erst	1
τὴν στάσιν	stands	1
οὐχὶ	not	1
χρή	shouldst	1
ἃ	what	1
σʼ	thou	1
ἔνσπονδος	in gentleness	1
ἡμῖν	us	1
ὢν	was	1
οὐκ εὐμενής	wrath	1
ὁμαρτεῖ	Goes with	1
καὶ	And	1
τεταύρωσαι	The Bull is on thee	1
οὖν	now	1
ἦσθα	art thou	1
θήρ	beast	1
σῷ	thy	1
κρατὶ	brow	1
κέρατα	horns	1
ἡμῖν	me	1
πρόσθεν	Before	1
ταῦρος	a Bull	1
χερὶ	In my hand	1
αὐτὸ	this	1
τῇδε	thus	1
ἀνὴρ	Man	1
ἄλλος	another	1
δέ	But	1
ἀναμένουσιν	awaiteth	1
ἀγῶνες	thy trial	1
τοιγάρ	Therefore	1
μόνος	alone	1
ὑπερκάμνεις	shalt bear their burden	1
τόδε	this thing	1
τολμῶν	I dare	1
μόνος	one	1
δʼ	then	1
Θηβαίας	Thebans '	1
διὰ	through	1
κόμιζε	Forth	1
σφᾶς	them	1
δʼ	and	1
λήψῃ	to trap	1
ληφθῇς	they trap	1
σὺ	thee	1
ἢν	so	1
ἔχεσθαι	caught	1
ἀπάξει	let bear	1
ἡ τεκοῦσά	my mother	1
ἕρκεσιν	the leaves	1
ἔρχῃ	Thou walkest	1
τἄλλα	The rest	1
ἐγὼ	me	1
Κάδμου θυγατέρες	Cadmeian	1
ὁμόσποροι	sisters	1
θʼ	and	1
χεῖρας	Thine arms	1
ἔκτεινʼ	Reach thou forth	1
Ἀγαύη	Agâvê	1
ὥστʼ	that	1
πάθη	to a doom	1
πᾶσιν	of every	1
δείνʼ	fell	1
δεινὸς	fell	1
δεινὸς	Fell	1
ἀξίων	I have earned well	1
χερσὶ	hands	1
μητρός	Thy mother ' s	1
φερόμενος	Thou shalt be borne	1
τόδʼ	that	1
ἐπὶ	For	1
ἔρχομαι	I go	1
φιλτάτοις	By love	1
ἐν	among	1
μᾶλλον	most	1
δυναίμην	Could	1
εἶχες	Being	1
πρὶν	once	1
τὰς φρένας	Thy soul	1
βούλοιο	thou wilt	1
εἰ	if	1
δύναιʼ	thou canst	1
ἐμοῖς	my	1
τοῖς ὤμοις	shoulders	1
φέρειν	lift	1
τὰς πτυχὰς	steeps	1
δεῖ	it should	1
Κιθαιρῶνος	Kithaeron ' s	1
μεθέστηκας	is changed	1
φρενῶν	thy heart	1
αἴρειν	spring	1
ποδὶ	with the foot ' s	1
δεξιῷ	right	1
χἅμα	timed	1
σημανεῖ	shall see	1
ἐν	In	1
εἰκασθήσομαι	To be like to	1
ὑγιεῖς	sick	1
ἔχεις	stands	1
ὄρνιθας	the birds	1
ἔχει συρίγματα	pipes	1
σφᾶς	They	1
δοκῶ	methinks	1
κατάσκοπον	a spy	1
κρύψῃ	shalt lie	1
ἐλάταισιν	in the pine-brake	1
κρύψω	I will lie Hid	1
οὐ	not	1
σθένει	Force	1
γυναῖκας	with women	1
Πανὸς	Pan	1
οἵας	as	1
ἔνθʼ	where	1
σύ διολέσῃς	Wouldst wreck	1
ἱδρύματα	the temples	1
Νυμφῶν	Nymphs '	1
κορυφαῖς	to the crags	1
ὦμον	shoulder	1
χεροῖν	hand	1
ἢ	Or	1
μοχλοὺς	bars of iron	1
φέρωμεν	Shall it be	1
Πενθέα	Pentheus	1
Διόνυσος	Dionysus	18
Πενθεύς	Pentheus	17
σε	thee	3
εἰς	to	2
τίνα	What	2
δʼ	and	2
ἐγὼ	I	2
ἐς	to	2
κάρᾳ	thine head	1
πρόθυμος	desire	1
εὖ	Well	1
εἶπας	said	1
πάλαι	long ere	1
Διόνυσος	Dionyse	1
ἡμᾶς	me	1
πῶς	how	1
νεβροῦ δέρας	the fawn-skin	1
στελῶ	will array	1
στικτὸν	dappled	1
ἔσω	Within	1
μολών	take thy way	1
στολήν	array	1
ἦ θῆλυν	The woman ' s	1
καὶ	and	1
μίτρα	A snood	1
στολὴν	garb	1
βαλεῖν	wilt thou bestow	1
ἀμφὶ	About	1
κτάνωσιν	slay dead	1
θύρσον	the wand	1
καί	And	1
ταναὸν	long	1
κόμην	a tress	1
σῷ	thy	1
ἐκτενῶ	dangling	1
τὸ δεύτερον	next	1
πέπλοι	The Robe	1
ποδήρεις	falling to thy feet	1
ἐπὶ	on	1
ἐμὸν	me	1
ἠπιώτατος	most soft of mood	1
ἀνὴρ	man	1
ἔρωτα	longing	1
πικρά	grieve	1
εἰσίδοιμʼ	To see	1
λυπρῶς ἂν	twould grieve	1
ἐξῳνωμένας	flown with wine	1
νιν	them	1
πέπτωκας	Thou art to fall	1
εἰς	To	1
μέγαν	such great	1
ἅ	as	1
μυρίον σταθμόν	all	1
χρυσοῦ	The gold	1
σφʼ	them	1
βούλῃ	thou wouldst fain	1
ἰδεῖν	behold	1
ὄρεσι	the hill	1
ἐν	on	1
σοι	thee	1
ἴδοις	A sight	1
ἐνδῦναι	wear	1
κἀπιχειρήσεις	try	1
ἀνδρὸς	man	1
γυναῖκας	a woman	1
στεῖλαί	To gird	1
πέπλους	robe	1
βυσσίνους	of fine-linen	1
σε	thou	1
ἄγωμεν	Wilt be led By me	1
ὁδῷ	the venture	1
σάφʼ ἴσθι	Yes	1
καλῶς	openly	1
ἐμφανῶς	Well said	1
ἔλθῃς λάθρᾳ	To hide	1
ἐξιχνεύσουσίν	They will track out	1
ἐλάταις	the pines	1
ὑπʼ	among	1
σιγῇ καθήμενος	ambushed	1
οὐκ δυναίμην	I cannot	1
χρὴ	tis best	1
αἷμα	blood	1
τεισώμεθʼ	Grant our vengeance	1
γέλωτα	Loud scorn	1
ἐνδῦναι	to put on	1
στολήν	vesture	1
λύσσαν	of madness	1
ἐνεὶς	instil	1
πρῶτα	First	1
πρόσω	far away	1
τῶν ἀπειλῶν	threats	1
οὐ	not	1
εἶ	thou	1
σὸν	thine	1
Διόνυσε	O Dionyse	1
θανὼν	dies	1
δώσει	pays	1
διʼ	through	1
δεινὸς	bitter	1
ἥξει	He finds	1
γνώσεται	shall he learn	1
δεινότατος	Most fearful	1
ἐν	in	1
θεός	God	1
τέλει	fulness	1
τὸν Διόνυσον	Dionyse	1
Διὸς	God ' s Son	1
ὅνπερ	that	1
ἀγόμενον	led	1
λαβὼν	shall deck	1
μητρὸς	His mother ' s	1
κόσμον	robe	1
προσάψων	to fold	1
Πενθεῖ	On Pentheus	1
εἶμι	I go	1
γυναικόμορφον	in woman ' s guise	1
βάκχας	Bacchae	1
βόλον	the net	1
ὀρθῶς	True	1
θηρᾶν	seek	1
ἐρήμους	Lonely untried	1
ὁδοὺς	Thy path	1
λαθών	Unseen	1
ἄστεως	city	1
κακά	wrath	1
κακοῖς	by wrath	1
ἢ	Than	1
βάκχας	Bacchanals	1
γοῦν	Far	1
σοφώτερον	wiser	1
κατασκοπήν	some place of watch	1
πρῶτον	First	1
μολεῖν	to go	1
ἀνθρώποισι	to man	1
θήσεις	spill	1
ἡγήσομαι	guide	1
μὴ	not	1
πείσομαι	to take	1
στείχοιμʼ	I will go	1
βουλεύμασιν	plan	1
σοῖσι	thy	1
ἢ	Perchance	1
ἢ	perchance	1
ὅπλʼ ἔχων	with lance	1
πορεύσομαι	To march	1
ἐμὸν	mine	1
ἐμοί	against me	1
ἔξεστι	So be it	1
ἃν	what	1
δοκῇ	seemeth best	1
βουλεύσομαι	I will ordain	1
οἴκους	my halls Within	1
ἐλθόντʼ	Forward	1
ὥστε	so	1
ἆ	Ah	1
τε	and	2
ὅσαι δʼ	The rest	1
ἐπῳδὸς	spell	1
Ἀφροδίτης	Of the Cyprian	1
ἔχων	that hold	1
ὄσσοις	eyes	1
οἰνῶπας	wine-red	1
εὐοσμῶν	fragrancies	1
ξανθοῖσι	gold	1
γόης	A man of charm	1
ἡμέρας	Day	1
ἀπὸ	from	1
Λυδίας	Lydian	1
εἰσελήλυθε	come	1
ξένος	a stranger	1
λέγουσι	They tell	1
βακχείας	rites	1
χάριτας	the light	1
κεὐφρόνας	night	1
παύσω	to quell	1
θύρσον	wand	1
Διόνυσον	of Dionysus	1
χωρὶς	between	1
τεμών	Falls	1
τράχηλον	neck	1
σώματος	trunk	1
κόμας	curls	1
παύσω	shall cease	1
συγγίγνεται	He haunts amid	1
στέγης	within walls	1
τῆσδε	these	1
λήψομαι	Let me grip	1
εὐίους	of joyance	1
προτείνων	Dangling	1
νεάνισιν	the damsels	1
κακούργου	of rascaldom	1
ἁρμόσας	snare	1
μηρῷ	the thigh	1
τὸν δαίμονα	God	1
ἐν	in	1
χοροῖς	with dance	1
τιμώσας	To adore	1
ἔστι	he be	1
ὅστις	Whate ' er	1
νεωστὶ	new-made	1
Διόνυσον	Dionyse	1
θιάσοις	companies	1
ὄρεσι	the hills	1
δασκίοις	shadowy	1
ἐν	on	1
βακχείαισιν	secret rites	1
δώματʼ	from hearths	1
ἐκλελοιπέναι	that are flown	1
δὲ	And	1
ἑστάναι	stand	1
σιδηραῖς	of iron	1
πρόσπολοι	men	1
ἄρκυσιν	nets	1
ἐν	with	1
καὶ	and	1
ἄπεισιν θηράσομαι	I will hunt	1
στέγαις	in dungeon den	1
δεσμίους	Hold bound	1
εἴληφα	I have found	1
κρατῆρας	wine-jars	1
ἄγειν	they pray	1
τὴν Ἀφροδίτην	Aphrodite	1
ἄλλοσʼ	a second	1
ἄλλην	one	1
ἐρημίαν	the loneliness	1
εἰς	into	1
δʼ	and	1
Διός	Of Zeus	1
θεόν	God	1
οὖν	Howbeit	1
Τειρεσία	Teiresias	1
φέρειν	win	1
πτερωτοὺς	birds	1
νέον	new	1
σκοπεῖν	watch	1
θέλεις	thou must	1
τόνδʼ	' Tis	1
ἔπεισας	hast planned	1
μισθοὺς	hire Of gold	1
ἐκεῖνος εἶναί	' Tis	1
ταῦτʼ	' Tis	1
σὺ	thou	1
θύρσου	about staff	1
χεῖρʼ	hand	1
μεθήσεις	Set	1
κἀμπύρων	of fire	1
πολιὸν	silver hairs	1
ἐμῆς	mine own	1
δαιτὶ	Festival	1
ὅσας μὲν	all	1
τῶν ὀργίων	prayers	1
οὐχ οὐδὲν	no at all	1
ὑγιὲς	health	1
γίγνεται	hath lit	1
γάνος	the gleam	1
βότρυος	Of grapes	1
καθῆσʼ	Thou wert sitting	1
ὅπου	When	1
γυναιξὶ	a Woman ' s	1
πονηρὰς	evil	1
εἰσάγων	Thou hast brought	1
βάκχαισι	Of raving damsels	1
ἐν μέσαις	amid	1
δέσμιος	chained	1
ἐλευθέραν	free	1
πάτερ	O sire	1
ὃς	that	1
ὁ ξένος	the unknown wanderer	1
Τειρεσίαν	Teiresias	1
τὸν τερασκόπον	the vision-seer	1
θαῦμα	marvel	1
ἄλλο	another	1
ἔστʼ ἄξια	crave	1
ἀγχόνης	the gibbet	1
ὕβρεις	Gibes	1
ποικίλαισι	motley	1
ταῦτʼ	these	1
ἐψεύσατο	lie	1
μητρί	mother	1
σὺν	With	1
κεραυνίαις	lightning	1
λαμπάσιν	by the flame	1
ἐκπυροῦται	was blasted	1
ἐν	In	1
νεβρίσι	fawn-skins	1
μητρὸς	mother ' s	1
πάτερ	Father	1
κισσόν	ivy crown	1
ἀποτινάξεις	Cast off	1
νοῦν	heads	1
τὸ γῆρας	white	1
οὐκ	not	1
ὑμῶν	your	1
νάρθηκι	with the wand	1
ὁρῶ	See I	1
βακχεύοντʼ	adoring Of Bacchios	1
γέλων	of scorn	1
πολὺν	depth	1
μητρὸς τῆς	mother ' s	1
πατέρα	father	1
ἐμῆσ	my	1
τε	And	1
Πενθεύς	Pentheus	1
