GRC	ENG	Frequency
τῆσδε	this	2
ἐν	in	2
Ἀκταίονός	Aktaion’s	1
ὥς	that	1
βακχείας	bacchic rites	1
κακούργου	scoundrel’s	1
παύσω	I can stop	1
Αὐτονόην	Aftonoe	1
λέγω	I mean	1
μητέρʼ	mother	1
οὐχ οὐδὲν	no	1
ξένος	foreign	1
μʼ	to me	1
ἔτικτʼ	gave birth	1
Ἐχίονι	with Ehion	1
ἥ	she who	1
Ἀγαύην	Agave	1
τʼ	and	1
Ἰνώ	Ino	1
ὄρους	the mountains	1
ἐξ	from	1
τε	as well as	1
τις	some some	1
γόης	smooth talker	1
χάριτας	the charms	1
εἰ	If	1
εὐίους	the mystic rites	1
τελετὰς	entry	1
προτείνων	offers	1
νεάνισιν	the young girls	1
συγγίγνεται	hangs around	1
λέγουσι	told they say	1
Ἀφροδίτης	of Aphrodite	1
ἐπῳδὸς	magician	1
ὄσσοις	eyes	1
οἰνῶπας	wine-coloured	1
εὐοσμῶν	scented	1
βοστρύχοισιν	with plaits	1
ξανθοῖσι	blond	1
Λυδίας	in Lydia	1
χθονός	somewhere	1
ἀπὸ	from	1
θηράσομαι	I’ll catch	1
στέγαις	in buildings	1
ἄπεισιν	those who escaped	1
βακχείαισιν	the Bacchic dances	1
ἑστάναι	placing	1
πλήρεις	full	1
τὸν δαίμονα	god	1
νεωστὶ	new	1
ἐν	to	1
ὄρεσι	the mountains	1
θοάζειν	gone off	1
δώματʼ	homes	1
μέσοισιν	the centre	1
ἐκλελοιπέναι	that have left	1
κλύω	I heard	1
ἡμῖν	our	1
γυναῖκας	women	1
νεοχμὰ	bizarre	1
πτόλιν	country	1
κακά	disasters	1
ἐτύγχανον	I’ve done	1
κρατῆρας	tubs of wine	1
θιάσοις	of group	1
πανδήμοισι	public	1
πτώσσουσαν	off they go	1
χέρας	hands	1
δεσμίους σῴζουσι	tied	1
ὅσαι δʼ	The rest	1
ὅσας μὲν	some of them	1
εἴληφα	I’ve caught	1
τὴν Ἀφροδίτην	Aphrodite	1
τοῦ Βακχίου	Dionysos	1
ἄγειν	Serving They’re serving	1
ἐρημίαν	the middle of nowhere	1
ἄλλην	one	1
εἰς	in	1
δʼ	and	1
ὑπηρετεῖν	around rolling	1
ἀρσένων	with any man	1
πρόφασιν	the excuse	1
ὡς	that	1
μαινάδας	maenads	1
ἄλλοσʼ	another	1
λήψομαι	I get to catch	1
αὐτὸν	this crook	1
λέγω	I’m telling	1
χεῖρʼ	hands	1
θέλεις	you wants	1
Τειρεσία	Teiresias	1
ταῦτʼ	this	1
ἔπεισας	persuade	1
σὺ	you	1
ἐμῆς μητρὸς πάτερ	grandfather	1
θύρσου	thyrsus of	1
μεθήσεις	relieve	1
τὸν δαίμονʼ	god	1
κισσόν	ivy	1
ἀποτινάξεις	Unwind	1
ἔχον	has filled	1
νοῦν	head	1
εἰσορῶν	seeing you	1
ὑμῶν	your	1
τὸ γῆρας	old age	1
ἀναίνομαι	I can’t believe	1
ἐσφέρων	to bring	1
νέον	new	1
βακχεύοντʼ	bacchic revelry	1
βάκχαισι	of wild women	1
τῶν ὀργίων	orgies	1
βότρυος	Wine	1
γάνος	wisdom	1
γυναιξὶ	of women	1
γίγνεται	comes out	1
τελετὰς	rites	1
πονηρὰς	treacherous	1
εἰσάγων	to bring	1
δέσμιος	tie	1
πτερωτοὺς	birds	1
μέσαις	the centre	1
καθῆσʼ	place	1
γῆρας	old man	1
σε	you	1
ἐξερρύετο	saved	1
πολιὸν	grey hair	1
κἀμπύρων	fires	1
μισθοὺς	money	1
πάτερ	grandfather	1
νάρθηκι	thyrsus	1
στέγης	near palace	1
Διόνυσον	Dionysos	1
Διός	Zeus’	1
ἐν	inside	1
ἐκεῖνος	Dionysos	1
ἐρράφθαι	that was sown up	1
εἶναί	that is	1
θεόν	a god	1
ἐκεῖνος	this	1
φησι	says	1
λαμπάσιν	flaming	1
τράχηλον	head	1
τεμών	by separating	1
χωρὶς	from	1
σώματος	torso	1
ἀνασείοντά κόμας	hair-waving	1
τε	and	1
κτυποῦντα θύρσον	thyrsus-thrashing	1
παύσω	I’ll stop	1
μηρῷ	thigh	1
κεραυνίαις	with lightning	1
γέλων	a laugh-off	1
ὕβρεις	insolence	1
ἐμῆσ	my	1
μητρὸς τῆς	mother’s	1
πατέρα	father	1
νεβρίσι	skins of deer	1
ἐν	with	1
τὸν τερασκόπον	prophet the seer of the guts of beasts	1
Τειρεσίαν	Teiresias	1
θαῦμα	a sight to behold	1
ὑβρίζειν	gives lies	1
ἐκπυροῦται	burned	1
ὅστις	when	1
ὁ ξένος	stranger	1
ἀγχόνης	of the hangman’s rope	1
ἄξια	worthy	1
ταῦτʼ	this stuff	1
οὐχὶ ἔστʼ	Isn’t	1
μητρί	mother	1
σὺν	along with	1
Πενθεύς	Pentheus	1
